source	record_id	protein_a	protein_b	taxon_a	taxon_b	assay_raw	assay_ontology	old_historical_class	eligible_common_qc	score	pair_tokens	exact_string_positive_overlap	biophysical_only
Negatome	NEG:00003	A6NIX2	O60663	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.001728	835	0	0
Negatome	NEG:00026	O00623	O75192	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000164	609	0	0
Negatome	NEG:00028	O00623	O96011	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000206	621	0	0
Negatome	NEG:00030	O00623	P56589	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999893	735	0	0
Negatome	NEG:00031	O00623	Q92968	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.002487	765	0	0
Negatome	NEG:00032	O00623	Q9Y5Y5	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.007023	698	0	0
Negatome	NEG:00034	O00628	O60683	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000116	652	0	0
Negatome	NEG:00035	O00628	O75192	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	9.6e-05	573	0	0
Negatome	NEG:00036	O00628	O75381	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.042395	703	0	0
Negatome	NEG:00037	O00628	O96011	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000138	585	0	0
Negatome	NEG:00038	O00628	P28328	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000715	631	0	0
Negatome	NEG:00039	O00628	P56589	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.00099	699	0	0
Negatome	NEG:00041	O00628	Q9Y5Y5	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000169	662	0	0
Negatome	NEG:00096	O15116	O95777	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999925	232	0	0
Negatome	NEG:00099	O15116	Q9Y4Y9	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999863	227	0	0
Negatome	NEG:00106	O15304	Q92633	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	6.6e-05	542	0	0
Negatome	NEG:00107	O15304	Q9UBY5	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	6e-05	531	0	0
Negatome	NEG:00158	O43395	P83876	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999809	828	0	0
Negatome	NEG:00166	O43447	Q53GS9	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999688	745	0	0
Negatome	NEG:00168	O43447	Q9BUQ8	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.997949	1000	0	0
Negatome	NEG:00189	O60224	Q96QF0	9606.0	9606.0	MI:0018 - two hybrid | MI:0018 - two hybrid, MI:0110 - text mining	cell_binary_proximity	direct_binary	1	0.000124	667	0	0
Negatome	NEG:00190	O60224	Q9Y2D8	9606.0	9606.0	MI:0018 - two hybrid | MI:0018 - two hybrid, MI:0110 - text mining	cell_binary_proximity	direct_binary	1	0.003364	805	0	0
Negatome	NEG:00200	O60683	O75192	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.00022	576	0	0
Negatome	NEG:00201	O60683	P28328	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999476	634	0	0
Negatome	NEG:00202	O60683	P56589	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999863	702	0	0
Negatome	NEG:00203	O60683	Q92968	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.615529	732	0	0
Negatome	NEG:00204	O60683	Q9Y5Y5	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.005375	665	0	0
Negatome	NEG:00218	O60936	P62995	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000234	499	0	0
Negatome	NEG:00219	O60936	P63162	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	7.3e-05	451	0	0
Negatome	NEG:00220	O60936	P84103	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.00016	375	0	0
Negatome	NEG:00221	O60936	Q01081	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	6.1e-05	451	0	0
Negatome	NEG:00222	O60936	Q01130	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	9.8e-05	432	0	0
Negatome	NEG:00223	O60936	Q07955	9606.0	9606.0	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	8.2e-05	459	0	0
