source	record_id	protein_a	protein_b	taxon_a	taxon_b	assay_raw	assay_ontology	old_historical_class	eligible_common_qc	score	pair_tokens	exact_string_positive_overlap	biophysical_only
Negatome	NEG:00007	O00167	P09471	9606.0	9606.0	MI:0004 - affinity chromatography technologies	co_complex_association	association	1	8.5e-05	895	0	0
Negatome	NEG:00074	O14763	Q15628	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999857	755	0	0
Negatome	NEG:00093	O15105	Q13363	9606.0	9606.0	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	1	0.996899	869	0	0
Negatome	NEG:00108	O15315	O43542	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999447	733	0	0
Negatome	NEG:00118	O15530	O95988	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.005253	687	0	0
Negatome	NEG:00119	O15530	P56277	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	7.9e-05	627	0	0
Negatome	NEG:00120	O15530	P56279	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.022422	673	0	0
Negatome	NEG:00148	O43194	Q9UBU3	9606.0	9606.0	MI:0004 - affinity chromatography technologies	co_complex_association	association	1	0.121964	573	0	0
Negatome	NEG:00153	O43353	P57730	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999685	633	0	0
Negatome	NEG:00154	O43353	Q5XLA6	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999771	653	0	0
Negatome	NEG:00171	O43524	Q99576	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.255749	810	0	0
Negatome	NEG:00173	O43542	O43543	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999568	629	0	0
Negatome	NEG:00174	O43542	O75771	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999559	677	0	0
Negatome	NEG:00178	O43559	P61587	9606.0	9606.0	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	1	0.004431	739	0	0
Negatome	NEG:00273	O75360	Q04724	9606.0	9606.0	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	1	0.995378	999	0	0
Negatome	NEG:00290	O75414	P04637	9606.0	9606.0	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	1	0.886319	582	0	0
Negatome	NEG:00309	O75791	Q07666	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.998139	776	0	0
Negatome	NEG:00327	O94907	P04628	9606.0	9606.0	MI:0019 - coimmunoprecipitation, MI:0110 - text mining | MI:0019 - coimunoprecipitation, MI:0110 - text mining	co_complex_association	association	1	0.00088	639	0	0
Negatome	NEG:00328	O94907	Q14696	9606.0	9606.0	MI:0004 - affinity chromatography technologies	co_complex_association	association	1	7.9e-05	503	0	0
Negatome	NEG:00329	O94907	Q9BQB4	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.000251	482	0	0
Negatome	NEG:00332	O95361	Q9ULZ3	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.177243	762	0	0
Negatome	NEG:00388	P01589	P40933	9606.0	9606.0	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.976209	437	0	0
