source	record_id	protein_a	protein_b	taxon_a	taxon_b	assay_raw	assay_ontology	old_historical_class	eligible_common_qc	score	pair_tokens	exact_string_positive_overlap	biophysical_only
Negatome	NEG:00009	O00212	Q7L099	9606.0	9606.0	MI:0059 - gst pull down	reconstituted_direct	direct_binary	1	0.067713	682	0	0
Negatome	NEG:00012	O00238	P01137	9606.0	9606.0	MI:0405 - competition binding	reconstituted_direct	direct_binary	1	0.999605	895	0	0
Negatome	NEG:00014	O00238	P22003	9606.0	9606.0	MI:0405 - competition binding	reconstituted_direct	direct_binary	1	0.996908	959	0	0
Negatome	NEG:00015	O00238	P22004	9606.0	9606.0	MI:0405 - competition binding	reconstituted_direct	direct_binary	1	0.997756	1018	0	0
Negatome	NEG:00016	O00244	Q8N668	9606.0	9606.0	MI:0059 - gst pull down, MI:0110 - text mining	reconstituted_direct	direct_binary	1	0.000146	261	0	0
Negatome	NEG:00042	O00716	Q8TAK5	9606.0	9606.0	MI:0096 - pull down	reconstituted_direct	direct_binary	1	0.98269	916	0	0
Negatome	NEG:00115	O15492	P25100	9606.0	9606.0	MI:0096 - pull down	reconstituted_direct	direct_binary	1	6.8e-05	777	0	0
Negatome	NEG:00116	O15492	P35348	9606.0	9606.0	MI:0096 - pull down	reconstituted_direct	direct_binary	1	7.2e-05	671	0	0
Negatome	NEG:00117	O15492	P35368	9606.0	9606.0	MI:0096 - pull down	reconstituted_direct	direct_binary	1	6.4e-05	725	0	0
Negatome	NEG:00180	O43739	P10276	9606.0	9606.0	MI:0096 - pull down; MI:0047	reconstituted_direct	direct_binary	1	9.5e-05	865	0	0
Negatome	NEG:00237	O75175	P18847	9606.0	9606.0	MI:0019 - coimmunoprecipitation; MI:0096	reconstituted_direct	direct_binary	1	6.3e-05	937	0	0
Negatome	NEG:00250	O75175	Q92730	9606.0	9606.0	MI:0019 - coimmunoprecipitation; MI:0096	reconstituted_direct	direct_binary	1	0.024349	988	0	0
Negatome	NEG:00252	O75175	Q93096	9606.0	9606.0	MI:0019 - coimmunoprecipitation; MI:0096	reconstituted_direct	direct_binary	1	0.000104	929	0	0
Negatome	NEG:00350	P00709	Q9NNX6	9606.0	9606.0	MI:0411- enzyme linked immunosorbent assay	reconstituted_direct	direct_binary	1	0.000593	549	0	0
Negatome	NEG:00365	P01100	P35452	9606.0	9606.0	MI:0059 - gst pull down	reconstituted_direct	direct_binary	1	0.26375	653	0	0
Negatome	NEG:00367	P01112	P28482	9606.0	9606.0	MI:0096 - pull down	reconstituted_direct	direct_binary	1	0.99959	552	0	0
Negatome	NEG:00368	P01112	P45983	9606.0	9606.0	MI:0096 - pull down	reconstituted_direct	direct_binary	1	0.997995	619	0	0
Negatome	NEG:00369	P01112	Q16539	9606.0	9606.0	MI:0096 - pull down	reconstituted_direct	direct_binary	1	0.999019	552	0	0
Negatome	NEG:00371	P01116	Q7L099	9606.0	9606.0	MI:0059 - gst pull down	reconstituted_direct	direct_binary	1	0.289736	661	0	0
Negatome	NEG:00373	P01137	P36894	9606.0	9606.0	MI:0405 - competition binding	reconstituted_direct	direct_binary	1	0.999575	925	0	0
Negatome	NEG:00403	P02745	Q9NPY3	9606.0	9606.0	MI:0411- enzyme linked immunosorbent assay	reconstituted_direct	direct_binary	1	0.000239	900	0	0
