triplet_id	ac_id	anchor	C	D	PLM-Interact_ad	PLM-Interact_ac	hit_PLM-Interact	MINT_ad	MINT_ac	hit_MINT	D-SCRIPT_ad	D-SCRIPT_ac	hit_D-SCRIPT	Topsy-Turvy_ad	Topsy-Turvy_ac	hit_Topsy-Turvy	SPRINT_ad	SPRINT_ac	hit_SPRINT	ESMFold_ad	ESMFold_ac	hit_ESMFold	AF3_ad	AF3_ac	hit_AF3
SCF:0002277	AC:001972	I7M8B9	Q22XT1	Q22VV9	0.234645	0.101584	1.0	0.83032774	0.5738973	1.0	0.004173	0.004174	0.0	0.317004	0.029896	1.0	0.293992	0.347437	0.0	-30.35767212338816	-29.55235273554176	0.0	0.42	0.17	1.0
SCF:0001908	AC:001644	D0FXX2	A0A1C8XRM6	D0FXY3	0.997665	0.991829	1.0	0.83715841	0.71683797	1.0	0.856027	0.847517	1.0	0.414103	0.422369	0.0	0.0561633	0.0850308	0.0	-27.901244241044754	-27.39394483738507	0.0	0.85	0.23	1.0
SCF:0001223	AC:001023	Q00914	A8ITV3	Q05093	0.001015	0.000624	1.0	0.35911824	0.38275765	0.0	0.004567	0.013177	0.0	0.068007	0.201118	0.0	0.0	0.0	0.5	-27.34557545476851	-25.24058465615484	0.0	0.11	0.06	1.0
SCF:0003053	AC:002708	Q8N0S6	Q13352	Q9BS16	0.99992	0.999516	1.0	0.52182814	0.56165155	0.0	0.004175	0.004175	0.5	0.125804	0.320286	0.0	0.62821	1.36382	0.0	-30.10905438710529	-28.780152892771945	0.0	0.12	0.24	0.0
SCF:0000063	AC:000052	Q13426	Q9NP87	Q9UGP5	0.997916	0.9988	0.0	0.31696304	0.31450351	1.0	0.893317	0.937962	0.0	0.837604	0.816987	1.0	190.228	19.1982	1.0	-29.745082821520217	-29.32689321010081	0.0	0.13	0.21	0.0
SCF:0003289	AC:002981	O15527	P0C0S8	P62807	0.000639	0.000354	1.0	0.38736375	0.4772467	0.0	0.004188	0.004278	0.0	0.619902	0.246551	1.0	3.27479	3.99748	0.0	-26.20996728267016	-26.77343981510022	1.0	0.09	0.14	0.0
SCF:0002992	AC:002652	Q861F7	P04234	P09693	0.998931	0.998098	1.0	0.54722231	0.61790185	0.0	0.026368	0.333824	0.0	0.358977	0.305705	1.0	7.3503	10.4844	0.0	-28.14150250655292	-27.52239289992495	0.0	0.19	0.31	0.0
SCF:0000456	AC:000346	E9NPX1	I0Z7A6	I0YQ46	0.999716	0.146805	1.0	0.93795887	0.9211635	1.0	0.004367	0.021229	0.0	0.616995	0.629284	0.0	0.0	0.0	0.5	-25.14713653827285	-25.490821759928675	1.0	0.5	0.23	1.0
SCF:0001179	AC:000986	A0A125YXT1	S8F943	A0A125YMK3	0.003499	0.973637	0.0	0.61531834	0.87039119	0.0	0.004185	0.004178	1.0	0.199934	0.647721	0.0	0.173651	0.300067	0.0	-30.192545861460147	-30.903369764376542	1.0	0.06	0.08	0.0
SCF:0000875	AC:000723	F1SDI2	F1RPD2	A0A8D0PK14	0.998758	0.999549	0.0	0.9660483	0.95567924	1.0	0.638541	0.76117	0.0	0.843359	0.737727	1.0	128.007	125.552	1.0	-25.899912477887813	-25.401938315409286	0.0	0.72	0.11	1.0
