model	dataset	n_triplets	n_anchors	n_blocks	p_d_gt_c	p_d_gt_c_ci_low	p_d_gt_c_ci_high	p_d_gt_r	p_d_gt_r_ci_low	p_d_gt_r_ci_high	p_c_gt_r	p_c_gt_r_ci_low	p_c_gt_r_ci_high
PLM-interact	Literature	700	494	494	0.46714285714285714	0.43005132016441233	0.5043570564912971	0.8642857142857143	0.828886101333952	0.8942522968563184	0.8814285714285715	0.8481189506916462	0.9111127029608405
PLM-interact	Literature conflict-free	551	437	437	0.4618874773139746	0.42045142357642357	0.5036399725038667	0.8493647912885662	0.8122623849824673	0.8853383458646616	0.8693284936479129	0.8306864006864006	0.9032320338771951
PLM-interact	Structure	300	266	266	0.5183333333333333	0.4693825132792843	0.5700664878757403	0.9666666666666667	0.9442419590391095	0.9860152043078872	0.94	0.912751677852349	0.9633333333333334
MINT	Literature	700	494	494	0.5078571428571429	0.4703664302600473	0.5444008426041348	0.7757142857142857	0.7368912611905531	0.8091234929944607	0.7671428571428571	0.731239609383344	0.800289488340302
MINT	Literature conflict-free	551	437	437	0.5045372050816697	0.4626675937313655	0.5437839728186122	0.7586206896551724	0.7191403187875621	0.7964316502463054	0.7513611615245009	0.7075458763064398	0.7903277219578119
MINT	Structure	300	266	266	0.48	0.4247364953886693	0.5382611464968152	0.88	0.84279176201373	0.9191003758221108	0.8566666666666667	0.8101652542372881	0.9033413621262458
D-SCRIPT	Literature	644	454	454	0.48990683229813664	0.45246691312100346	0.5270918865257773	0.6071428571428571	0.5611537990362889	0.6533338658146964	0.6125776397515528	0.5661524105754276	0.6577790228240828
D-SCRIPT	Literature conflict-free	502	399	399	0.48804780876494025	0.4465255314351311	0.528660399264492	0.5826693227091634	0.5292448398786781	0.6297876298889226	0.5946215139442231	0.5422874493927126	0.6438988617010618
D-SCRIPT	Structure	289	255	255	0.5103806228373703	0.45034989750477133	0.5695585766253148	0.7058823529411765	0.6486426797822558	0.7612516353454706	0.7058823529411765	0.6498172527748841	0.7594061259316013
Topsy-Turvy	Literature	644	454	454	0.45419254658385094	0.4152935081125592	0.4921041769548842	0.7298136645962733	0.6914885200646378	0.7659282993873158	0.7515527950310559	0.7112209320010342	0.7894800202754076
Topsy-Turvy	Literature conflict-free	502	399	399	0.4760956175298805	0.42856088301462314	0.5196216793168881	0.7151394422310757	0.6723430514157973	0.7577087426326129	0.7310756972111554	0.6912278053141764	0.7749208925614415
Topsy-Turvy	Structure	289	255	255	0.5	0.43992400320777886	0.5592664540708678	0.7820069204152249	0.7349714102152265	0.8297120721554117	0.7612456747404844	0.7071428571428572	0.8063623017172804
SPRINT	Literature	700	494	494	0.47	0.43450442450622095	0.5110007440314084	0.8085714285714286	0.7732364853863063	0.8414231938000637	0.8142857142857143	0.7790482457103063	0.8478874300016969
SPRINT	Literature conflict-free	551	437	437	0.4691470054446461	0.42975824240081345	0.5098143997375901	0.8003629764065335	0.7623377969920072	0.8339417741805155	0.8003629764065335	0.7642699506095529	0.8355140186915888
SPRINT	Structure	300	266	266	0.5466666666666666	0.48834431936009476	0.6044657534246576	0.5816666666666667	0.5234899328859061	0.6369718073502266	0.5433333333333333	0.4833319397993311	0.6041311610744204
