directed_pair_id,score
A0A063XCP1|Q7Y0H2:forward,0.000215
A0A063XCP1|Q7Y0H2:reverse,0.000186
A0A072ZPV8|P25106:forward,0.000187
A0A072ZPV8|P25106:reverse,0.000241
A0A0G4FDJ8|Q93077:forward,0.000338
A0A0G4FDJ8|Q93077:reverse,0.000153
A0A0G4HFQ7|Q13323:forward,0.005542
A0A0G4HFQ7|Q13323:reverse,0.008634
A0A0M3KL10|P70371:forward,0.001248
A0A0M3KL10|P70371:reverse,0.012058
A0A0M3KL13|Q86Y07:forward,0.000060
A0A0M3KL13|Q86Y07:reverse,0.003600
A0A1D5SLI4|A0A5S8WF90:forward,0.988945
A0A1D5SLI4|A0A5S8WF90:reverse,0.003682
A0A1D8NGI5|P28700:forward,0.000058
A0A1D8NGI5|P28700:reverse,0.000081
A0A1S3YEW3|Q9GZQ3:forward,0.000187
A0A1S3YEW3|Q9GZQ3:reverse,0.000113
A0A241XG65|P61161:forward,0.000316
A0A241XG65|P61161:reverse,0.000113
A0A287AEW0|Q96DB2:forward,0.000050
A0A287AEW0|Q96DB2:reverse,0.000062
A0A2K1IAD0|Q9NQP4:forward,0.000078
A0A2K1IAD0|Q9NQP4:reverse,0.000105
A0A2K1J0L9|Q16548:forward,0.002347
A0A2K1J0L9|Q16548:reverse,0.000222
A0A2K1JC42|Q06609:forward,0.000091
A0A2K1JC42|Q06609:reverse,0.000080
A0A2K1JDR4|C3SR12:forward,0.555618
A0A2K1JDR4|C3SR12:reverse,0.001369
A0A2K3DG79|Q96GE6:forward,0.000102
A0A2K3DG79|Q96GE6:reverse,0.000070
A0A3Q7G7F0|Q06124:forward,0.000529
A0A3Q7G7F0|Q06124:reverse,0.000614
A0A482JYH1|P48283:forward,0.000263
A0A482JYH1|P48283:reverse,0.000269
A0A4V8GZZ4|Q6IAW1:forward,0.016314
A0A4V8GZZ4|Q6IAW1:reverse,0.002752
A0A4V8H004|P68106:forward,0.000455
A0A4V8H004|P68106:reverse,0.000838
A0A4X1TFI3|O15527:forward,0.000069
A0A4X1TFI3|O15527:reverse,0.000064
A0A5C2G4I7|O14746:forward,0.001326
A0A5C2G4I7|O14746:reverse,0.000525
A0A5C2GVU3|O95718:forward,0.000071
A0A5C2GVU3|O95718:reverse,0.000098
A0A5C6J4N7|Q9Y6Q9:forward,0.004479
A0A5C6J4N7|Q9Y6Q9:reverse,0.001224
A0A5S8WF79|P11142:forward,0.022560
A0A5S8WF79|P11142:reverse,0.009762
A0A5S8WF89|A0QVB8:forward,0.996898
A0A5S8WF89|A0QVB8:reverse,0.007917
A0A8D2A9I1|P05121:forward,0.000208
A0A8D2A9I1|P05121:reverse,0.000053
A0A8W4F9W9|O60880:forward,0.000715
A0A8W4F9W9|O60880:reverse,0.000463
A0ACD6B9N1|Q3SYX9:forward,0.000121
A0ACD6B9N1|Q3SYX9:reverse,0.000077
A0QSG2|Q9UK05:forward,0.000052
A0QSG2|Q9UK05:reverse,0.000077
A0R550|A0A2K1JC42:forward,0.000559
A0R550|A0A2K1JC42:reverse,0.011448
A0T0V0|P0AFW0:forward,0.000517
A0T0V0|P0AFW0:reverse,0.000504
A1B4F2|P01738:forward,0.000075
A1B4F2|P01738:reverse,0.000093
A2P1G9|Q15306:forward,0.000552
A2P1G9|Q15306:reverse,0.000773
A5YKK6|Q58FF6:forward,0.997693
A5YKK6|Q58FF6:reverse,0.804110
A6QRA1|Q15942:forward,0.001556
A6QRA1|Q15942:reverse,0.001815
A8IH07|P60842:forward,0.000498
A8IH07|P60842:reverse,0.001096
A8IJY7|P07823:forward,0.010479
A8IJY7|P07823:reverse,0.729735
A8IL32|P51693:forward,0.000078
A8IL32|P51693:reverse,0.000083
A8IY95|P33681:forward,0.000054
A8IY95|P33681:reverse,0.000060
A8J3C3|Q13148:forward,0.000058
A8J3C3|Q13148:reverse,0.000087
A9WEV6|P61982:forward,0.001969
A9WEV6|P61982:reverse,0.001085
B3H6Z4|Q13185:forward,0.000181
B3H6Z4|Q13185:reverse,0.000238
B7U179|A8IJ60:forward,0.000070
B7U179|A8IJ60:reverse,0.000065
B8BRQ8|Q5S006:forward,0.000228
B8BRQ8|Q5S006:reverse,0.000098
B8C770|Q9BCZ4:forward,0.006422
B8C770|Q9BCZ4:reverse,0.029911
