acc_low	acc_high	query_status	detection_method	publication	interaction_type	source_database	interaction_identifier	confidence	expansion_method	negative_interaction_flag
P62487	P63272	complete								
A0T0U5	A0T0V1	complete								
Q97Z84	Q980U8	complete								
A0A9R0JVI6	P11705	complete								
P41586	P59768	complete								
A0QU24	A0QU35	complete								
P46217	Q4JAY4	complete								
P22685	Q551M2	complete								
Q8RGE0	Q8RGE3	complete								
Q72GR8	Q72GR9	complete								
P20282	P21467	complete								
A8ITV3	P12154	complete								
P53803	Q92966	complete								
Q24I09	W7XBF5	complete								
D5AQG8	D5AQH2	complete								
P05805	Q7M3E1	complete								
P26784	P36160	complete	"psi-mi:""MI:0004""(affinity chromatography technology)"	pubmed:23788678|imex:IM-24489	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10918966|imex:IM-24489-13	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
V5V9F4	V5V9K5	complete								
C4R0E6	C4R1V1	complete								
P13165	P69416	complete								
A0A8D1KNW4	P60899	complete								
P00428	P04038	complete								
P06899	P52435	complete								
P04310	P21603	complete								
Q76B86	Q9TM21	complete								
C3SQX2	C3SR57	complete								
A0A4V8GZZ5	A0A4V8GZZ8	complete								
A0A2K3DG79	A8J353	complete								
P0C6E0	Q9KPS1	complete								
Q9TM20	Q9TM22	complete								
A0A9R0I5M6	A0A9R0JF29	complete								
O74499	P87173	complete								
A0A2P6U4K1	W8SY74	complete								
O43036	O94616	complete								
A0QVB8	A0R550	complete								
D0CD11	D0CD21	complete								
Q2G111	Q2G2Q1	complete								
P39744	P43586	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:16429126	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-793683	intact-miscore:0.81	"psi-mi:""MI:1060""(spoke expansion)"	false
P39744	P43586	complete	"psi-mi:""MI:1356""(validated two hybrid)"	pubmed:25877921|imex:IM-23972	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10710103|imex:IM-23972-417	intact-miscore:0.81	-	false
P39744	P43586	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:25877921|imex:IM-23972	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10706767|imex:IM-23972-45	intact-miscore:0.81	-	false
P39744	P43586	complete	"psi-mi:""MI:0397""(two hybrid array)"	pubmed:25877921|imex:IM-23972	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10708187|imex:IM-23972-197	intact-miscore:0.81	-	false
C4QY79	C4R273	complete								
P04637	P61218	complete								
P21471	P21476	complete								
P07839	Q75VY9	complete								
P39748	P49005	complete								
Q13426	Q9NP87	complete								
D7P897	K0J903	complete								
A0A444WZ62	A0A445CVZ9	complete								
O19882	O19928	complete								
Q8DIP0	Q8DLJ8	complete								
P09192	P29256	complete								
O49653	Q6NMZ4	complete								
E9NPS7	I0YQ46	complete								
P42919	P56849	complete								
Q2FW20	Q2FXK6	complete								
O94376	O94646	complete								
A0A069Q263	A0A069QC99	complete								
P13192	P69416	complete								
A0A6I8WFT8	C1K003	complete								
P38751	P40465	complete								
Q27RN4	Q27RN5	complete								
P07703	P36121	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:16429126	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-804331	intact-miscore:0.67	"psi-mi:""MI:1060""(spoke expansion)"	false
G0RZG4	G0SCD1	complete								
P0A9T8	P0ADA1	complete								
P28000	P47076	complete								
A8IH07	A8IJY7	complete								
P00044	P07256	complete								
P9WGY5	P9WHJ5	complete								
Q23YW7	Q24CL2	complete								
O19928	Q9TM46	complete								
Q940U6	Q9LU39	complete								
Q05AW3	Q66IZ6	complete								
A0A4V8GZZ7	A0A4V8H005	complete								
G0RZG4	G0S1P1	complete								
P20435	Q12004	complete								
P53803	P63272	complete								
Q9CPW4	Q9CVB6	complete								
P0A800	P0AGB6	complete								
Q95695	Q9FG89	complete								
P02309	P47128	complete								
A0A1S3X2G3	A0A1S3ZQT7	complete								
C1K003	Q56D18	complete								
Q2FZ25	Q2G113	complete								
Q83D88	Q83EQ9	complete								
Q57TX9	Q586H1	complete								
P08913	P59768	complete								
F2Z4H3	Q32PE0	complete								
C4R2U9	C4R997	complete								
P73069	Q55330	complete								
E1C9K8	P17227	complete								
Q8DKZ4	Q8DLL4	complete								
P61201	Q9UBF6	complete								
D7NIZ2	D8V7I7	complete								
A0A2K1IAD0	A0A2K1IB10	complete								
A0A125YS93	A0A125YU99	complete								
P25515	P38784	complete								
A0A1S3XP85	A0A1S4BFK7	complete								
P02602	P68135	complete								
P01116	Q13617	complete								
Q9VLI9	Q9VUZ1	complete								
A0A4V8GZZ6	A0A4V8GZZ7	complete								
Q83EQ3	Q83ES5	complete								
P39933	Q12308	complete								
O15446	Q3B726	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54916739|imex:IM-29278-21121	intact-miscore:0.35	"psi-mi:""MI:1060""(spoke expansion)"	false
A0AAB0B1U3	A0AAB0B1V7	complete								
A0A2P6TPV8	A0A2P6TQ14	complete								
O60921	P35250	complete								
A0A6C0M5W0	A0ABF7PQ09	complete								
D5MAL3	Q32904	complete								
A0T0V1	B8CEQ3	complete								
P03903	Q9CR21	complete								
P20436	P32910	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:16429126	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-809290	intact-miscore:0.66	"psi-mi:""MI:1060""(spoke expansion)"	false
P12356	Q75VY9	complete								
E1C9K6	E1C9K9	complete								
Q08920	Q12330	complete								
E9NPW6	I0YPL4	complete								
P56768	Q949Q5	complete								
E9NPV2	I0YWK6	complete								
O19925	Q76FB0	complete								
Q09177	Q09191	complete								
A0A063X781	A0A063XCP1	complete								
P0A431	P59087	complete								
A0A4X1VEK9	A0A8D1B522	complete								
Q01667	Q8LCQ4	complete								
P09190	P73069	complete								
E3UIU6	M2XWX3	complete								
O74825	P36595	complete								
P0A7W7	P69222	complete								
A1B4F4	A1BA41	complete								
P49427	Q15370	complete								
Q9P6Q0	Q9Y7N2	complete								
F2QT90	F2R0J7	complete								
C3SYP2	W8T6F0	complete								
P59768	Q9GZQ6	complete								
A0A125YN38	S7W9J5	complete								
A0A2K1IAD0	A0A2K1JC42	complete								
Q8SD23	Q8SDD6	complete								
O52760	P45684	complete								
P24964	Q2EN79	complete								
Q1HFW0	Q1HFX0	complete								
A0A1S4CKK0	A0A1S4D7C7	complete								
B0C4H4	B0C7S7	complete								
P07470	P07471	complete								
A0A4V8H007	A0A4V8H010	complete								
Q1HFW0	Q1HFW2	complete								
P35346	P59768	complete								
Q8DJD9	Q8DKF5	complete	"psi-mi:""MI:0404""(comigration in non denaturing gel electrophoresis)"	pubmed:15910282	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-629859	intact-miscore:0.40	"psi-mi:""MI:1060""(spoke expansion)"	false
O31742	P19947	complete								
A0T0S9	A0T0V0	complete								
Q9P4W1	Q9UTF6	complete								
P59768	Q96RJ0	complete								
P39543	P40540	complete								
M1VKK5	Q85G47	complete								
A0A2K1JDR4	A0A2K1JLW2	complete								
P62877	Q96L50	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:15601820|imex:IM-19076	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2659440|imex:IM-19076-20	intact-miscore:0.35	"psi-mi:""MI:1060""(spoke expansion)"	false
P62877	Q96L50	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:15601820|imex:IM-19076	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2659451|imex:IM-19076-21	intact-miscore:0.35	"psi-mi:""MI:1060""(spoke expansion)"	false
A8IKI9	A8J4K5	complete								
A3DF17	A3DH98	complete								
F2CW18	F2DAN8	complete								
P0AB98	P0ABA4	complete								
P0A7G2	P0AG63	complete								
P58066	Q9A999	complete								
A0A0M3KL13	E1C9K6	complete								
D7P6B9	K0J903	complete								
P58568	Q8YQ35	complete								
P61769	Q6PJ56	complete								
A8J7H8	Q9FV97	complete								
P32447	P53853	complete								
P23968	P41806	complete								
P43627	P61769	complete								
A0A4V8GZZ7	A0A4V8H007	complete								
A0A4V8H002	A0A4V8H007	complete								
P01887	Q5R1F1	complete								
T1RJ05	T1RJ07	complete								
Q06675	Q2V2P8	complete								
A0A2P6TPR7	A0A2P6TZ50	complete								
P0A7Z6	P0A802	complete								
Q5U4U4	Q7ZT47	complete								
P63104	Q15369	complete								
F4JYR0	Q9SN86	complete								
P04911	Q12509	complete								
O15514	P60002	complete								
E3UIU1	M2VTV2	complete								
A6QRA1	O81097	complete								
P20436	P47076	complete								
A0A0F6NGI2	P09911	complete								
P60002	P62487	complete								
P22139	P53063	complete								
P63096	Q07325	complete								
Q49QE8	Q49QI2	complete								
C4R0E6	C4R3P8	complete								
P60900	Q9BT73	complete								
A0A2P6TPR7	A0A2P6TPV8	complete								
Q22MV2	Q22R86	complete								
C1DMA5	Q9F5Y0	complete								
P38291	Q12530	complete								
P0DOX5	Q8N5F4	complete								
A0A9R0J252	P06505	complete								
Q9FHW7	Q9SLH3	complete								
B7IA16	B7IBC1	complete								
O15446	P0DPB6	complete								
A0A3B6IU74	W5I035	complete								
Q8DL30	Q8DL61	complete								
A0QS97	A0QSD5	complete								
A0A2P6TKF8	A0A2P6TZ50	complete								
P01887	P04214	complete								
P62875	Q9HAW0	complete								
P78346	Q9BUL9	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21799702|imex:IM-25778-707	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
P78346	Q9BUL9	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54780798|imex:IM-29278-14575	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
P78346	Q9BUL9	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54938866|imex:IM-29278-22521	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
A0A2K3E6S5	P92276	complete								
A0A2K3CYB6	A8HUP3	complete								
A0A9R0K533	P06505	complete								
P0A7G2	P0A7W7	complete								
A0A2K1JC42	Q6YXQ2	complete								
A2A825	Q8C456	complete								
A0A2V3F2U6	E2RXT8	complete								
P06224	P12464	complete								
P0A7W1	P39286	complete								
Q15382	Q7L523	complete								
A0A2P6TMX4	W8SKM2	complete								
P38632	Q05541	complete	"psi-mi:""MI:0096""(pull down)"	pubmed:14690591	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-853302	intact-miscore:0.67	"psi-mi:""MI:1060""(spoke expansion)"	false
P38632	Q05541	complete	"psi-mi:""MI:0096""(pull down)"	pubmed:14690591	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-853683	intact-miscore:0.67	"psi-mi:""MI:1060""(spoke expansion)"	false
P30989	P50148	complete								
A0A063X781	A0A063X8U6	complete								
Q24DJ0	W7WX86	complete								
P10606	Q9BW72	complete								
P0AB98	P0ABA6	complete								
D7P6B9	D8V7I7	complete								
B8YB59	B8YB61	complete								
B8YB57	B8YB64	complete								
G0S8E0	G0SEC7	complete								
A8IH07	A8IXD6	complete								
A0A2K9VK88	A0A2K9VK98	complete								
P02309	Q12509	complete								
B4DIJ7	Q9C005	complete								
P0DOX5	S6B291	complete								
B6SQZ7	B6U534	complete								
Q75VY4	Q75VZ0	complete								
P41227	P84098	complete								
P31173	P48116	complete								
B8H4F8	B8H618	complete								
P60292	Q8U0M4	complete								
Q2FW08	Q2FW16	complete								
A8IKI9	A8J7I9	complete								
Q8DMP8	Q9F1K9	complete								
Q8U0Z8	Q8U104	complete								
P59768	Q03431	complete								
P62090	Q9SHE8	complete								
A0A125YPC9	A0A125YW21	complete								
A0A0M3KL10	E1C9L2	complete								
P09669	P14406	complete								
Q9P6Q0	Q9USH1	complete								
O43143	Q7RTV0	complete								
I0YPL4	I0Z687	complete								
A0A2D0TC97	A0A2D0TCA6	complete								
Q8LE42	Q8LFJ6	complete								
P06336	P20490	complete								
P16033	P19569	complete								
C4QXY9	C4R7L2	complete								
A0A1S3XP85	A0A1S3YXM6	complete								
P14949	P50621	complete								
C4R009	C4R2R6	complete								
M1UU36	Q85G47	complete								
P13183	Q01321	complete								
O15160	Q92966	complete								
O14625	P63096	complete								
D0MDD9	D0MKF0	complete								
A5F5X0	A5F5Y4	complete								
E9NPW6	I0Z2Y0	complete								
P84077	Q9HAD4	complete								
A0A3B6IU74	A0A3B6KRQ3	complete								
Q2T9T3	Q32P78	complete								
Q8SDC8	Q8SDD3	complete								
O14818	Q9BT73	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54728392|imex:IM-29278-9183	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
P68431	Q96GM5	complete								
A0A3Q7G7F0	A0A3Q7I881	complete								
P20226	Q92966	complete								
A0A4V8H004	A0A4V8H005	complete								
O15318	Q9Y2Y1	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54636075|imex:IM-29278-4251	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
O15318	Q9Y2Y1	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54880290|imex:IM-29278-19691	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
Q5MNZ6	Q9P0N9	complete								
E9NPX1	I0Z7A6	complete								
Q1HFX1	Q1HGH9	complete								
A8J4K5	A8J8N9	complete								
P20436	Q04307	complete								
A0A2K9VK88	A0A2K9VKE4	complete								
F2Z4C9	Q32P73	complete								
P07992	Q92759	complete								
Q83D75	Q83E83	complete								
B8YB54	B8YB56	complete								
O74471	Q9P4W1	complete								
A0A2K3D1M1	A8HRZ4	complete								
P14406	Q9BW72	complete								
A0A1S3X147	A0A1S4CE74	complete								
P78345	P78346	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21799702|imex:IM-25778-707	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
P78345	P78346	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54780798|imex:IM-29278-14575	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
P78345	P78346	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54939086|imex:IM-29278-22535	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
P9WPU7	P9WPV7	complete								
P12873	P42920	complete								
P20143	P36213	complete								
A0A333U4T6	V5V9F4	complete								
P00420	P00424	complete								
P38632	Q07913	complete								
P19844	Q52529	complete								
C4LXM0	C4M5A0	complete								
C4B7Q7	C4B7Q8	complete								
A0ACD6B9L6	A0ACD6B9N1	complete								
Q8DL32	Q8DL61	complete								
C4R0E6	C4R2R6	complete								
P36121	P47076	complete								
F2Z4C9	F2Z4H3	complete								
Q9KPS1	Q9X4Q6	complete								
A0A125YTU2	S8GED8	complete								
A0A4V8H004	A0A4V8H008	complete								
P87310	Q9USH1	complete								
E9NPV2	I0Z284	complete								
A0A125YZ21	S8GED8	complete								
D0CD01	D0CD03	complete								
P45684	Q9HTM1	complete								
Q7L5N1	Q9UBF6	complete								
P36121	P40422	complete								
A0A125YZN9	S7W9J5	complete								
Q97ZJ9	Q980L5	complete								
Q8VZ65	Q9FYF8	complete								
A0A2K3DGW6	A0A2K3DLI2	complete								
F2QVW8	F2QZ97	complete								
Q9SUI5	Q9SUI7	complete								
P62653	P62662	complete								
Q8U0M2	Q8U4N1	complete								
P62012	Q9V0G0	complete								
P02607	P68139	complete								
P52434	P63272	complete								
Q15370	Q8N884	complete								
Q22R86	Q24CE5	complete								
A8J8N9	P23662	complete								
Q1JQ91	Q32P79	complete								
O34399	P50735	complete								
P62877	P68036	complete								
P60292	Q8U4N1	complete								
Q54J50	Q54VN6	complete								
P60900	Q5JS54	complete								
T1RJ07	T1RJT6	complete								
M2XR49	M2XW22	complete								
B8BUW3	B8LEQ8	complete								
C4LXN2	C4M0Q2	complete								
A0A1S3TUX2	A0A1S3UMA0	complete								
A0A4V8GZZ4	A0A4V8H001	complete								
I0YVS7	I0YWK6	complete								
A0A2P6TPV8	A0A2P6U4K1	complete								
O74471	O74988	complete								
P0A384	Q8YVQ2	complete								
A0A4V8GZZ7	A0A4V8H008	complete								
Q72I32	Q72L95	complete								
Q2FW20	Q2G111	complete								
Q9KXS1	Q9L0Q9	complete								
P9WGH5	P9WGZ1	complete								
P20637	P21082	complete								
A0A125YZN9	S7UR33	complete								
A0A4V8GZZ3	A0A4V8GZZ8	complete								
A0A1B2U0I9	A0A1M5L8M4	complete								
A5FJF4	A5FJF5	complete								
Q5JE34	Q5JI52	complete								
A0A2K1JKF2	A0A2K1JLZ3	complete								
P20226	Q9Y2Y1	complete								
A0QS96	A0QSP9	complete								
P0A3C9	Q8DJ01	complete								
I0YPL4	I0YQ13	complete								
O94581	Q9P4W1	complete								
O95619	O96019	complete	"psi-mi:""MI:0004""(affinity chromatography technology)"	pubmed:15647280	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-769938	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	O96019	complete	"psi-mi:""MI:0004""(affinity chromatography technology)"	pubmed:15647280	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-777037	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	O96019	complete	"psi-mi:""MI:0004""(affinity chromatography technology)"	pubmed:15647280	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-777062	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	O96019	complete	"psi-mi:""MI:0004""(affinity chromatography technology)"	pubmed:15647280	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-777108	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	O96019	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:26496610|imex:IM-24272	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11158562|imex:IM-24272-1293	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
P40337	Q9H9Q2	complete								
Q6DBA5	Q9FJ98	complete								
A0A4V8H004	A0A4V8H007	complete								
D5ANZ2	D5ARP7	complete								
A0A0M3KL10	P09911	complete								
P00175	P33448	complete								
Q1HFW0	Q1HGH8	complete								
C4QXY9	C4R1V1	complete								
O95619	Q9Y265	complete	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	pubmed:16230350	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-769253	intact-miscore:0.84	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	Q9Y265	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21705814|imex:IM-25778-2741	intact-miscore:0.84	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	Q9Y265	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:26496610|imex:IM-24272	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11158562|imex:IM-24272-1293	intact-miscore:0.84	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	Q9Y265	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54636757|imex:IM-29278-4279	intact-miscore:0.84	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	Q9Y265	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54898790|imex:IM-29278-20347	intact-miscore:0.84	"psi-mi:""MI:1060""(spoke expansion)"	false
O95619	Q9Y265	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-55007762|imex:IM-29278-28053	intact-miscore:0.84	"psi-mi:""MI:1060""(spoke expansion)"	false
Q13098	Q9UBW8	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54676940|imex:IM-29278-5909	intact-miscore:0.81	"psi-mi:""MI:1060""(spoke expansion)"	false
Q13098	Q9UBW8	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54815993|imex:IM-29278-18089	intact-miscore:0.81	"psi-mi:""MI:1060""(spoke expansion)"	false
Q13098	Q9UBW8	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-55007946|imex:IM-29278-28063	intact-miscore:0.81	"psi-mi:""MI:1060""(spoke expansion)"	false
Q56218	Q56226	complete								
P0A800	P0A9E2	complete								
Q32904	Q9SQL2	complete								
B7UL97	B7UL98	complete								
P60002	P61218	complete								
Q96CS2	Q99871	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	imex:IM-11719|pubmed:20360068	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2637122|imex:IM-11719-248	intact-miscore:0.83	"psi-mi:""MI:1060""(spoke expansion)"	false
Q96CS2	Q99871	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54600220|imex:IM-29278-2999	intact-miscore:0.83	"psi-mi:""MI:1060""(spoke expansion)"	false
Q96CS2	Q99871	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54906658|imex:IM-29278-20629	intact-miscore:0.83	"psi-mi:""MI:1060""(spoke expansion)"	false
A0QU29	A0QU35	complete								
A0ACD6B989	Q8YQ35	complete								
A0A5S8WF79	A0A5S8WF81	complete								
P41227	Q02878	complete								
Q980B8	Q980L5	complete								
P22139	P32349	complete								
O81097	Q38859	complete								
A0A0G4FDJ8	A0A0G4HMN0	complete								
P32830	P33421	complete								
A0QNR5	A0QWR2	complete								
P01097	Q12165	complete								
A0A9R0I5M6	A0A9R0IWV5	complete								
P20435	P53063	complete								
F5LA71	F5LA74	complete								
A1B4F3	A1BA41	complete								
A0QSG6	A0R102	complete								
P0AFF6	P0AFW0	complete								
Q24C31	W7WX86	complete								
M1VKK5	Q85FZ1	complete								
O80800	Q42577	complete								
Q8DHA7	Q8DLJ8	complete								
F2QVA2	F2QZ97	complete								
O94616	P36595	complete								
O00399	P61163	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21750529|imex:IM-25778-9405	intact-miscore:0.64	"psi-mi:""MI:1060""(spoke expansion)"	false
