panel	dataset	score
6b	Random negative	0.000169
6b	Random negative	0.999584
6b	Random negative	0.000149
6b	Random negative	0.943698
6b	Random negative	0.999923
6b	Random negative	0.000197
6b	Random negative	6.4e-05
6b	Random negative	0.763147
6b	Random negative	0.000557
6b	Random negative	0.778494
6b	Random negative	0.000183
6b	Random negative	0.000421
6b	Random negative	0.000281
6b	Random negative	0.000393
6b	Random negative	0.041353
6b	Random negative	0.999938
6b	Random negative	0.000552
6b	Random negative	0.001764
6b	Random negative	0.999689
6b	Random negative	0.999945
6b	Random negative	8.8e-05
6b	Random negative	0.000109
6b	Random negative	0.001053
6b	Random negative	0.000102
6b	Random negative	0.001297
6b	Random negative	0.000108
6b	Random negative	0.002689
6b	Random negative	0.000578
6b	Random negative	0.048492
6b	Random negative	0.999939
6b	Random negative	0.01261
6b	Random negative	6.8e-05
6b	Random negative	6e-05
6b	Random negative	0.000395
6b	Random negative	8e-05
6b	Random negative	0.054346
6b	Random negative	0.00043
6b	Random negative	0.078568
6b	Random negative	6.8e-05
6b	Random negative	0.969361
6b	Random negative	8.8e-05
6b	Random negative	6.6e-05
6b	Random negative	0.999944
6b	Random negative	0.001132
6b	Random negative	0.034096
6b	Random negative	4.9e-05
6b	Random negative	0.057158
6b	Random negative	0.000179
6b	Random negative	0.000156
6b	Random negative	0.000243
6b	Random negative	0.999935
6b	Random negative	0.99988
6b	Random negative	0.987872
6b	Random negative	0.000277
6b	Random negative	0.999923
6b	Random negative	0.000118
6b	Random negative	0.035604
6b	Random negative	0.008328
6b	Random negative	0.008869
6b	Random negative	0.581812
6b	Random negative	0.000165
6b	Random negative	0.001704
6b	Random negative	0.000351
6b	Random negative	0.009888
6b	Random negative	0.001992
6b	Random negative	0.999933
6b	Random negative	0.04989
6b	Random negative	0.000138
6b	Random negative	0.709998
6b	Random negative	0.191104
6b	Random negative	7.5e-05
6b	Random negative	5.9e-05
6b	Random negative	0.000116
6b	Random negative	0.313563
6b	Random negative	0.218039
6b	Random negative	0.991681
6b	Random negative	0.003715
6b	Random negative	0.010711
6b	Random negative	0.133933
6b	Random negative	0.000315
6b	Random negative	0.000127
6b	Random negative	0.000398
6b	Random negative	0.000458
6b	Random negative	0.013363
6b	Random negative	0.013142
6b	Random negative	0.001907
6b	Random negative	0.000198
6b	Random negative	0.932464
6b	Random negative	0.000118
6b	Random negative	5.4e-05
6b	Random negative	0.995792
6b	Random negative	0.004952
6b	Random negative	0.219861
6b	Random negative	0.99983
6b	Random negative	0.463772
6b	Random negative	0.999921
6b	Random negative	0.017123
6b	Random negative	0.938072
6b	Random negative	0.034088
6b	Random negative	0.0001
6b	Random negative	0.997103
6b	Random negative	0.999583
6b	Random negative	0.001365
6b	Random negative	0.140683
6b	Random negative	0.983857
6b	Random negative	0.000107
6b	Random negative	0.0011
6b	Random negative	0.946772
6b	Random negative	0.00037
6b	Random negative	0.000123
6b	Random negative	0.999871
6b	Random negative	0.001214
6b	Random negative	0.713468
6b	Random negative	0.000123
6b	Random negative	0.992416
6b	Random negative	0.999939
6b	Random negative	6.5e-05
6b	Random negative	0.105754
6b	Random negative	0.000139
6b	Random negative	0.999935
6b	Random negative	6.2e-05
6b	Random negative	7.4e-05
6b	Random negative	0.00018
6b	Random negative	0.000155
6b	Random negative	0.000206
6b	Random negative	0.013422
6b	Random negative	6.2e-05
