layer	layer_name	mint_context	mint_context_lo	mint_context_hi	esm2_context	delta_context	mint_contact	mint_contact_lo	mint_contact_hi	esm2_contact	delta_contact	mint_rho	esm2_rho	mint_cos_ad_ac	esm2_cos_ad_ac	mint_cos_ad_ar	esm2_cos_ad_ar	n_test
0	L0_embed	0.391646	0.365318	0.421454	0.398573	-0.006926	0.492119	0.464256	0.521592	0.496087	-0.003968	0.748029	0.742864	0.982409	0.971514	0.971067	0.952423	540
1	L1	0.567677	0.547287	0.590688	0.481190	0.086487	0.525545	0.499490	0.551319	0.484825	0.040720	0.710689	0.743035	0.989566	0.996467	0.982112	0.994436	540
2	L2	0.560394	0.539703	0.578953	0.562900	-0.002507	0.502092	0.475165	0.529523	0.492301	0.009791	0.699157	0.736026	0.991348	0.997277	0.984885	0.995669	540
3	L3	0.514077	0.494723	0.533946	0.494029	0.020048	0.502274	0.482937	0.525702	0.494362	0.007912	0.692210	0.729228	0.988119	0.996966	0.979343	0.995160	540
4	L4	0.507096	0.490599	0.522045	0.484695	0.022401	0.485014	0.468509	0.502750	0.500597	-0.015583	0.694039	0.724459	0.983606	0.995925	0.971908	0.993456	540
5	L5	0.505721	0.491034	0.519753	0.494739	0.010983	0.484623	0.463536	0.503197	0.480374	0.004249	0.693509	0.721337	0.978705	0.994440	0.964378	0.991154	540
6	L6	0.486637	0.464355	0.507732	0.546453	-0.059817	0.499534	0.479913	0.520721	0.516166	-0.016632	0.703251	0.724693	0.967386	0.990264	0.947133	0.984841	540
7	L7	0.526451	0.508918	0.543591	0.532046	-0.005595	0.495449	0.479176	0.513165	0.513813	-0.018364	0.687416	0.710910	0.963018	0.986944	0.939188	0.979204	540
8	L8	0.493588	0.477854	0.510833	0.524391	-0.030803	0.498422	0.479199	0.518858	0.535178	-0.036756	0.677201	0.703845	0.973885	0.986092	0.955499	0.977371	540
9	L9	0.485515	0.466418	0.504847	0.488236	-0.002721	0.495161	0.473944	0.514707	0.502771	-0.007610	0.688377	0.706339	0.981125	0.987456	0.968535	0.979420	540
10	L10	0.469134	0.448695	0.485526	0.418442	0.050692	0.497191	0.481159	0.514948	0.526972	-0.029781	0.661183	0.715867	0.988700	0.991067	0.979696	0.985416	540
11	L11	0.489521	0.470596	0.507975	0.457082	0.032438	0.494931	0.477968	0.513020	0.501399	-0.006468	0.674433	0.693784	0.981971	0.987051	0.968804	0.978378	540
12	L12	0.456601	0.438452	0.473868	0.549699	-0.093098	0.505113	0.488575	0.524479	0.502294	0.002819	0.651732	0.662858	0.984656	0.990044	0.972105	0.982308	540
13	L13	0.460495	0.438112	0.488604	0.474452	-0.013957	0.497044	0.478932	0.513747	0.485648	0.011396	0.670605	0.673683	0.978285	0.986850	0.961503	0.976779	540
14	L14	0.525395	0.504229	0.546593	0.508262	0.017133	0.503680	0.488875	0.521138	0.481361	0.022318	0.658710	0.657881	0.973308	0.985305	0.952391	0.973479	540
15	L15	0.462182	0.442793	0.484137	0.443713	0.018469	0.511787	0.494683	0.529299	0.502603	0.009184	0.653408	0.661404	0.963238	0.980916	0.933809	0.965329	540
16	L16	0.516968	0.500507	0.535683	0.470884	0.046085	0.510741	0.495246	0.529771	0.498649	0.012092	0.662033	0.658440	0.957684	0.979044	0.925625	0.962029	540
17	L17	0.442696	0.418969	0.464015	0.503588	-0.060892	0.493539	0.471054	0.516416	0.513892	-0.020353	0.643647	0.640706	0.946514	0.973969	0.899974	0.949567	540
