protein_a	protein_b	in_manual_stringent	n_rows	pmids	methods	raw_ids	len_a	len_b
A2AM29	P30658	1	1	11439343	MI:0018 - two hybrid	A2AM29;P30658	569	519
A2ASQ1	P14151	1	1	15917223	MI:0045 - experimental	A2ASQ1;P14151	1950	372
A6NIX2	O60663	1	1	14736876	MI:0018 - two hybrid	A6NIX2;O60663	430	402
B2RWS6	P70434	1	1	10920266	MI:0059 - gst pull down	B2RWS6;P70434	2412	457
B2RWS6	P70671	1	1	10920266	MI:0059 - gst pull down	B2RWS6;P70671	2412	419
B9EKI3	P42224	1	1	15467733	MI:0019 - coimmunoprecipitation	B9EKI3;P42224	1091	750
O00167	P09471	1	1	15308761	MI:0004 - affinity chromatography technologies	O00167;P09471	538	354
O00206	Q8IUC6	1	1	14519765	MI:0018 - two hybrid	O00206;Q8IUC6	839	712
O00212	Q7L099	1	1	20376209	MI:0059 - gst pull down	O00212;Q7L099	210	469
O00220	Q13546	1	1	10894161	MI:0019 - coimmunoprecipitation	O00220;Q13546	468	671
O00220	Q15628	1	1	10894161	MI:0019 - coimmunoprecipitation	O00220;Q15628	468	312
O00238	P01137	1	1	7664647	MI:0405 - competition binding	O00238;P01137	502	390
O00238	P12465	1	1	7664647	MI:0405 - competition binding	O00238;P12465	502	1562
O00238	P22003	1	1	7664647	MI:0405 - competition binding	O00238;P22003	502	454
O00238	P22004	1	1	7664647	MI:0405 - competition binding	O00238;P22004	502	513
O00244	Q8N668	1	1	16554302	MI:0059 - gst pull down, MI:0110 - text mining	O00244;Q8N668	68	190
O00268	P12962	1	1	17375202	MI:0019 - coimmunoprecipitation	O00268;P12962	1085	161
O00311	P49736	0	1	15232106	MI:0096 - pull down	O00311;P49736	574	904
O00459	P04626	1	1	21127748	MI:0019 - coimmunoprecipitation, MI:0110 - text mining	O00459;P04626	728	1255
O00459	P20023	1	1	9886379	MI:0019 - coimmunoprecipitation	O00459;P20023	728	1033
O00459	P48736	1	1	7624799	MI:0401 - biochemical	O00459;P48736	728	1102
O00463	P25942	0	1	10428814	MI:0004 - affinity chromatography technologies	O00463;P25942	557	277
O00463	Q8TDR0	1	1	10791955	MI:0096 - pull down	O00463;Q8TDR0	557	691
O00482	Q96EB6	1	1	20375098	MI:0019 - coimmunoprecipitation	O00482;Q96EB6	541	747
O00499	P03255	1	1	18348166	MI:0401 - biochemical	O00499;P03255	593	289
O00623	O75192	1	1	12096124	MI:0018 - two hybrid	O00623;O75192	359	247
O00623	O75381	1	1	12096124	MI:0018 - two hybrid	O00623;O75381	359	377
O00623	O96011	1	1	12096124	MI:0018 - two hybrid	O00623;O96011	359	259
O00623	P28328	1	1	12096124	MI:0018 - two hybrid	O00623;P28328	359	305
O00623	P56589	1	1	12096124	MI:0018 - two hybrid	O00623;P56589	359	373
O00623	Q92968	1	1	12096124	MI:0018 - two hybrid	O00623;Q92968	359	403
O00623	Q9Y5Y5	1	1	12096124	MI:0018 - two hybrid	O00623;Q9Y5Y5	359	336
O00626	P51679	1	1	15067078	MI:0019 - coimmunoprecipitation	O00626;P51679	93	360
O00628	O60683	1	1	12096124	MI:0018 - two hybrid	O00628;O60683	323	326
O00628	O75192	1	1	12096124	MI:0018 - two hybrid	O00628;O75192	323	247
O00628	O75381	1	1	12096124	MI:0018 - two hybrid	O00628;O75381	323	377
O00628	O96011	1	1	12096124	MI:0018 - two hybrid	O00628;O96011	323	259
O00628	P28328	1	1	12096124	MI:0018 - two hybrid	O00628;P28328	323	305
O00628	P56589	1	1	12096124	MI:0018 - two hybrid	O00628;P56589	323	373
O00628	Q92968	1	1	12096124	MI:0018 - two hybrid	O00628;Q92968	323	403
O00628	Q9Y5Y5	1	1	12096124	MI:0018 - two hybrid	O00628;Q9Y5Y5	323	336
O00716	Q8TAK5	1	1	11884602	MI:0096 - pull down	O00716;Q8TAK5	465	448
O04291	Q61501	1	1	16876910	MI:0018 - two hybrid	O04291;Q61501	852	430
O04291	Q64701	1	1	16876910	MI:0018 - two hybrid	O04291;Q64701	852	1063
O04663	P29150	1	1	12124472	MI:0411- enzyme linked immunosorbent assay	O04663;P29150	198	2197
O08584	P11103	1	1	17283079	MI:0096 - pull down	O08584;P11103	283	1013
O08599	P70452	1	1	16186111	MI:0007 - anti tag coimmunoprecipitation	O08599;P70452	594	298
O08599	Q80T23	1	1	16186111	MI:0007 - anti tag coimmunoprecipitation	O08599;Q80T23	594	753
O08599	Q8K1E0	1	1	16186111	MI:0007 - anti tag coimmunoprecipitation	O08599;Q8K1E0	594	355
O08599	Q99N48	1	1	16186111	MI:0007 - anti tag coimmunoprecipitation	O08599;Q99N48	594	607
O08599	Q99N50	1	1	16186111	MI:0007 - anti tag coimmunoprecipitation	O08599;Q99N50	594	950
O08674	O35516	1	1	9111338	MI:0059 - gst pull down	O08674;O35516	515	2473
O08674	P12978	1	1	9111338	MI:0059 - gst pull down	O08674;P12978	515	487
O08674	P31695	1	1	9111338	MI:0059 - gst pull down	O08674;P31695	515	1964
O08674	Q01705	1	1	9111338	MI:0059 - gst pull down	O08674;Q01705	515	2531
O08674	Q61982	1	1	9111338	MI:0059 - gst pull down	O08674;Q61982	515	2318
O08715	P31324	1	1	11742813	MI:1200 - immunocytochemistry	O08715;P31324	857	416
O08734	Q80X44	1	1	16227588	MI:0019 - coimmunoprecipitation	O08734;Q80X44	209	710
O08747	Q8R4G0	1	1	14595443	MI:0004 - affinity chromatography technologies	O08747;Q8R4G0	931	539
O08785	P45481	1	1	19922678	MI:0019 - coimmunoprecipitation	O08785;P45481	855	2441
O08849	Q9Z0G0	1	1	9770488	MI:0018 - two hybrid	O08849;Q9Z0G0	211	333
O08915	P53762	1	1	9083006	MI:0019 - coimmunoprecipitation	O08915;P53762	330	791
O08983	Q99KG7	1	1	12663659	MI:0018 - two hybrid	O08983;Q99KG7	704	671
O12161	P08047	1	1	12753906	MI:0018 - two hybrid	O12161;P08047	101	785
O12161	Q01105	1	1	18226242	MI:0045 - experimental	O12161;Q01105	101	290
O12161	Q9QWV9	1	1	11750655	MI:0004 - affinity chromatography technologies	O12161;Q9QWV9	101	724
O14543	O60674	1	1	11713228	MI:0019 - coimmunoprecipitation	O14543;O60674	225	1132
O14640	P35222	1	1	11818547	MI:0007 - anti tag coimmunoprecipitation	O14640;P35222	695	781
O14640	P48729	1	1	11818547	MI:0007 - anti tag coimmunoprecipitation	O14640;P48729	695	337
O14640	P49841	1	1	11818547	MI:0007 - anti tag coimmunoprecipitation	O14640;P49841	695	420
O14640	Q92574	1	1	18291711	MI:0019 - coimmunoprecipitation	O14640;Q92574	695	1164
O14733	Q86Y07	1	1	18286207	MI:0096 - pull down	O14733;Q86Y07-2	419	508
O14763	Q13546	1	1	10894161	MI:0019 - coimmunoprecipitation	O14763;Q13546	440	671
O14763	Q15628	1	1	10894161	MI:0019 - coimmunoprecipitation	O14763;Q15628	440	312
O14775	Q6Y2X3	1	1	17363375	MI:0012 - bioluminescence resonance energy transfer	O14775;Q6Y2X3	395	702
O14776	O75400	1	1	15383276	MI:0018 - two hybrid	O14776;O75400	1098	957
O14776	P07196	1	1	15383276	MI:0018 - two hybrid	O14776;P07196	1098	543
O14776	P21246	1	1	15383276	MI:0018 - two hybrid	O14776;P21246	1098	168
O14776	P26641	1	1	15383276	MI:0018 - two hybrid	O14776;P26641	1098	437
O14776	P51693	1	1	15383276	MI:0018 - two hybrid	O14776;P51693	1098	650
O14776	P55854	1	1	15383276	MI:0018 - two hybrid	O14776;P55854	1098	103
O14776	Q16891	1	1	15383276	MI:0018 - two hybrid	O14776;Q16891	1098	758
O14776	Q5T3J3	1	1	15383276	MI:0018 - two hybrid	O14776;Q5T3J3	1098	769
O14776	Q7L311	1	1	15383276	MI:0018 - two hybrid	O14776;Q7L311	1098	632
O14776	Q9H213	1	1	15383276	MI:0018 - two hybrid	O14776;Q9H213	1098	219
O14776	Q9P2H0	1	1	15383276	MI:0018 - two hybrid	O14776;Q9P2H0	1098	1117
O14776	Q9UKY1	1	1	15383276	MI:0018 - two hybrid	O14776;Q9UKY1	1098	873
O14786	P15692	1	1	16909199	MI:0411- enzyme linked immunosorbent assay	O14786;P15692-8	923	395
O14788	Q68396	1	1	19134204	MI:0110 - text mining, MI:0411 - enzyme linked immunosorbent assay	O14788;Q68396	317	176
O14893	Q8TEQ6	1	1	17640873	MI:0019 - coimmunoprecipitation	O14893;Q8TEQ6	280	1508
O15105	P31269	1	1	10722652	MI:0413 - electrophoretic mobility shift assay	O15105;P31269	426	272
O15105	P31273	1	1	10722652	MI:0413 - electrophoretic mobility shift assay	O15105;P31273	426	242
O15105	Q13363	1	1	14645520	MI:0007 - anti tag coimmunoprecipitation	O15105;Q13363	426	440
O15105	Q9UPN9	1	1	15820681	MI:0007 - anti tag coimmunoprecipitation	O15105;Q9UPN9	426	1127
O15111	Q96Q05	1	1	15951441	MI:0006 - anti bait coimmunoprecipitation	O15111;Q96Q05	745	1148
