layer	layer_name	plm_context	plm_context_lo	plm_context_hi	esm2_context	delta_context	plm_contact	plm_contact_lo	plm_contact_hi	esm2_contact	delta_contact	plm_rho	esm2_rho	plm_cos_ad_ac	esm2_cos_ad_ac	plm_cos_ad_ar	esm2_cos_ad_ar	n_test
0	L0_embed	0.500000	0.500000	0.500000	0.500000	0.000000	0.500000	0.500000	0.500000	0.500000	0.000000	1.000000	nan	1.000000	1.000000	1.000000	1.000000	540
1	L1	0.497373	0.477286	0.523057	0.504516	-0.007142	0.477682	0.454324	0.493964	0.492167	-0.014486	0.713271	0.703634	0.993252	0.995959	0.988625	0.993041	540
2	L2	0.497599	0.477196	0.519180	0.508456	-0.010857	0.493313	0.474519	0.511841	0.500816	-0.007503	0.707260	0.699805	0.994088	0.996388	0.989952	0.993831	540
3	L3	0.511716	0.489565	0.532107	0.512601	-0.000886	0.499311	0.482446	0.512635	0.493690	0.005621	0.677945	0.662678	0.993526	0.996038	0.988458	0.992788	540
4	L4	0.517950	0.501869	0.533764	0.505832	0.012118	0.511804	0.498021	0.524953	0.500621	0.011183	0.663447	0.644966	0.991146	0.994344	0.983615	0.989387	540
5	L5	0.505816	0.490857	0.521077	0.513184	-0.007368	0.509955	0.491575	0.525748	0.492596	0.017359	0.662350	0.643750	0.988732	0.992306	0.979465	0.985730	540
6	L6	0.487850	0.471316	0.502146	0.511666	-0.023816	0.496835	0.482007	0.510831	0.482373	0.014462	0.640214	0.621938	0.983357	0.987572	0.969113	0.976459	540
7	L7	0.522213	0.505674	0.538214	0.548095	-0.025882	0.501917	0.488195	0.517551	0.489177	0.012740	0.644066	0.626392	0.977121	0.982367	0.959428	0.968458	540
8	L8	0.516187	0.497518	0.532771	0.565547	-0.049360	0.504012	0.489806	0.519319	0.501852	0.002160	0.656083	0.640667	0.975422	0.980816	0.957240	0.966874	540
9	L9	0.529565	0.511057	0.554157	0.502243	0.027323	0.504897	0.485982	0.522610	0.477963	0.026934	0.671791	0.659054	0.974246	0.979617	0.956279	0.967213	540
10	L10	0.559934	0.537980	0.577862	0.545886	0.014048	0.504335	0.486064	0.524142	0.494472	0.009863	0.675705	0.670821	0.976528	0.986694	0.960840	0.979380	540
11	L11	0.606886	0.584054	0.627589	0.550361	0.056525	0.495264	0.477091	0.513197	0.510182	-0.014918	0.648203	0.672521	0.972534	0.986681	0.951571	0.979767	540
12	L12	0.568826	0.547988	0.590402	0.530587	0.038239	0.505463	0.486927	0.524823	0.494760	0.010703	0.622139	0.664727	0.971054	0.989912	0.946498	0.984546	540
13	L13	0.564138	0.542818	0.581339	0.534185	0.029954	0.506084	0.487106	0.527121	0.504324	0.001759	0.615511	0.676080	0.969111	0.989599	0.942020	0.984774	540
14	L14	0.599272	0.579649	0.624219	0.499197	0.100075	0.511317	0.493834	0.535454	0.490319	0.020998	0.620772	0.682344	0.975265	0.992515	0.952656	0.989950	540
15	L15	0.591014	0.566764	0.613131	0.533738	0.057276	0.520007	0.503105	0.539304	0.499362	0.020645	0.611358	0.693367	0.974557	0.993806	0.946653	0.992149	540
16	L16	0.560860	0.539037	0.584845	0.537364	0.023496	0.535768	0.516437	0.556220	0.509582	0.026187	0.607387	0.692523	0.970717	0.993459	0.939167	0.991638	540
17	L17	0.599833	0.578937	0.619380	0.517942	0.081891	0.505439	0.487784	0.525346	0.509774	-0.004335	0.601412	0.692272	0.965747	0.993938	0.927901	0.992178	540
18	L18	0.612263	0.586095	0.636857	0.512159	0.100105	0.509856	0.490547	0.526967	0.499002	0.010854	0.593790	0.691304	0.963421	0.995072	0.921938	0.993413	540
19	L19	0.616230	0.591704	0.639439	0.519347	0.096884	0.518872	0.498559	0.539226	0.502864	0.016008	0.590237	0.694720	0.961431	0.995431	0.916673	0.993894	540
20	L20	0.626526	0.603619	0.648518	0.539890	0.086636	0.526553	0.509414	0.543580	0.503172	0.023381	0.594880	0.695356	0.958967	0.995945	0.911679	0.994464	540
21	L21	0.638437	0.614450	0.662296	0.538960	0.099477	0.505617	0.490354	0.524272	0.504098	0.001519	0.598054	0.696035	0.953441	0.996441	0.900652	0.995064	540
22	L22	0.683204	0.659250	0.707595	0.534577	0.148627	0.497246	0.476970	0.518301	0.502243	-0.004997	0.584330	0.694739	0.948160	0.996520	0.882480	0.995090	540
23	L23	0.663670	0.638046	0.683896	0.530628	0.133042	0.507521	0.487832	0.527360	0.501715	0.005806	0.580116	0.694285	0.944799	0.997072	0.870780	0.995813	540
24	L24	0.634293	0.606643	0.661175	0.550033	0.084259	0.489095	0.466837	0.508841	0.503639	-0.014544	0.580198	0.694184	0.940092	0.997338	0.859806	0.996169	540
25	L25	0.608633	0.582853	0.635279	0.531266	0.077366	0.486756	0.466332	0.506317	0.514907	-0.028152	0.581753	0.693368	0.934558	0.997556	0.847366	0.996459	540
26	L26	0.660055	0.634436	0.683095	0.550596	0.109459	0.502311	0.484097	0.521935	0.510652	-0.008340	0.586712	0.690512	0.927531	0.997946	0.832984	0.997004	540
27	L27	0.654931	0.632090	0.682691	0.543524	0.111408	0.498772	0.476942	0.518013	0.488594	0.010178	0.586837	0.690008	0.922271	0.998087	0.819135	0.997204	540
28	L28	0.641073	0.617878	0.662942	0.540421	0.100652	0.490274	0.466990	0.510796	0.501293	-0.011019	0.591744	0.692347	0.920750	0.998472	0.817703	0.997785	540
29	L29	0.677833	0.652636	0.698886	0.555406	0.122426	0.494146	0.468764	0.521642	0.500285	-0.006139	0.590895	0.665490	0.908983	0.998809	0.774874	0.998167	540
30	L30	0.673274	0.649394	0.695599	0.543970	0.129304	0.500130	0.479791	0.527434	0.504787	-0.004657	0.587598	0.662047	0.898347	0.998706	0.744551	0.997979	540
31	L31	0.669032	0.646330	0.689586	0.557013	0.112019	0.504866	0.484290	0.527474	0.503395	0.001471	0.584729	0.657359	0.875769	0.998874	0.673992	0.998176	540
32	L32	0.724476	0.698201	0.745426	0.573975	0.150502	0.483666	0.462805	0.506465	0.491464	-0.007798	0.592605	0.641482	0.847358	0.998694	0.580785	0.997709	540
33	L33_last	0.708337	0.680607	0.731409	0.585380	0.122957	0.506862	0.480099	0.530406	0.499671	0.007191	0.611513	0.658365	0.784429	0.998377	0.367994	0.997081	540
