scope	model	collection	record_id	score
all_taxa	PLM-Interact	Negatome	NEG:00009	0.067713
all_taxa	PLM-Interact	Negatome	NEG:00012	0.999605
all_taxa	PLM-Interact	Negatome	NEG:00014	0.996908
all_taxa	PLM-Interact	Negatome	NEG:00015	0.997756
all_taxa	PLM-Interact	Negatome	NEG:00016	0.000146
all_taxa	PLM-Interact	Negatome	NEG:00042	0.98269
all_taxa	PLM-Interact	Negatome	NEG:00115	6.8e-05
all_taxa	PLM-Interact	Negatome	NEG:00116	7.2e-05
all_taxa	PLM-Interact	Negatome	NEG:00117	6.4e-05
all_taxa	PLM-Interact	Negatome	NEG:00180	9.5e-05
all_taxa	PLM-Interact	Negatome	NEG:00237	6.3e-05
all_taxa	PLM-Interact	Negatome	NEG:00250	0.024349
all_taxa	PLM-Interact	Negatome	NEG:00252	0.000104
all_taxa	PLM-Interact	Negatome	NEG:00350	0.000593
all_taxa	PLM-Interact	Negatome	NEG:00365	0.26375
all_taxa	PLM-Interact	Negatome	NEG:00367	0.99959
all_taxa	PLM-Interact	Negatome	NEG:00368	0.997995
all_taxa	PLM-Interact	Negatome	NEG:00369	0.999019
all_taxa	PLM-Interact	Negatome	NEG:00371	0.289736
all_taxa	PLM-Interact	Negatome	NEG:00373	0.999575
all_taxa	PLM-Interact	Negatome	NEG:00403	0.000239
all_taxa	PLM-Interact	Negatome	NEG:00435	0.069717
all_taxa	PLM-Interact	Negatome	NEG:00437	0.000633
all_taxa	PLM-Interact	Negatome	NEG:00438	9.7e-05
all_taxa	PLM-Interact	Negatome	NEG:00439	5.8e-05
all_taxa	PLM-Interact	Negatome	NEG:00440	0.00012
all_taxa	PLM-Interact	Negatome	NEG:00442	0.997053
all_taxa	PLM-Interact	Negatome	NEG:00482	6.9e-05
all_taxa	PLM-Interact	Negatome	NEG:00494	0.001874
all_taxa	PLM-Interact	Negatome	NEG:00510	0.99989
all_taxa	PLM-Interact	Negatome	NEG:00511	0.001141
all_taxa	PLM-Interact	Negatome	NEG:00558	0.992199
all_taxa	PLM-Interact	Negatome	NEG:00562	0.330661
all_taxa	PLM-Interact	Negatome	NEG:00566	0.000554
all_taxa	PLM-Interact	Negatome	NEG:00570	0.980238
all_taxa	PLM-Interact	Negatome	NEG:00601	0.99932
all_taxa	PLM-Interact	Negatome	NEG:00629	0.999576
all_taxa	PLM-Interact	Negatome	NEG:00633	0.997668
all_taxa	PLM-Interact	Negatome	NEG:00634	0.714484
all_taxa	PLM-Interact	Negatome	NEG:00642	0.999323
all_taxa	PLM-Interact	Negatome	NEG:00664	0.571381
all_taxa	PLM-Interact	Negatome	NEG:00698	0.000101
all_taxa	PLM-Interact	Negatome	NEG:00699	0.000172
all_taxa	PLM-Interact	Negatome	NEG:00700	0.000771
all_taxa	PLM-Interact	Negatome	NEG:00701	0.000106
all_taxa	PLM-Interact	Negatome	NEG:00703	8e-05
all_taxa	PLM-Interact	Negatome	NEG:00704	6.6e-05
all_taxa	PLM-Interact	Negatome	NEG:00705	5.7e-05
all_taxa	PLM-Interact	Negatome	NEG:00706	0.003876
all_taxa	PLM-Interact	Negatome	NEG:00707	5.3e-05
all_taxa	PLM-Interact	Negatome	NEG:00708	5.5e-05
all_taxa	PLM-Interact	Negatome	NEG:00709	0.000117
all_taxa	PLM-Interact	Negatome	NEG:00710	5.7e-05
all_taxa	PLM-Interact	Negatome	NEG:00711	8.8e-05
all_taxa	PLM-Interact	Negatome	NEG:00712	0.000503
all_taxa	PLM-Interact	Negatome	NEG:00716	0.005069
all_taxa	PLM-Interact	Negatome	NEG:00717	9.5e-05
all_taxa	PLM-Interact	Negatome	NEG:00718	6.4e-05
all_taxa	PLM-Interact	Negatome	NEG:00719	0.000376
all_taxa	PLM-Interact	Negatome	NEG:00734	0.484056
all_taxa	PLM-Interact	Negatome	NEG:00744	0.022213
all_taxa	PLM-Interact	Negatome	NEG:00745	8.5e-05
