source	match_id	experimental_id	structural_id	experimental_score	structural_score	score_difference	structural_gt_experimental	match_distance
Negatome	Negatome:0001	NEG:00761	AC:002567	0.000633	0.00098	0.000347	1	0.0
Negatome	Negatome:0002	NEG:01054	AC:002464	5.6e-05	0.846868	0.846812	1	0.008173299710012898
Negatome	Negatome:0003	NEG:01026	AC:001002	0.002692	0.00023	-0.0024619999999999998	0	0.008816265281118589
Negatome	Negatome:0004	NEG:00769	AC:000128	0.960797	0.999692	0.03889500000000001	1	0.018329338583684907
Negatome	Negatome:0005	NEG:01376	AC:000400	6e-05	0.999755	0.999695	1	0.025915135083639483
Negatome	Negatome:0006	NEG:01720	AC:001793	6.1e-05	0.997066	0.997005	1	0.026730192926060825
Negatome	Negatome:0007	NEG:00237	AC:001869	6.3e-05	0.998084	0.9980209999999999	1	0.028746875440918584
Negatome	Negatome:0008	NEG:01119	AC:000323	0.00026	0.000289	2.9e-05	1	0.029958411810304918
Negatome	Negatome:0009	NEG:00511	AC:002555	0.001141	7.4e-05	-0.001067	0	0.030914659039032483
Negatome	Negatome:0010	NEG:01380	AC:000011	0.000438	0.798163	0.7977249999999999	1	0.033877440152612175
Negatome	Negatome:0011	NEG:01566	AC:001162	5.5e-05	0.938969	0.938914	1	0.03406867352651081
Negatome	Negatome:0012	NEG:01494	AC:001943	0.880066	0.999944	0.11987800000000004	1	0.03558330695642365
Negatome	Negatome:0013	NEG:00762	AC:000266	7.6e-05	0.00058	0.000504	1	0.03882331015479609
Negatome	Negatome:0014	NEG:01150	AC:002064	0.97879	0.981109	0.00231899999999996	1	0.039265450644358664
Negatome	Negatome:0015	NEG:01490	AC:002883	0.473652	0.000153	-0.473499	0	0.03972130286161283
Negatome	Negatome:0016	NEG:00759	AC:001084	7.1e-05	0.004339	0.004268	1	0.04078834412947762
Negatome	Negatome:0017	NEG:00749	AC:002349	6.5e-05	0.99951	0.999445	1	0.042673533715641
Negatome	Negatome:0018	NEG:01755	AC:001680	0.01121	0.999759	0.9885489999999999	1	0.04301341644056383
Negatome	Negatome:0019	NEG:00562	AC:001590	0.330661	0.999706	0.669045	1	0.04500523645456432
Negatome	Negatome:0020	NEG:01558	AC:001181	0.004002	0.997925	0.993923	1	0.045088266425015296
Negatome	Negatome:0021	NEG:00782	AC:000347	0.998348	6.6e-05	-0.998282	0	0.045210124824854335
Negatome	Negatome:0022	NEG:01259	AC:000127	6.2e-05	0.999904	0.999842	1	0.046970694071138276
Negatome	Negatome:0023	NEG:01149	AC:001664	0.956495	0.030163	-0.9263319999999999	0	0.04742293092286716
Negatome	Negatome:0024	NEG:01128	AC:000273	0.00018	0.38765	0.38747	1	0.04834391912012027
Negatome	Negatome:0025	NEG:00937	AC:002532	0.000104	0.999887	0.999783	1	0.0518406501243137
Negatome	Negatome:0026	NEG:00747	AC:000338	0.022023	0.020317	-0.0017059999999999992	0	0.053491898143641796
Negatome	Negatome:0027	NEG:01719	AC:002152	7.6e-05	0.999703	0.999627	1	0.05377429063419988
Negatome	Negatome:0028	NEG:01066	AC:001832	0.004697	0.992402	0.987705	1	0.0543960596515049
Negatome	Negatome:0029	NEG:00770	AC:002597	0.000192	0.999785	0.9995930000000001	1	0.054475256303690274
Negatome	Negatome:0030	NEG:00765	AC:002553	0.00011	0.999828	0.999718	1	0.05556058123458915
Negatome	Negatome:0031	NEG:01261	AC:000344	0.000155	0.000721	0.000566	1	0.05620643076307578
Negatome	Negatome:0032	NEG:01749	AC:000561	5e-05	0.999823	0.999773	1	0.06077596811925698
Negatome	Negatome:0033	NEG:00115	AC:001483	6.8e-05	0.999655	0.999587	1	0.06629911250282815
Negatome	Negatome:0034	NEG:00875	AC:002497	0.998905	0.998776	-0.00012900000000004574	0	0.06714416810182815
Negatome	Negatome:0035	NEG:01567	AC:002119	0.000201	0.999917	0.9997159999999999	1	0.06735501396681172
Negatome	Negatome:0036	NEG:01021	AC:001674	0.000413	0.999327	0.998914	1	0.07099736154922906
Negatome	Negatome:0037	NEG:01472	AC:002158	0.99893	0.998689	-0.0002409999999999357	0	0.07174578485298987
Negatome	Negatome:0038	NEG:01057	AC:000457	0.130826	0.999813	0.868987	1	0.0732530048225102
Negatome	Negatome:0039	NEG:00775	AC:001370	0.041235	0.999929	0.9586939999999999	1	0.0747094567296704
Negatome	Negatome:0040	NEG:00745	AC:002147	8.5e-05	0.994442	0.994357	1	0.07529810349396679
Negatome	Negatome:0041	NEG:00943	AC:002590	5.5e-05	0.997303	0.997248	1	0.07585916611268684
Negatome	Negatome:0042	NEG:01126	AC:002014	0.999779	0.999578	-0.00020100000000000673	0	0.07843864193965207
Negatome	Negatome:0043	NEG:01064	AC:000356	6.1e-05	0.999731	0.9996700000000001	1	0.07849091406692092
Negatome	Negatome:0044	NEG:00746	AC:001604	5.1e-05	0.999679	0.999628	1	0.08446800479452142
Negatome	Negatome:0045	NEG:01712	AC:000442	0.001931	0.999631	0.9977	1	0.08552861350732224
Negatome	Negatome:0046	NEG:01833	AC:001726	0.000237	0.999577	0.99934	1	0.08645292742437331
Negatome	Negatome:0047	NEG:00435	AC:000049	0.069717	0.999637	0.92992	1	0.08658643271831994
Negatome	Negatome:0048	NEG:00945	AC:001558	5.7e-05	0.999856	0.999799	1	0.09236553186568006
Negatome	Negatome:0049	NEG:00442	AC:002223	0.997053	0.999649	0.0025960000000000427	1	0.09236791103892922
