source	record_id	protein_a	protein_b	taxon_a	taxon_b	assay_raw	assay_ontology	old_historical_class	eligible_common_qc	score	pair_tokens	exact_string_positive_overlap	biophysical_only
Negatome	NEG:00001	A2AM29	P30658	10090	10090	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.479083	1091	0	0
Negatome	NEG:00002	A2ASQ1	P14151	10090	9606	MI:0045 - experimental	other_or_unresolved	other	0	0.001362	2325	0	0
Negatome	NEG:00003	A6NIX2	O60663	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.001728	835	0	0
Negatome	NEG:00004	B2RWS6	P70434	10090	10090	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	0.000137	2872	0	0
Negatome	NEG:00005	B2RWS6	P70671	10090	10090	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	0.000418	2834	0	0
Negatome	NEG:00006	B9EKI3	P42224	10090	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.00015	1844	0	0
Negatome	NEG:00007	O00167	P09471	9606	9606	MI:0004 - affinity chromatography technologies	co_complex_association	association	1	8.5e-05	895	0	0
Negatome	NEG:00008	O00206	Q8IUC6	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000109	1554	1	0
Negatome	NEG:00009	O00212	Q7L099	9606	9606	MI:0059 - gst pull down	reconstituted_direct	direct_binary	1	0.067713	682	0	0
Negatome	NEG:00010	O00220	Q13546	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.99962	1142	0	0
Negatome	NEG:00011	O00220	Q15628	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.999834	783	1	0
Negatome	NEG:00012	O00238	P01137	9606	9606	MI:0405 - competition binding	reconstituted_direct	direct_binary	1	0.999605	895	0	0
Negatome	NEG:00013	O00238	P12465	9606	3077	MI:0405 - competition binding	reconstituted_direct	direct_binary	0	8e-05	2067	0	0
Negatome	NEG:00014	O00238	P22003	9606	9606	MI:0405 - competition binding	reconstituted_direct	direct_binary	1	0.996908	959	0	0
Negatome	NEG:00015	O00238	P22004	9606	9606	MI:0405 - competition binding	reconstituted_direct	direct_binary	1	0.997756	1018	0	0
