pair_id	score_mean	score_sd_across_crop_seeds	score_seed13	score_seed29	score_seed47	score_seed71	score_seed97
SP:0000002	0.37659336	0.00314565	0.37264468	0.38185835	0.37574756	0.37799168	0.37472450
SP:0000004	0.94604203	0.00000000	0.94604203	0.94604203	0.94604203	0.94604203	0.94604203
SP:0000006	0.73297199	0.11494523	0.72981581	0.54390491	0.72959986	0.90548769	0.75605169
SP:0000011	0.83583841	0.00000000	0.83583841	0.83583841	0.83583841	0.83583841	0.83583841
SP:0000012	0.96019808	0.00000000	0.96019808	0.96019808	0.96019808	0.96019808	0.96019808
SP:0000013	0.34249460	0.00000000	0.34249460	0.34249460	0.34249460	0.34249460	0.34249460
SP:0000014	0.92762888	0.00704406	0.93219688	0.91628235	0.92251247	0.93445992	0.93269274
SP:0000018	0.47732939	0.00000000	0.47732939	0.47732939	0.47732939	0.47732939	0.47732939
SP:0000019	0.38403491	0.00000000	0.38403491	0.38403491	0.38403491	0.38403491	0.38403491
SP:0000021	0.55476836	0.05025462	0.52846347	0.52268234	0.52205068	0.54700596	0.65363935
SP:0000022	0.83531827	0.04894728	0.88205370	0.78555188	0.79706150	0.90597397	0.80595032
SP:0000024	0.72330344	0.00000000	0.72330344	0.72330344	0.72330344	0.72330344	0.72330344
SP:0000028	0.71215993	0.00000000	0.71215993	0.71215993	0.71215993	0.71215993	0.71215993
SP:0000029	0.63100521	0.03793884	0.63572195	0.70287638	0.60416797	0.60106706	0.61119271
SP:0000032	0.50931810	0.00000000	0.50931810	0.50931810	0.50931810	0.50931810	0.50931810
SP:0000034	0.64012924	0.00000000	0.64012924	0.64012924	0.64012924	0.64012924	0.64012924
SP:0000035	0.99484903	0.00000000	0.99484903	0.99484903	0.99484903	0.99484903	0.99484903
SP:0000036	0.60901415	0.00000000	0.60901415	0.60901415	0.60901415	0.60901415	0.60901415
SP:0000038	0.54691022	0.01263167	0.52371954	0.56203276	0.54708541	0.55061521	0.55109820
SP:0000039	0.67473897	0.02306790	0.66552502	0.70887229	0.65090704	0.69471485	0.65367568
SP:0000041	0.53321593	0.04800892	0.52067979	0.62031340	0.47546520	0.53715391	0.51246733
SP:0000042	0.27358924	0.00000000	0.27358924	0.27358924	0.27358924	0.27358924	0.27358924
SP:0000044	0.72802505	0.00000000	0.72802505	0.72802505	0.72802505	0.72802505	0.72802505
SP:0000046	0.71768963	0.00000000	0.71768963	0.71768963	0.71768963	0.71768963	0.71768963
SP:0000048	0.91383123	0.00000000	0.91383123	0.91383123	0.91383123	0.91383123	0.91383123
SP:0000049	0.56318575	0.00000000	0.56318575	0.56318575	0.56318575	0.56318575	0.56318575
SP:0000050	0.86823726	0.00000000	0.86823726	0.86823726	0.86823726	0.86823726	0.86823726
SP:0000051	0.51610881	0.00000000	0.51610881	0.51610881	0.51610881	0.51610881	0.51610881
SP:0000052	0.31450351	0.00000000	0.31450351	0.31450351	0.31450351	0.31450351	0.31450351
SP:0000053	0.69587531	0.00000000	0.69587531	0.69587531	0.69587531	0.69587531	0.69587531
SP:0000054	0.60590595	0.00000000	0.60590595	0.60590595	0.60590595	0.60590595	0.60590595
SP:0000055	0.96378137	0.00244191	0.96583986	0.96193076	0.96139020	0.96752361	0.96222242
SP:0000056	0.92755630	0.00000000	0.92755630	0.92755630	0.92755630	0.92755630	0.92755630
SP:0000057	0.40887394	0.05688934	0.35157524	0.50526463	0.36387915	0.43980505	0.38384564
SP:0000058	0.60149560	0.00000000	0.60149560	0.60149560	0.60149560	0.60149560	0.60149560
SP:0000063	0.72288796	0.00000000	0.72288796	0.72288796	0.72288796	0.72288796	0.72288796
SP:0000064	0.43658953	0.00532708	0.43084241	0.44662557	0.43456999	0.43631612	0.43459354
SP:0000068	0.95802889	0.00000000	0.95802889	0.95802889	0.95802889	0.95802889	0.95802889
SP:0000070	0.65213860	0.02980109	0.62359164	0.66012689	0.61841058	0.70108426	0.65747964
SP:0000074	0.65199086	0.00000000	0.65199086	0.65199086	0.65199086	0.65199086	0.65199086
SP:0000077	0.45220825	0.00000000	0.45220825	0.45220825	0.45220825	0.45220825	0.45220825
SP:0000078	0.55019092	0.00000000	0.55019092	0.55019092	0.55019092	0.55019092	0.55019092
SP:0000079	0.41588633	0.00000000	0.41588633	0.41588633	0.41588633	0.41588633	0.41588633
SP:0000081	0.78822686	0.02740141	0.76924187	0.82052645	0.80837536	0.79780731	0.74518332
SP:0000083	0.94040909	0.00000000	0.94040909	0.94040909	0.94040909	0.94040909	0.94040909
SP:0000085	0.63275037	0.00000000	0.63275037	0.63275037	0.63275037	0.63275037	0.63275037
SP:0000087	0.33631162	0.03649582	0.32457365	0.35087664	0.35085684	0.38215687	0.27309411
SP:0000089	0.90774244	0.00000000	0.90774244	0.90774244	0.90774244	0.90774244	0.90774244
SP:0000091	0.65156379	0.00000000	0.65156379	0.65156379	0.65156379	0.65156379	0.65156379
SP:0000094	0.56863599	0.00501128	0.57537849	0.56641629	0.56048200	0.57147524	0.56942793
SP:0000095	0.79774985	0.05304296	0.71964425	0.82911867	0.77474508	0.78777572	0.87746551
SP:0000096	0.78727702	0.00000000	0.78727702	0.78727702	0.78727702	0.78727702	0.78727702
SP:0000097	0.44210226	0.00000000	0.44210226	0.44210226	0.44210226	0.44210226	0.44210226
SP:0000099	0.87877319	0.00000000	0.87877319	0.87877319	0.87877319	0.87877319	0.87877319
SP:0000100	0.77655322	0.00000000	0.77655322	0.77655322	0.77655322	0.77655322	0.77655322
SP:0000103	0.60148097	0.00000000	0.60148097	0.60148097	0.60148097	0.60148097	0.60148097
SP:0000107	0.25084795	0.00000000	0.25084795	0.25084795	0.25084795	0.25084795	0.25084795
SP:0000110	0.66729516	0.00000000	0.66729516	0.66729516	0.66729516	0.66729516	0.66729516
SP:0000111	0.95507669	0.00000000	0.95507669	0.95507669	0.95507669	0.95507669	0.95507669
SP:0000113	0.45052469	0.01670924	0.46615380	0.45982300	0.45289492	0.45541053	0.41834120
SP:0000114	0.53695512	0.00000000	0.53695512	0.53695512	0.53695512	0.53695512	0.53695512
SP:0000116	0.72362707	0.00000000	0.72362707	0.72362707	0.72362707	0.72362707	0.72362707
SP:0000118	0.98233977	0.00000000	0.98233977	0.98233977	0.98233977	0.98233977	0.98233977
SP:0000119	0.18602884	0.00000000	0.18602884	0.18602884	0.18602884	0.18602884	0.18602884
SP:0000120	0.85488904	0.00000000	0.85488904	0.85488904	0.85488904	0.85488904	0.85488904
