triplet_id	ac_id	score_ac	score_ad	delta	rank_value
SCF:0000001	AC:000002	0.37659336	0.74690777	0.37031441	1
SCF:0000002	AC:000002	0.37659336	0.79796913	0.42137577	1
SCF:0000003	AC:000004	0.94604203	0.94266024	-0.00338179	0
SCF:0000004	AC:000006	0.73297199	0.89590777	0.16293578	1
SCF:0000005	AC:000006	0.73297199	0.77396963	0.04099764	1
SCF:0000006	AC:000006	0.73297199	0.82460331	0.09163132	1
SCF:0000007	AC:000006	0.73297199	0.64386024	-0.08911175	0
SCF:0000008	AC:000006	0.73297199	0.67028822	-0.06268377	0
SCF:0000009	AC:000011	0.83583841	0.83583867	0.00000026	1
SCF:0000010	AC:000012	0.96019808	0.84629986	-0.11389822	0
SCF:0000011	AC:000012	0.96019808	0.76349738	-0.19670070	0
SCF:0000012	AC:000012	0.96019808	0.86404240	-0.09615568	0
SCF:0000013	AC:000012	0.96019808	0.80689496	-0.15330312	0
SCF:0000014	AC:000013	0.34249460	0.43131328	0.08881868	1
SCF:0000015	AC:000013	0.34249460	0.37124154	0.02874694	1
SCF:0000016	AC:000013	0.34249460	0.32876853	-0.01372607	0
SCF:0000017	AC:000014	0.92762888	0.94159962	0.01397074	1
SCF:0000018	AC:000014	0.92762888	0.94784397	0.02021509	1
SCF:0000019	AC:000014	0.92762888	0.94887124	0.02124236	1
SCF:0000020	AC:000018	0.47732939	0.47732942	0.00000003	1
SCF:0000021	AC:000018	0.47732939	0.66896264	0.19163325	1
SCF:0000022	AC:000018	0.47732939	0.59399451	0.11666512	1
SCF:0000023	AC:000019	0.38403491	0.33335096	-0.05068395	0
SCF:0000024	AC:000019	0.38403491	0.58272239	0.19868748	1
SCF:0000025	AC:000021	0.55476836	0.46962651	-0.08514185	0
SCF:0000026	AC:000022	0.83531827	0.73502939	-0.10028888	0
SCF:0000027	AC:000022	0.83531827	0.89250780	0.05718953	1
SCF:0000028	AC:000024	0.72330344	0.83147308	0.10816964	1
