P46217	Q4JAY4	0.004182
P62805	Q96GM5	0.004209
P22685	Q551M2	0.187879
Q97Z84	Q980U8	0.349593
Q72GR8	Q72GR9	0.004183
P33332	P38261	0.004180
Q8RGE0	Q8RGE3	0.004190
A0QU24	A0QU35	0.076485
A0A9R0JVI6	P11705	0.004241
A0T0U5	A0T0V1	0.004993
P62487	P63272	0.148419
P20282	P21467	0.871991
P41586	P59768	0.005116
A8ITV3	P12154	0.005678
P04310	P21603	0.004173
Q86VP6	Q96GG9	0.004183
P53803	Q92966	0.004177
A0A8D1KNW4	P60899	0.457910
Q00403	Q92966	0.004175
D5AQG8	D5AQH2	0.004179
P20979	P21082	0.004176
C4R0E6	C4R1V1	0.004225
P26784	P36160	0.075100
P05805	Q7M3E1	0.004173
P13165	P69416	0.015212
V5V9F4	V5V9K5	0.006186
Q24I09	W7XBF5	0.004255
P49735	Q9W0I7	0.004183
P00428	P04038	0.970372
P06899	P52435	0.009840
C4QY79	C4R273	0.005828
P9WGY7	P9WJG3	0.020879
C3SQX2	C3SR57	0.703785
A0A4V8GZZ5	A0A4V8GZZ8	0.004197
O74499	P87173	0.749197
Q76B86	Q9TM21	0.004259
B6A879	B6A880	0.004181
A0A9R0I5M6	A0A9R0JF29	0.006615
P0C6E0	Q9KPS1	0.004178
P39744	P43586	0.007960
A0A2K3DG79	A8J353	0.004181
A0A2P6U4K1	W8SY74	0.038892
Q9TM20	Q9TM22	0.004173
O43036	O94616	0.004174
A0QVB8	A0R550	0.816142
D0CD11	D0CD21	0.897143
Q2G111	Q2G2Q1	0.055611
P04637	P61218	0.015709
P21471	P21476	0.708057
P39748	P49005	0.004177
Q13426	Q9NP87	0.937962
P07839	Q75VY9	0.970266
O43402	Q9NPA0	0.004179
E9NPS7	I0YQ46	0.006898
P09192	P29256	0.005693
C4R3Z5	C4R5R1	0.004249
O14810	P60880	0.004193
A0A444WZ62	A0A445CVZ9	0.004183
D7P897	K0J903	0.004268
Q8DIP0	Q8DLJ8	0.004216
O49653	Q6NMZ4	0.004186
O19882	O19928	0.094642
P31376	Q12464	0.073080
P42919	P56849	0.209690
Q2FW20	Q2FXK6	0.499671
P13192	P69416	0.004327
O94376	O94646	0.818088
A0A6I8WFT8	C1K003	0.004184
Q969L4	Q9UKF6	0.646960
A0A069Q263	A0A069QC99	0.179374
P38751	P40465	0.004175
P00044	P07256	0.004800
G0RZG4	G0SCD1	0.004174
Q27RN4	Q27RN5	0.004179
P0A9T8	P0ADA1	0.004182
A8IH07	A8IJY7	0.004180
P07703	P36121	0.004176
P28000	P47076	0.004190
P01589	P31785	0.004175
I7MDA9	I7MLZ4	0.004177
P9WGY5	P9WHJ5	0.005138
O19928	Q9TM46	0.352048
Q940U6	Q9LU39	0.004177
Q23YW7	Q24CL2	0.004186
Q06339	Q12415	0.004176
P20339	Q9P2Y5	0.014225
Q05AW3	Q66IZ6	0.004176
P53803	P63272	0.027794
P20435	Q12004	0.004213
O95456	P28070	0.004178
Q9CPW4	Q9CVB6	0.004185
Q57TX9	Q586H1	0.004237
P50990	Q99471	0.004187
C4QZ45	C4R7H2	0.007020
A0A1S3X2G3	A0A1S3ZQT7	0.005885
A0A4V8GZZ7	A0A4V8H005	0.006612
P0A800	P0AGB6	0.004179
P02309	P47128	0.004205
G0RZG4	G0S1P1	0.004174
C1K003	Q56D18	0.007187
Q95695	Q9FG89	0.004174
Q2FZ25	Q2G113	0.007846
Q83D88	Q83EQ9	0.547234
P40208	Q12027	0.004174
F2Z4H3	Q32PE0	0.949520
P08913	P59768	0.263609
C4R2U9	C4R997	0.004176
P73069	Q55330	0.004281
Q8DKZ4	Q8DLL4	0.004175
D7NIZ2	D8V7I7	0.004182
Q9BQ15	Q9UL03	0.004185
P50991	P61758	0.008343
P61201	Q9UBF6	0.004180
Q00578	Q12004	0.023287
A0A125YS93	A0A125YU99	0.004788
E1C9K8	P17227	0.004800
A0A2K1IAD0	A0A2K1IB10	0.007767
P25515	P38784	0.004181
P02602	P68135	0.858930
Q9VLI9	Q9VUZ1	0.004174
P01116	Q13617	0.004306
Q96SY0	Q9NV88	0.004175
Q9NVM9	Q9NVR2	0.004175
A0A1S3XP85	A0A1S4BFK7	0.037810
A0A4V8GZZ6	A0A4V8GZZ7	0.183776
O15446	Q3B726	0.004176
O60921	P35250	0.338853
P07305	P62805	0.980777
P03903	Q9CR21	0.978093
A0A6C0M5W0	A0ABF7PQ09	0.004233
P20436	P32910	0.100525
A0T0V1	B8CEQ3	0.015944
Q83EQ3	Q83ES5	0.383169
Q99832	Q9NQP4	0.004257
P39933	Q12308	0.004174
A0AAB0B1U3	A0AAB0B1V7	0.004175
A0A2P6TPV8	A0A2P6TQ14	0.004190
D5MAL3	Q32904	0.064621
P56768	Q949Q5	0.004174
O19925	Q76FB0	0.004382
P12356	Q75VY9	0.004195
E1C9K6	E1C9K9	0.004262
Q08920	Q12330	0.937373
E9NPW6	I0YPL4	0.004540
A0A063X781	A0A063XCP1	0.762195
E9NPV2	I0YWK6	0.009999
O15514	Q00403	0.008644
Q09177	Q09191	0.004184
P0A431	P59087	0.004201
A0A4X1VEK9	A0A8D1B522	0.004192
P09190	P73069	0.004179
Q01667	Q8LCQ4	0.214868
P52435	P63272	0.066151
E3UIU6	M2XWX3	0.004204
P59768	Q9GZQ6	0.154314
A1B4F4	A1BA41	0.634233
P0A7W7	P69222	0.117883
O74825	P36595	0.004181
O52760	P45684	0.009622
Q9P6Q0	Q9Y7N2	0.004242
F2QT90	F2R0J7	0.589264
A0A125YN38	S7W9J5	0.006000
Q9VBI1	Q9XYU1	0.004181
P49427	Q15370	0.940975
A0A2K1IAD0	A0A2K1JC42	0.932115
A0A1S3ZSI0	P38550	0.004179
C3SYP2	W8T6F0	0.856653
Q8SD23	Q8SDD6	0.004175
P24964	Q2EN79	0.888191
Q1HFW0	Q1HFX0	0.344468
B0C4H4	B0C7S7	0.004179
A0A1S4CKK0	A0A1S4D7C7	0.004261
P07470	P07471	0.968955
Q9P4W1	Q9UTF6	0.974293
Q1HFW0	Q1HFW2	0.912980
P59768	Q96RJ0	0.322582
P35346	P59768	0.486997
O31742	P19947	0.764859
Q8DJD9	Q8DKF5	0.004194
A0A4V8H007	A0A4V8H010	0.156725
A8IKI9	A8J4K5	0.004179
A0T0S9	A0T0V0	0.004810
P19658	P33332	0.004177
P39543	P40540	0.004190
P16370	Q02792	0.004178
P30665	P54784	0.012911
A0A140G1Q3	A0A1S4BFK7	0.004187
M1VKK5	Q85G47	0.008353
P62877	Q96L50	0.983890
P39933	Q06339	0.004178
A0A2K1JDR4	A0A2K1JLW2	0.967246
P0A7G2	P0AG63	0.766251
P06839	P14736	0.061372
F2CW18	F2DAN8	0.005042
A3DF17	A3DH98	0.220820
P58066	Q9A999	0.004176
P58568	Q8YQ35	0.276836
D7P6B9	K0J903	0.004182
