triplet_id	anchor	negative_partner_c	positive_partner_d	counterfactual_grade_provisional	assembly_size_stratum	sequence_similarity_bin	plminteract_ac	plminteract_ad	plminteract_finetuned_ac	plminteract_finetuned_ad	dscript_ac	dscript_ad	topsy_turvy_ac	topsy_turvy_ad
SCF:0000001	P62805	Q96GM5	Q12432	CF-B-provisional	11_24	remote_sequence	0.999897	0.999874	0.299850	0.881701	0.004209	0.043883	0.518654	0.724265
SCF:0000002	P62805	Q96GM5	C4R7L8	CF-B-provisional	11_24	remote_sequence	0.999897	0.999678	0.299850	0.766934	0.004209	0.004356	0.518654	0.204410
SCF:0000003	Q980U8	Q97Z84	P57766	CF-B-provisional	3_10	remote_sequence	0.999834	0.996443	0.037864	0.975849	0.349593	0.176939	0.781677	0.737471
SCF:0000004	P33332	P38261	P89102	CF-B-provisional	3_10	remote_sequence	0.001311	0.000625	0.059725	0.233485	0.004180	0.004176	0.455041	0.663734
SCF:0000005	P33332	P38261	P32855	CF-B-provisional	3_10	remote_sequence	0.001311	0.000125	0.059725	0.065983	0.004180	0.004176	0.455041	0.626459
SCF:0000006	P33332	P38261	Q06245	CF-B-provisional	3_10	remote_sequence	0.001311	0.006643	0.059725	0.561406	0.004180	0.004176	0.455041	0.678065
SCF:0000007	P38261	P33332	P22224	CF-B-provisional	3_10	remote_sequence	0.001311	0.003933	0.059725	0.096638	0.004180	0.004175	0.455041	0.539283
SCF:0000008	P38261	P33332	P32855	CF-B-provisional	3_10	remote_sequence	0.001311	0.000806	0.059725	0.026971	0.004180	0.004174	0.455041	0.450937
SCF:0000009	P63272	P62487	A0A4X1VKG7	CF-B-provisional	11_24	high	0.798163	0.999363	0.032604	0.958617	0.148419	0.148419	0.776430	0.776429
SCF:0000010	P20282	P21467	P12877	CF-B-provisional	11_24	medium	0.999917	0.999940	0.216813	0.924925	0.871991	0.649609	0.450066	0.406304
SCF:0000011	P20282	P21467	P04969	CF-B-provisional	11_24	remote_sequence	0.999917	0.999940	0.216813	0.655231	0.871991	0.705609	0.450066	0.165405
SCF:0000012	P21467	P20282	P21470	CF-B-provisional	11_24	remote_sequence	0.999917	0.999915	0.216813	0.746682	0.871991	0.746439	0.450066	0.792417
SCF:0000013	P21467	P20282	P42060	CF-B-provisional	11_24	remote_sequence	0.999917	0.999911	0.216813	0.534171	0.871991	0.742761	0.450066	0.229698
SCF:0000014	P59768	P41586	Q16602	CF-B-provisional	3_10	medium	0.999854	0.999928	0.512652	0.879714	0.005116	0.017726	0.771662	0.785997
