sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score
1	FGF13	14168	10090	IkappaBalpha	18035	10090	no_binding	SPR	SPR	In addition, SPR (surface plasmon resonance) assay demonstrated that IkappaBalpha does not interact with FGF13 (Figure S6H).	Consistent with this notion, we demonstrated that the interaction between FGF13 and p65 was not changed in response to specific IkappaBalpha downregulated or overexpressed NRCMs both under basal and stressful conditions (Figures S6F and S6G).	These data confirmed that FGF13 interacted with p65 via an IkappaB-independent manner.	33089113	PMC7567043	FGF13 Is a Novel Regulator of NF-kappaB and Potentiates Pathological Cardiac Hypertrophy	CLAIM:000318702:0-1	PAIR2:GENE:14168|GENE:18035	CLAIM:000318702	31b8cbb3a97ad9e9ad7f0e3f8b5e8cec1449949f	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	276.0
2	IGF-1r	25718	10116	Wnt3a	303181	10116	no_binding	SPR	Surface plasmon resonance	Surface plasmon resonance (SPR) experiments show that Wnt3a did not bind specifically to the IGF-1r.	We also show that Wnt3a triggered a strong activation of IGF-1r, PI3k, and Akt in developmental Stage 2 neurons and that the presence of activatable IGF-1r and PI3k activation were necessary for Wnt3a polarizing effects.	Using crosslinking and immuno-precipitation experiments, we show that stimulation with Wnt3a triggered the formation of a complex including IGF-1r-Wnt3a-Frizzled-7.	24298236	PMC3829478	Wingless-type family member 3A triggers neuronal polarization via cross-activation of the insulin-like growth factor-1 receptor pathway	CLAIM:000015950:0-1	PAIR2:GENE:25718|GENE:303181	CLAIM:000015950	df4c92f6e5a37680f79996543801c483f2fa951b	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	251.0
3	Wdr5	140858	10090	Hdac2	15182	10090	no_binding	pull_down	pull-down	Wdr5 does not bind directly to Hdac1 or Hdac2 in high or low salt wash conditions (Supplementary Figs.	7).	2c and 9).	28959017	PMC5620087	The WHHERE coactivator complex is required for retinoic acid-dependent regulation of embryonic symmetry	CLAIM:000331201:0-1	PAIR2:GENE:140858|GENE:15182	CLAIM:000331201	05472351e9aafae4b36141e1fddbb2e418f4e9c7	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	242.0
4	Wdr5	140858	10090	Hdac1	433759	10090	no_binding	pull_down	pull-down	Wdr5 does not bind directly to Hdac1 or Hdac2 in high or low salt wash conditions (Supplementary Figs.	7).	2c and 9).	28959017	PMC5620087	The WHHERE coactivator complex is required for retinoic acid-dependent regulation of embryonic symmetry	CLAIM:000331200:0-1	PAIR2:GENE:140858|GENE:433759	CLAIM:000331200	5e7012c00fdb140abc6714e47f251b684df43baa	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	242.0
5	PI3Kalpha	5290	9606	RIT1	6016	9606	no_binding	ITC	ITC	ERAS lacked sufficient solubility for ITC experiments, and our inclusion of RIT1 corroborated previous predictions of no binding to PI3Kalpha (Supplementary Fig.	1B).	1A).	39788953	PMC11718114	Structural insights into isoform-specific RAS-PI3Kalpha interactions and the role of RAS in PI3Kalpha activation	CLAIM:000336067:0-1	PAIR2:GENE:5290|GENE:6016	CLAIM:000336067	6fa321e4219d0d11c3f06c432b0f4ec42e0553a1	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	1	0	1	0	0	240.0
6	MTP	4547	9606	tPA	5327	9606	no_binding	pull_down	pull-down	By contrast, purified tPA did not interact with solid-phase immobilized MTP (Fig.	S9 and S10).	4B).	37651538	PMC10697821	Intracellular tPA-PAI-1 interaction determines VLDL assembly in hepatocytes	CLAIM:000205633:0-1	PAIR2:GENE:4547|GENE:5327	CLAIM:000205633	b21e4aeb9c88f7aa7bc58573e53f01da8e77606a	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	232.0
7	CD147ECD	682	9606	TFF1	7031	9606	no_binding	SPR	SPR	TFF1 and TFF2, the other two members of the trefoil factor family that were used as controls in the SPR assay, did not bind to CD147ECD (Supplementary Fig.	1d).	5d), indicating that CD147 specifically interacts with TFF3.	34262017	PMC8280106	CD147 receptor is essential for TFF3-mediated signaling regulating colorectal cancer progression	CLAIM:000201758:0-1	PAIR2:GENE:682|GENE:7031	CLAIM:000201758	80e713b4e75d0eef5fb21e9c360db217b47d49f4	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	212.0
8	ALK7	130399	10090	Nodal	4838	9606	no_binding	SPR	SPR	ALK7 (purple) obtained from RnD Systems and reconstituted as suggested does not bind Nodal.	Cripto-1 (red) shows the best binding, ALK4 and Cryptic (blue and green, respectively) bind Nodal with similar profiles.		25603319	PMC4300205	Human Cerberus Prevents Nodal-Receptor Binding, Inhibits Nodal Signaling, and Suppresses Nodal-Mediated Phenotypes	CLAIM:000205241:0-1	PAIR2:GENE:130399|GENE:4838	CLAIM:000205241	c8e9c7693c3fd6b14436f2d9aeffa04070274d7e	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	210.0
9	cullin	143384	9606	KCTD15BTB	79047	9606	no_binding	ITC	ITC	The negligible heat exchanges associated with the titration of KCTD12BTB and KCTD15BTB with this cullin suggest that no binding occurs (Fig 3C and 3D).	The heat exchanges upon titration of KCTD6BTB, KCTD11BTB, KCTD12BTB, and KCTD15BTB with Cul3NTD are shown in Fig 3.	This observation is in line with the gel filtration analyses.	25974686	PMC4431850	Cullin 3 Recognition Is Not a Universal Property among KCTD Proteins	CLAIM:000040295:0-1	PAIR2:GENE:143384|GENE:79047	CLAIM:000040295	3c959f5b9efe69916343f02d18bfc229daadd568	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	208.0
10	SPR-5	173214	10090	HPL-2	176506	10090	no_binding	SPR	co-immunoprecipitation	We confirmed the specific interaction of HPL-1 with endogenous SPR-5 by co-immunoprecipitation assays, which also showed that HPL-2 does not bind to SPR-5 (Figure 7B).	Zinc fingers (C2H2)-containing proteins that could work as the REST transcription factors were also identified (Figure 7A).	To further validate the interaction of HPL-1 with the CoREST complex and to explore its biological relevance, we used C. elegans as a genetic system.	26476455	PMC4787770	H3K23me2 is a new heterochromatic mark in Caenorhabditis elegans	CLAIM:000204713:0-1	PAIR2:GENE:173214|GENE:176506	CLAIM:000204713	9a1e0a71b6e144964b5b227992d3bc1aaae1f3fc	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	negative_control	1	1	none_detected	1	0	0	0	0	0	204.0
