model	subset	p	lo	hi	n	n_ac
PLM-Interact	All core	0.5528227480282274	0.5321188771274388	0.572754903486924	3365	1606
PLM-Interact	≥2 PDB	0.5329920634920635	0.5070871031746031	0.5578430555555555	2329	1050
MINT	All core	0.5521585720215857	0.5314131901203819	0.5727171544209215	3365	1606
MINT	≥2 PDB	0.5443809523809523	0.518904365079365	0.5698257936507937	2329	1050
D-SCRIPT	All core	0.5195004198152813	0.4986662993282956	0.5395519783795131	3337	1588
D-SCRIPT	≥2 PDB	0.510572616762636	0.4857723528470889	0.5359091090850927	2320	1042
Topsy-Turvy	All core	0.5164515113350125	0.49507740344248535	0.5379409372376154	3337	1588
Topsy-Turvy	≥2 PDB	0.5104526551503519	0.48402111324376196	0.5365167146513116	2320	1042
SPRINT	All core	0.5254721876297218	0.5050172530095475	0.5465757316313822	3365	1606
SPRINT	≥2 PDB	0.5163095238095238	0.4914125	0.541746626984127	2329	1050
