unified_triplet_id	evidence_route	negative_audit_label	negative_provisional_tier	structure_assembly_size_stratum	sequence_similarity_tier	sequence_identity_pct	min_tm	tmvec_proxy_score	negative_construct_or_isoform_scope_flag	ac_pair_key	ad_pair_key	sequence_complete	missing_roles	pilot_stratum	sampling_priority
CFPPI:STRUCT:0002860	structure_assembly_context		CF-B-provisional	11_24	high	0.9815				A0A0F6NFW5|A0A0M3KL13	A0A0M3KL13|P05310	1			
CFPPI:STRUCT:0002341	structure_assembly_context		CF-B-provisional	11_24	high	0.5556				Q75VY7|Q75VY8	Q75VY8|Q84Y02	1			
CFPPI:STRUCT:0003021	structure_assembly_context		CF-B-provisional	11_24	high	0.9355				P04439|P09693	P09693|Q861F7	1			
CFPPI:STRUCT:0002630	structure_assembly_context		CF-B-provisional	11_24	high	0.9848				P04912|Q12464	P04911|Q12464	1			
CFPPI:STRUCT:0002826	structure_assembly_context		CF-B-provisional	11_24	high	0.5171				A0A3G1AUL2|A0A482JYH1	A0A3G1AZK6|A0A482JYH1	1			
CFPPI:STRUCT:0000743	structure_assembly_context		CF-B-provisional	11_24	high	0.9416				A0A1D5SLI4|A0A3B6RHV8	A0A1D5SLI4|A0A3B6PK86	1			
CFPPI:STRUCT:0001230	structure_assembly_context		CF-B-provisional	11_24	high	0.9048				E1C9L0|P17227	P17227|P17230	1			
CFPPI:STRUCT:0002898	structure_assembly_context		CF-B-provisional	11_24	high	0.6471				P0C0S5|Q9NPF5	Q93077|Q9NPF5	1			
CFPPI:STRUCT:0001776	structure_assembly_context		CF-B-provisional	11_24	high	0.8682				Q32L40|Q3MHL7	Q32L40|Q3T084	1			
CFPPI:STRUCT:0002776	structure_assembly_context		CF-B-provisional	11_24	high	1.0				I7MCM8|Q22R86	Q1HFX0|Q22R86	1			
CFPPI:STRUCT:0001413	structure_assembly_context		CF-B-provisional	11_24	high	0.5695				P32842|P41806	P25515|P41806	1			
CFPPI:STRUCT:0000811	structure_assembly_context		CF-B-provisional	11_24	high	0.6496				P13194|P36886	P36886|Q9S831	1			
CFPPI:STRUCT:0001084	structure_assembly_context		CF-B-provisional	11_24	high	0.5269				Q92905|Q9UBF6	P62877|Q92905	1			
CFPPI:STRUCT:0002954	structure_assembly_context		CF-B-provisional	11_24	high	0.9722				Q4FZW5|Q7ZYJ8	Q6GNF1|Q7ZYJ8	1			
CFPPI:STRUCT:0000692	structure_assembly_context		CF-B-provisional	11_24	high	0.9922				Q8N884|Q96KK5	Q8N884|Q99878	1			
CFPPI:STRUCT:0003127	structure_assembly_context		CF-B-provisional	11_24	high	0.5485				I0YQ44|I0Z687	I0YQ46|I0Z687	1			
CFPPI:STRUCT:0001132	structure_assembly_context		CF-B-provisional	11_24	high	0.533				E3UIU0|M2XR49	E3UIU0|M2Y652	1			
CFPPI:STRUCT:0001372	structure_assembly_context		CF-B-provisional	11_24	high	0.5367				P60709|Q9BTE1	F2Z5G5|Q9BTE1	1			
CFPPI:STRUCT:0000293	structure_assembly_context		CF-B-provisional	11_24	high	0.5149				A0A0F6NGI2|P09911	A0A0F6NFW5|P09911	1			
CFPPI:STRUCT:0002734	structure_assembly_context		CF-B-provisional	11_24	high	0.5631				I0YQ44|I0YQ45	I0YQ44|I0YQ46	1			
CFPPI:STRUCT:0001219	structure_assembly_context		CF-B-provisional	11_24	high	0.5067				E9NPW6|I0Z7A6	E9NPW6|I0YQ46	1			
CFPPI:STRUCT:0001607	structure_assembly_context		CF-B-provisional	11_24	high	0.5233				A0A0F6NGI2|Q32904	P05310|Q32904	1			
CFPPI:STRUCT:0000456	structure_assembly_context		CF-B-provisional	11_24	high	0.5067				E9NPX1|I0Z7A6	E9NPX1|I0YQ46	1			
CFPPI:STRUCT:0002795	structure_assembly_context		CF-B-provisional	11_24	high	0.72				P13192|P36886	P12355|P36886	1			
CFPPI:STRUCT:0000380	structure_assembly_context		CF-B-provisional	11_24	high	0.997				P0DOX5|S6B291	P01857|P0DOX5	1			
CFPPI:STRUCT:0000460	structure_assembly_context		CF-B-provisional	11_24	high	0.9921				F2Z4C9|Q32P73	Q32P73|Q32PE0	1			
