triplet_id	anchor	c_structure	c_random	d	taxon_c	permutation_status
SCF:0000001	P62805	Q96GM5	P62487	Q12432	9606	ok
SCF:0000002	P62805	Q96GM5	P41586	C4R7L8	9606	ok
SCF:0000004	P33332	P38261	P36160	P89102	559292	ok
SCF:0000005	P33332	P38261	P36160	P32855	559292	ok
SCF:0000006	P33332	P38261	P36160	Q06245	559292	ok
SCF:0000007	P38261	P33332	P26784	P22224	559292	ok
SCF:0000008	P38261	P33332	P43586	P32855	559292	ok
SCF:0000009	P63272	P62487	Q96GM5	A0A4X1VKG7	9606	ok
SCF:0000014	P59768	P41586	Q96GM5	Q16602	9606	ok
SCF:0000015	P59768	P41586	Q92966	P28223	9606	ok
SCF:0000016	P59768	P41586	Q00403	Q9UPC5	9606	ok
SCF:0000021	P60899	A0A8D1KNW4	A0A4X1VYD0	I3LCB2	9823	ok
SCF:0000022	P60899	A0A8D1KNW4	A0A481DF93	A0A4X1VM56	9823	ok
SCF:0000023	Q00403	Q92966	P41586	Q92759	9606	ok
SCF:0000024	Q92966	Q00403	P41586	Q9HAW0	9606	ok
SCF:0000025	A4VD75	I7M6H4	I7MLZ4	I7M9J2	312017	ok
SCF:0000026	P21082	P20979	P20637	P20504	10249	ok
SCF:0000027	P21082	P20979	P68449	P68439	10249	ok
SCF:0000028	P26784	P36160	P38261	P38805	559292	ok
SCF:0000029	P26784	P36160	P38261	P26321	559292	ok
SCF:0000030	P26784	P36160	P38261	P40007	559292	ok
SCF:0000031	P36160	P26784	P33332	P0C0W9	559292	ok
SCF:0000033	Q9W0I7	P49735	Q9XYU0	Q9XYU1	7227	ok
SCF:0000034	Q9W0I7	P49735	Q9XYU0	Q9V461	7227	ok
SCF:0000035	Q9W0I7	P49735	Q26454	Q9VGW6	7227	ok
SCF:0000041	O74499	P87173	O94376	O14352	284812	ok
SCF:0000044	P39744	P43586	P33332	Q02326	559292	ok
SCF:0000045	P39744	P43586	P07703	P26784	559292	ok
SCF:0000046	P43586	P39744	P47076	Q07896	559292	ok
SCF:0000047	A0A2K3DG79	A8J353	A8IH07	A8INX1	3055	ok
SCF:0000048	A0A2K3DG79	A8J353	A0A2K3E6S5	A8IJ60	3055	ok
SCF:0000049	A8J353	A0A2K3DG79	A8IJY7	A8INX1	3055	ok
SCF:0000050	Q9TM20	Q9TM22	O19928	Q9TM21	2771	ok
SCF:0000052	A0QVB8	A0R550	A0QS96	A0QSP9	246196	ok
SCF:0000053	A0R550	A0QVB8	A0R102	A0QSD7	246196	ok
SCF:0000054	Q2G111	Q2G2Q1	Q2FW08	Q2G2Q4	93061	ok
SCF:0000055	Q2G2Q1	Q2G111	Q2FW08	Q2FW10	93061	ok
SCF:0000058	P21471	P21476	O31742	P21473	224308	ok
SCF:0000059	P21471	P21476	Q06797	P21468	224308	ok
SCF:0000060	P21471	P21476	P21477	P21472	224308	ok
SCF:0000061	P21476	P21471	P21467	P12874	224308	ok
SCF:0000069	P29256	P09192	P12975	Q55274	1111708	ok
SCF:0000071	C4R3Z5	C4R5R1	C4QXY9	C4R370	644223	ok
SCF:0000075	O19882	O19928	Q9TM22	Q9TM46	2771	ok
SCF:0000077	O94646	O94376	P87173	O13964	284812	ok
SCF:0000078	O94646	O94376	Q9Y821	O14010	284812	ok
SCF:0000081	G0RZG4	G0SCD1	G0S1P1	G0SC21	759272	ok
SCF:0000082	G0RZG4	G0SCD1	G0S755	P0CT46	759272	ok
SCF:0000083	G0SCD1	G0RZG4	G0SC21	G0S1P1	759272	ok
SCF:0000084	A8IH07	A8IJY7	A0A2K3DG79	A8IL21	3055	ok
SCF:0000085	A8IH07	A8IJY7	A8HUP3	A8INX1	3055	ok
SCF:0000086	A8IJY7	A8IH07	A8J353	A8INX1	3055	ok
SCF:0000087	P36121	P07703	P43586	P32910	559292	ok
SCF:0000088	P28000	P47076	P39744	P20435	559292	ok
SCF:0000089	I7MDA9	I7MLZ4	I7M6H4	I7M6D6	312017	ok
SCF:0000090	I7MDA9	I7MLZ4	Q22R86	Q229S1	312017	ok
SCF:0000093	Q23YW7	Q24CL2	Q22R86	Q24DJ0	312017	ok
SCF:0000094	Q24CL2	Q23YW7	I7MLZ4	Q23S05	312017	ok
SCF:0000096	P63272	P53803	P28070	A0A4X1TRS6	9606	ok
SCF:0000097	O95456	P28070	P53803	P60900	9606	ok
SCF:0000098	O95456	P28070	Q99471	P25788	9606	ok
SCF:0000099	O95456	P28070	P50990	O14818	9606	ok
SCF:0000100	P28070	O95456	P50990	P48556	9606	ok
SCF:0000101	P28070	O95456	P08913	O14818	9606	ok
SCF:0000102	P50990	Q99471	P28070	O15212	9606	ok
SCF:0000103	Q99471	P50990	P28070	P49368	9606	ok
SCF:0000104	Q99471	P50990	O95456	P40227	9606	ok
SCF:0000106	A0A1S3ZQT7	A0A1S3X2G3	A0A1S4BFK7	A0A1S3YU01	4097	ok
SCF:0000110	P47128	P02309	P32910	P61830	559292	ok
SCF:0000112	G0RZG4	G0S1P1	G0SCD1	G0SC21	759272	ok
SCF:0000113	Q2FZ25	Q2G113	Q2G2Q1	Q2FW20	93061	ok
SCF:0000114	P59768	P08913	O95456	P21728	9606	ok
SCF:0000115	P59768	P08913	P61758	P28223	9606	ok
SCF:0000116	P59768	P08913	P61758	P41143	9606	ok
SCF:0000117	Q8DLL4	Q8DKZ4	P59087	Q8DL31	197221	ok
SCF:0000119	P50991	P61758	P08913	O15212	9606	ok
SCF:0000120	P50991	P61758	P08913	Q9NQP4	9606	ok
SCF:0000121	P61201	Q9UBF6	Q9NV88	P62877	9606	ok
SCF:0000122	Q9UBF6	P61201	Q13617	Q9UNS2	9606	ok
SCF:0000127	P68135	P02602	P24732	P14649	9986	ok
SCF:0000128	P68135	P02602	P24732	P0DP26	9986	ok
SCF:0000129	P68135	P02602	P24732	P68246	9986	ok
SCF:0000131	P01116	Q13617	Q9UBF6	P07900	9606	ok
SCF:0000132	Q96SY0	Q9NV88	P61201	Q9NVM9	9606	ok
SCF:0000133	Q96SY0	Q9NV88	O15446	Q9NVR2	9606	ok
SCF:0000134	Q9NVM9	Q9NVR2	P62805	Q9NV88	9606	ok
SCF:0000135	Q9NVR2	Q9NVM9	P07305	Q9NV88	9606	ok
SCF:0000136	Q9NVR2	Q9NVM9	P07305	Q5TA45	9606	ok
SCF:0000137	A0A1S3XP85	A0A1S4BFK7	A0A1S3X2G3	A0A1S4CE74	4097	ok
SCF:0000138	A0A1S4BFK7	A0A1S3XP85	A0A1S3ZSI0	A0A1S3YEW3	4097	ok
SCF:0000143	Q3B726	O15446	Q9NV88	Q9GZS1	9606	ok
SCF:0000144	P07305	P62805	Q9NVR2	P04908	9606	ok
SCF:0000145	P62805	P07305	Q9NVM9	P10412	9606	ok
SCF:0000146	P62805	P07305	Q9NVM9	A0A1B8Y854	9606	ok
SCF:0000147	P62805	P07305	Q99832	P33778	9606	ok
SCF:0000148	P20436	P32910	P02309	P29055	559292	ok
SCF:0000149	P20436	P32910	P33332	P46669	559292	ok
SCF:0000150	P20436	P32910	P19658	P07703	559292	ok
SCF:0000151	A0T0V1	B8CEQ3	B8BUW3	B8C770	35128	ok
SCF:0000152	A0T0V1	B8CEQ3	B8BUW3	B8C2K6	35128	ok
SCF:0000153	B8CEQ3	A0T0V1	A0T0M9	A0T0S1	35128	ok
SCF:0000154	Q9NQP4	Q99832	P07305	P50991	9606	ok
SCF:0000159	P56768	Q949Q5	Q01667	Q9SUI6	3702	ok
SCF:0000160	P56768	Q949Q5	Q01667	Q9SUI7	3702	ok
SCF:0000164	E1C9K6	E1C9K9	A0A0M3KL13	A0A0M3KL10	3888	ok
SCF:0000169	A0A063XCP1	A0A063X781	A0A063XF22	A0A063X754	1423	ok
SCF:0000173	Q00403	O15514	Q9GZQ6	Q15543	9606	ok
SCF:0000174	P0A431	P59087	Q8DKZ4	Q8DIN9	197221	ok
SCF:0000175	P0A431	P59087	Q8DKF5	Q8DJZ6	197221	ok
SCF:0000180	Q8LCQ4	Q01667	Q949Q5	Q9SY97	3702	ok
SCF:0000181	Q8LCQ4	Q01667	Q949Q5	Q94AQ8	3702	ok
SCF:0000182	P59768	Q9GZQ6	O15514	P41145	9606	ok
SCF:0000183	P59768	Q9GZQ6	P49427	Q9UPC5	9606	ok
SCF:0000184	P0A7W7	P69222	P0A7G2	P0A7T7	83333	ok
SCF:0000186	Q9Y7N2	Q9P6Q0	O14010	P87310	284812	ok
SCF:0000190	Q9XYU1	Q9VBI1	P49735	Q9VQY9	7227	ok
SCF:0000191	Q9XYU1	Q9VBI1	P49735	Q9W2V7	7227	ok
SCF:0000192	Q15370	P49427	Q9GZQ6	Q712K3	9606	ok
SCF:0000193	Q15370	P49427	Q96RJ0	Q13084	9606	ok
