triplet_id	ac_id	A	C	D	pdb_assembly	complex_size_bin	core_flag	n_pdb_AC	replicated_AC	A_C_min_heavy	A_D_min_heavy	positive_source	seqid_CD	seqid_CD_bin	family_A	family_C	family_D	score_AD_PLMInteract	score_AC_PLMInteract	delta_PLMInteract	rank_correct_PLMInteract	score_AD_DSCRIPT	score_AC_DSCRIPT	score_AD_TopsyTurvy	score_AC_TopsyTurvy
SCF:0000001	AC:000002	P62805	Q96GM5	Q12432	9rl4-assembly1.cif.gz	11_24	1	5	1	57.192	2.263	PDB_exact_pair_aggregate	0.2989	20_30	P62805	Q96GM5	Q12432	0.999874	0.999897	-2.3e-05	0.0	0.043883	0.004209	0.724265	0.518654
SCF:0000002	AC:000002	P62805	Q96GM5	C4R7L8	9rl4-assembly1.cif.gz	11_24	1	5	1	57.192	2.866	PDB_exact_pair_aggregate	0.2917	20_30	P62805	Q96GM5	C4R7L8	0.999678	0.999897	-0.000219	0.0	0.004356	0.004209	0.20441	0.518654
SCF:0000003	AC:000004	Q980U8	Q97Z84	P57766	2izo-assembly1.cif.gz	3_10	1	1	0	9.044	2.654	same_assembly_bridge	0.287	20_30	Q980U8	Q97Z84	P57766	0.996443	0.999834	-0.003391	0.0	0.176939	0.349593	0.737471	0.781677
SCF:0000004	AC:000006	P33332	P38261	P89102	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.334	same_assembly_bridge	0.2945	20_30	P33332	P38261	P89102	0.000625	0.001311	-0.000686	0.0	0.004176	0.00418	0.663734	0.455041
SCF:0000005	AC:000006	P33332	P38261	P32855	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.532	PDB_exact_pair_aggregate	0.2932	20_30	P33332	P38261	P32855	0.000125	0.001311	-0.001186	0.0	0.004176	0.00418	0.626459	0.455041
SCF:0000006	AC:000006	P33332	P38261	Q06245	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.907	PDB_exact_pair_aggregate	0.2652	20_30	P33332	P38261	Q06245	0.006643	0.001311	0.005332	1.0	0.004176	0.00418	0.678065	0.455041
SCF:0000007	AC:000006	P38261	P33332	P22224	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.546	PDB_exact_pair_aggregate	0.2966	20_30	P38261	P33332	P22224	0.003933	0.001311	0.002622	1.0	0.004175	0.00418	0.539283	0.455041
SCF:0000008	AC:000006	P38261	P33332	P32855	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.338	PDB_exact_pair_aggregate	0.2883	20_30	P38261	P33332	P32855	0.000806	0.001311	-0.000505	0.0	0.004174	0.00418	0.450937	0.455041
SCF:0000009	AC:000011	P63272	P62487	A0A4X1VKG7	8xrm-assembly1.cif.gz	11_24	1	2	1	43.157	2.708	PDB_exact_pair_aggregate	1.0	ge50	P63272	A0A4X1VKG7	A0A4X1VKG7	0.999363	0.798163	0.2012	1.0	0.148419	0.148419	0.776429	0.77643
SCF:0000010	AC:000012	P20282	P21467	P12877	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	1.454	PDB_exact_pair_aggregate	0.3148	30_40	B7IA17	Q839E7	P62399	0.99994	0.999917	2.3e-05	1.0	0.649609	0.871991	0.406304	0.450066
SCF:0000011	AC:000012	P20282	P21467	P04969	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	2.259	PDB_exact_pair_aggregate	0.3483	30_40	B7IA17	Q839E7	Q50296	0.99994	0.999917	2.3e-05	1.0	0.705609	0.871991	0.165405	0.450066
SCF:0000012	AC:000012	P21467	P20282	P21470	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	4.21	PDB_exact_pair_aggregate	0.2783	20_30	Q839E7	B7IA17	A0A1M6R974	0.999915	0.999917	-2e-06	0.0	0.746439	0.871991	0.792417	0.450066
SCF:0000013	AC:000012	P21467	P20282	P42060	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	3.585	PDB_exact_pair_aggregate	0.2644	20_30	Q839E7	B7IA17	P42060	0.999911	0.999917	-6e-06	0.0	0.742761	0.871991	0.229698	0.450066
SCF:0000014	AC:000013	P59768	P41586	Q16602	6m1i-assembly1.cif.gz	3_10	1	5	1	12.357	2.483	PDB_exact_pair_aggregate	0.3455	30_40	P59768	P41586	Q16602	0.999928	0.999854	7.4e-05	1.0	0.017726	0.005116	0.785997	0.771662
SCF:0000015	AC:000013	P59768	P41586	P28223	6m1i-assembly1.cif.gz	3_10	1	5	1	12.357	2.22	PDB_exact_pair_aggregate	0.3156	30_40	P59768	P41586	P28223	0.999911	0.999854	5.7e-05	1.0	0.522557	0.005116	0.867291	0.771662
SCF:0000016	AC:000013	P59768	P41586	Q9UPC5	6m1i-assembly1.cif.gz	3_10	1	5	1	12.357	2.39	PDB_exact_pair_aggregate	0.2829	20_30	P59768	P41586	Q9UPC5	0.99991	0.999854	5.6e-05	1.0	0.07135	0.005116	0.884524	0.771662
