directed_pair_id,score
SCF:0000001|AC,0.088239
SCF:0000001|AD,0.928044
SCF:0000002|AC,0.088239
SCF:0000002|AD,0.795008
SCF:0000004|AC,0.027516
SCF:0000004|AD,0.995988
SCF:0000005|AC,0.027516
SCF:0000005|AD,0.995907
SCF:0000006|AC,0.027516
SCF:0000006|AD,0.998233
SCF:0000007|AC,0.067116
SCF:0000007|AD,0.975196
SCF:0000008|AC,0.067116
SCF:0000008|AD,0.492223
SCF:0000009|AC,0.509007
SCF:0000009|AD,0.509007
SCF:0000014|AC,0.178940
SCF:0000014|AD,0.901252
SCF:0000015|AC,0.178940
SCF:0000015|AD,0.969724
SCF:0000016|AC,0.178940
SCF:0000016|AD,0.953130
SCF:0000021|AC,0.148076
SCF:0000021|AD,0.774125
SCF:0000022|AC,0.148076
SCF:0000022|AD,0.848939
SCF:0000023|AC,0.001318
SCF:0000023|AD,0.969815
SCF:0000024|AC,0.148977
SCF:0000024|AD,0.998579
SCF:0000025|AC,0.025751
SCF:0000025|AD,0.980231
SCF:0000026|AC,0.012879
SCF:0000026|AD,0.975962
SCF:0000027|AC,0.012879
SCF:0000027|AD,0.965183
SCF:0000028|AC,0.012703
SCF:0000028|AD,0.713878
SCF:0000029|AC,0.012703
SCF:0000029|AD,0.797196
SCF:0000030|AC,0.012703
SCF:0000030|AD,0.764885
SCF:0000031|AC,0.062467
SCF:0000031|AD,0.838225
SCF:0000033|AC,0.030425
SCF:0000033|AD,0.961700
SCF:0000034|AC,0.030425
SCF:0000034|AD,0.994656
SCF:0000035|AC,0.030425
SCF:0000035|AD,0.997729
SCF:0000041|AC,0.130058
SCF:0000041|AD,0.986264
SCF:0000044|AC,0.346166
SCF:0000044|AD,0.951690
SCF:0000045|AC,0.346166
SCF:0000045|AD,0.897119
SCF:0000046|AC,0.569110
SCF:0000046|AD,0.867866
SCF:0000047|AC,0.026055
SCF:0000047|AD,0.990713
SCF:0000048|AC,0.026055
SCF:0000048|AD,0.970960
SCF:0000049|AC,0.038207
SCF:0000049|AD,0.979352
SCF:0000050|AC,0.075789
SCF:0000050|AD,0.928249
SCF:0000052|AC,0.098757
SCF:0000052|AD,0.667613
SCF:0000053|AC,0.034737
SCF:0000053|AD,0.696160
SCF:0000054|AC,0.075634
SCF:0000054|AD,0.896276
SCF:0000055|AC,0.046383
SCF:0000055|AD,0.877198
SCF:0000058|AC,0.148266
SCF:0000058|AD,0.684033
SCF:0000059|AC,0.148266
SCF:0000059|AD,0.648482
SCF:0000060|AC,0.148266
SCF:0000060|AD,0.362882
SCF:0000061|AC,0.404899
SCF:0000061|AD,0.784999
SCF:0000069|AC,0.095285
SCF:0000069|AD,0.977769
SCF:0000071|AC,0.027881
SCF:0000071|AD,0.917100
SCF:0000075|AC,0.438332
SCF:0000075|AD,0.868675
SCF:0000077|AC,0.050401
SCF:0000077|AD,0.846525
SCF:0000078|AC,0.050401
SCF:0000078|AD,0.910533
SCF:0000081|AC,0.065342
SCF:0000081|AD,0.937412
SCF:0000082|AC,0.065342
SCF:0000082|AD,0.937352
SCF:0000083|AC,0.353563
SCF:0000083|AD,0.935101
SCF:0000084|AC,0.017986
SCF:0000084|AD,0.960906
SCF:0000085|AC,0.017986
SCF:0000085|AD,0.978636
SCF:0000086|AC,0.023903
SCF:0000086|AD,0.968630
SCF:0000087|AC,0.356969
SCF:0000087|AD,0.973824
SCF:0000088|AC,0.037492
SCF:0000088|AD,0.881601
SCF:0000089|AC,0.013598
SCF:0000089|AD,0.997773
SCF:0000090|AC,0.013598
SCF:0000090|AD,0.985372
SCF:0000093|AC,0.020531
SCF:0000093|AD,0.970071
SCF:0000094|AC,0.012845
SCF:0000094|AD,0.988181
SCF:0000096|AC,0.626110
SCF:0000096|AD,0.626110
SCF:0000097|AC,0.012624
SCF:0000097|AD,0.976912
SCF:0000098|AC,0.012624
SCF:0000098|AD,0.923276
SCF:0000099|AC,0.012624
SCF:0000099|AD,0.973315
SCF:0000100|AC,0.010477
SCF:0000100|AD,0.992351
SCF:0000101|AC,0.010477
SCF:0000101|AD,0.997036
SCF:0000102|AC,0.151861
SCF:0000102|AD,0.926819
SCF:0000103|AC,0.113718
SCF:0000103|AD,0.969106
SCF:0000104|AC,0.113718
SCF:0000104|AD,0.990089
SCF:0000106|AC,0.016980
SCF:0000106|AD,0.950652
SCF:0000110|AC,0.056317
SCF:0000110|AD,0.515655
SCF:0000112|AC,0.331366
SCF:0000112|AD,0.937412
SCF:0000113|AC,0.082882
SCF:0000113|AD,0.947757
SCF:0000114|AC,0.236705
SCF:0000114|AD,0.703878
SCF:0000115|AC,0.236705
SCF:0000115|AD,0.969724
SCF:0000116|AC,0.236705
SCF:0000116|AD,0.895050
SCF:0000117|AC,0.075134
SCF:0000117|AD,0.943908
SCF:0000119|AC,0.034139
SCF:0000119|AD,0.931340
SCF:0000120|AC,0.034139
SCF:0000120|AD,0.904385
SCF:0000121|AC,0.013165
SCF:0000121|AD,0.993304
SCF:0000122|AC,0.034291
SCF:0000122|AD,0.994863
SCF:0000127|AC,0.013612
SCF:0000127|AD,0.996214
SCF:0000128|AC,0.013612
SCF:0000128|AD,0.956174
SCF:0000129|AC,0.013612
SCF:0000129|AD,0.956879
SCF:0000131|AC,0.043172
SCF:0000131|AD,0.992523
SCF:0000132|AC,0.017306
SCF:0000132|AD,0.982902
SCF:0000133|AC,0.017306
SCF:0000133|AD,0.985464
SCF:0000134|AC,0.021064
SCF:0000134|AD,0.979262
SCF:0000135|AC,0.009946
SCF:0000135|AD,0.952184
SCF:0000136|AC,0.009946
SCF:0000136|AD,0.982161
SCF:0000137|AC,0.001368
SCF:0000137|AD,0.916511
SCF:0000138|AC,0.065596
SCF:0000138|AD,0.872247
SCF:0000143|AC,0.063480
SCF:0000143|AD,0.974313
SCF:0000144|AC,0.268021
SCF:0000144|AD,0.701303
SCF:0000145|AC,0.207746
SCF:0000145|AD,0.748504
SCF:0000146|AC,0.207746
SCF:0000146|AD,0.848772
SCF:0000147|AC,0.207746
SCF:0000147|AD,0.857258
SCF:0000148|AC,0.024528
SCF:0000148|AD,0.959879
SCF:0000149|AC,0.024528
SCF:0000149|AD,0.750615
SCF:0000150|AC,0.024528
SCF:0000150|AD,0.894919
SCF:0000151|AC,0.112382
SCF:0000151|AD,0.966524
SCF:0000152|AC,0.112382
SCF:0000152|AD,0.983955
SCF:0000153|AC,0.357817
SCF:0000153|AD,0.664468
SCF:0000154|AC,0.007361
SCF:0000154|AD,0.989242
SCF:0000159|AC,0.059364
SCF:0000159|AD,0.964726
SCF:0000160|AC,0.059364
SCF:0000160|AD,0.966073
SCF:0000164|AC,0.108340
SCF:0000164|AD,0.981490
SCF:0000169|AC,0.115703
SCF:0000169|AD,0.812090
SCF:0000173|AC,0.098891
SCF:0000173|AD,0.784810
SCF:0000174|AC,0.064750
SCF:0000174|AD,0.977464
SCF:0000175|AC,0.064750
SCF:0000175|AD,0.980540
SCF:0000180|AC,0.307681
SCF:0000180|AD,0.850035
SCF:0000181|AC,0.307681
SCF:0000181|AD,0.985202
SCF:0000182|AC,0.605177
SCF:0000182|AD,0.836239
SCF:0000183|AC,0.605177
SCF:0000183|AD,0.953130
SCF:0000184|AC,0.026261
SCF:0000184|AD,0.738473
SCF:0000186|AC,0.160503
SCF:0000186|AD,0.776365
SCF:0000190|AC,0.024715
SCF:0000190|AD,0.987498
SCF:0000191|AC,0.024715
SCF:0000191|AD,0.987071
SCF:0000192|AC,0.237269
SCF:0000192|AD,0.549787
SCF:0000193|AC,0.237269
SCF:0000193|AD,0.998402
SCF:0000195|AC,0.023188
SCF:0000195|AD,0.992390
SCF:0000196|AC,0.023188
SCF:0000196|AD,0.969526
SCF:0000197|AC,0.056479
SCF:0000197|AD,0.857462
SCF:0000199|AC,0.017262
SCF:0000199|AD,0.987403
SCF:0000200|AC,0.017262
SCF:0000200|AD,0.961800
SCF:0000201|AC,0.013520
SCF:0000201|AD,0.933342
SCF:0000202|AC,0.013520
SCF:0000202|AD,0.978840
SCF:0000203|AC,0.013520
SCF:0000203|AD,0.953268
SCF:0000206|AC,0.036836
SCF:0000206|AD,0.987403
SCF:0000207|AC,0.036836
SCF:0000207|AD,0.961800
SCF:0000208|AC,0.037121
SCF:0000208|AD,0.590496
SCF:0000209|AC,0.165245
SCF:0000209|AD,0.969724
SCF:0000210|AC,0.165245
SCF:0000210|AD,0.703878
SCF:0000211|AC,0.165245
SCF:0000211|AD,0.907309
SCF:0000212|AC,0.138686
SCF:0000212|AD,0.907309
SCF:0000213|AC,0.138686
SCF:0000213|AD,0.903986
SCF:0000214|AC,0.138686
SCF:0000214|AD,0.895050
SCF:0000215|AC,0.064290
SCF:0000215|AD,0.918243
SCF:0000216|AC,0.014827
SCF:0000216|AD,0.983880
SCF:0000217|AC,0.014827
SCF:0000217|AD,0.996878
SCF:0000219|AC,0.032707
SCF:0000219|AD,0.978743
SCF:0000220|AC,0.035772
SCF:0000220|AD,0.982314
SCF:0000221|AC,0.035772
SCF:0000221|AD,0.995988
SCF:0000222|AC,0.035772
SCF:0000222|AD,0.998233
SCF:0000224|AC,0.079443
SCF:0000224|AD,0.977713
SCF:0000225|AC,0.019276
SCF:0000225|AD,0.997178
SCF:0000226|AC,0.019276
SCF:0000226|AD,0.912726
SCF:0000227|AC,0.019276
SCF:0000227|AD,0.990183
SCF:0000228|AC,0.010882
SCF:0000228|AD,0.995769
SCF:0000229|AC,0.010882
SCF:0000229|AD,0.991994
SCF:0000230|AC,0.010882
SCF:0000230|AD,0.992009
SCF:0000231|AC,0.004793
SCF:0000231|AD,0.965980
SCF:0000232|AC,0.015345
SCF:0000232|AD,0.986991
SCF:0000233|AC,0.015345
SCF:0000233|AD,0.996433
SCF:0000234|AC,0.015345
SCF:0000234|AD,0.975829
SCF:0000237|AC,0.030690
SCF:0000237|AD,0.869754
SCF:0000238|AC,0.030690
SCF:0000238|AD,0.819606
SCF:0000239|AC,0.030690
SCF:0000239|AD,0.836039
SCF:0000240|AC,0.031778
SCF:0000240|AD,0.980525
SCF:0000241|AC,0.031778
SCF:0000241|AD,0.994658
SCF:0000248|AC,0.101155
SCF:0000248|AD,0.939523
SCF:0000249|AC,0.101155
SCF:0000249|AD,0.682898
SCF:0000250|AC,0.049357
SCF:0000250|AD,0.997580
SCF:0000251|AC,0.049357
SCF:0000251|AD,0.994690
SCF:0000254|AC,0.080532
SCF:0000254|AD,0.985885
SCF:0000255|AC,0.010939
SCF:0000255|AD,0.983360
SCF:0000256|AC,0.010939
SCF:0000256|AD,0.978619
SCF:0000257|AC,0.010939
SCF:0000257|AD,0.970347
SCF:0000258|AC,0.343061
SCF:0000258|AD,0.351258
SCF:0000260|AC,0.016665
SCF:0000260|AD,0.972724
SCF:0000261|AC,0.016665
SCF:0000261|AD,0.984590
SCF:0000262|AC,0.033070
SCF:0000262|AD,0.807960
SCF:0000263|AC,0.033070
SCF:0000263|AD,0.944922
SCF:0000264|AC,0.033070
SCF:0000264|AD,0.936993
SCF:0000265|AC,0.016393
SCF:0000265|AD,0.853099
SCF:0000266|AC,0.051374
SCF:0000266|AD,0.964785
SCF:0000267|AC,0.051374
SCF:0000267|AD,0.967963
SCF:0000268|AC,0.008190
SCF:0000268|AD,0.996029
SCF:0000269|AC,0.025489
SCF:0000269|AD,0.991209
SCF:0000271|AC,0.049192
SCF:0000271|AD,0.758948
SCF:0000272|AC,0.049192
SCF:0000272|AD,0.660495
SCF:0000273|AC,0.128257
SCF:0000273|AD,0.854355
SCF:0000274|AC,0.011619
SCF:0000274|AD,0.851607
SCF:0000275|AC,0.003105
SCF:0000275|AD,0.965265
SCF:0000276|AC,0.085737
SCF:0000276|AD,0.965989
SCF:0000277|AC,0.502344
SCF:0000277|AD,0.029685
SCF:0000288|AC,0.212435
SCF:0000288|AD,0.765163
SCF:0000291|AC,0.014026
SCF:0000291|AD,0.978039
SCF:0000292|AC,0.274027
SCF:0000292|AD,0.744269
SCF:0000293|AC,0.038204
SCF:0000293|AD,0.812451
SCF:0000294|AC,0.046455
SCF:0000294|AD,0.916069
SCF:0000295|AC,0.046455
SCF:0000295|AD,0.831706
SCF:0000296|AC,0.046455
SCF:0000296|AD,0.955728
SCF:0000299|AC,0.003240
SCF:0000299|AD,0.992966
SCF:0000300|AC,0.003240
SCF:0000300|AD,0.987042
SCF:0000301|AC,0.020694
SCF:0000301|AD,0.958814
SCF:0000302|AC,0.020694
SCF:0000302|AD,0.936244
SCF:0000303|AC,0.020694
SCF:0000303|AD,0.948386
SCF:0000304|AC,0.029681
SCF:0000304|AD,0.910999
SCF:0000305|AC,0.029275
SCF:0000305|AD,0.958986
SCF:0000306|AC,0.029275
SCF:0000306|AD,0.977725
SCF:0000307|AC,0.029275
SCF:0000307|AD,0.948797
SCF:0000308|AC,0.017814
SCF:0000308|AD,0.936849
SCF:0000309|AC,0.077937
SCF:0000309|AD,0.963247
SCF:0000310|AC,0.077937
SCF:0000310|AD,0.976326
SCF:0000312|AC,0.053880
SCF:0000312|AD,0.056533
SCF:0000314|AC,0.053880
SCF:0000314|AD,0.965049
SCF:0000315|AC,0.015613
SCF:0000315|AD,0.602921
SCF:0000316|AC,0.015613
SCF:0000316|AD,0.940543
SCF:0000317|AC,0.015613
SCF:0000317|AD,0.526129
SCF:0000323|AC,0.016862
SCF:0000323|AD,0.951844
SCF:0000324|AC,0.016862
SCF:0000324|AD,0.933705
SCF:0000325|AC,0.196614
SCF:0000325|AD,0.883478
SCF:0000327|AC,0.035122
SCF:0000327|AD,0.965989
SCF:0000328|AC,0.213336
SCF:0000328|AD,0.856070
SCF:0000329|AC,0.022551
SCF:0000329|AD,0.995999
SCF:0000330|AC,0.032989
SCF:0000330|AD,0.971525
SCF:0000331|AC,0.032989
SCF:0000331|AD,0.976912
SCF:0000332|AC,0.032989
SCF:0000332|AD,0.961262
SCF:0000333|AC,0.007386
SCF:0000333|AD,0.987291
SCF:0000334|AC,0.007386
SCF:0000334|AD,0.995828
SCF:0000335|AC,0.010685
SCF:0000335|AD,0.963883
SCF:0000336|AC,0.080129
SCF:0000336|AD,0.984881
SCF:0000337|AC,0.005057
SCF:0000337|AD,0.908086
SCF:0000338|AC,0.005057
SCF:0000338|AD,0.670679
SCF:0000339|AC,0.005057
SCF:0000339|AD,0.938863
SCF:0000340|AC,0.443100
SCF:0000340|AD,0.011743
SCF:0000341|AC,0.443100
SCF:0000341|AD,0.996077
SCF:0000342|AC,0.443100
SCF:0000342|AD,0.996077
SCF:0000343|AC,0.013792
SCF:0000343|AD,0.987346
SCF:0000349|AC,0.017636
SCF:0000349|AD,0.929561
SCF:0000350|AC,0.017366
SCF:0000350|AD,0.995132
SCF:0000351|AC,0.017366
SCF:0000351|AD,0.996162
SCF:0000354|AC,0.115743
SCF:0000354|AD,0.083319
SCF:0000355|AC,0.115743
SCF:0000355|AD,0.998485
SCF:0000356|AC,0.012210
SCF:0000356|AD,0.979216
SCF:0000357|AC,0.012210
SCF:0000357|AD,0.969372
SCF:0000358|AC,0.012210
SCF:0000358|AD,0.995502
SCF:0000359|AC,0.284138
SCF:0000359|AD,0.960906
SCF:0000360|AC,0.284138
SCF:0000360|AD,0.950329
SCF:0000361|AC,0.191813
SCF:0000361|AD,0.977484
SCF:0000362|AC,0.191813
SCF:0000362|AD,0.965888
SCF:0000363|AC,0.045922
SCF:0000363|AD,0.971831
SCF:0000364|AC,0.084074
SCF:0000364|AD,0.963517
SCF:0000366|AC,0.200738
SCF:0000366|AD,0.956793
SCF:0000367|AC,0.200738
SCF:0000367|AD,0.966363
SCF:0000368|AC,0.045062
SCF:0000368|AD,0.966270
SCF:0000369|AC,0.045062
SCF:0000369|AD,0.992162
SCF:0000370|AC,0.045062
SCF:0000370|AD,0.994887
SCF:0000372|AC,0.136529
SCF:0000372|AD,0.886107
SCF:0000373|AC,0.234432
SCF:0000373|AD,0.861267
SCF:0000382|AC,0.006611
SCF:0000382|AD,0.990660
SCF:0000383|AC,0.007278
SCF:0000383|AD,0.838064
SCF:0000389|AC,0.169802
SCF:0000389|AD,0.901252
SCF:0000390|AC,0.169802
SCF:0000390|AD,0.985278
SCF:0000391|AC,0.169802
SCF:0000391|AD,0.703878
SCF:0000392|AC,0.060863
SCF:0000392|AD,0.897856
SCF:0000393|AC,0.060863
SCF:0000393|AD,0.878867
SCF:0000394|AC,0.060863
SCF:0000394|AD,0.819199
SCF:0000395|AC,0.144628
SCF:0000395|AD,0.989976
SCF:0000396|AC,0.087345
SCF:0000396|AD,0.965257
SCF:0000398|AC,0.016934
SCF:0000398|AD,0.977481
SCF:0000399|AC,0.016934
SCF:0000399|AD,0.977481
SCF:0000400|AC,0.016934
SCF:0000400|AD,0.989016
SCF:0000404|AC,0.056762
SCF:0000404|AD,0.990848
SCF:0000405|AC,0.056762
SCF:0000405|AD,0.844485
SCF:0000406|AC,0.030968
SCF:0000406|AD,0.949367
