pair_id	role	protein_x	protein_y	ac_id	triplet_id	anchor	assembly_size_stratum	structure_grade_provisional	counterfactual_grade_provisional	sequence_similarity_bin	positive_source	positive_interface_status	orientation
SP:0000001	ac_negative	P46217	Q4JAY4	AC:000001			11_24	Structure-A-provisional					
SP:0000002	ac_negative	P62805	Q96GM5	AC:000002			11_24	Structure-B-provisional					
SP:0000003	ac_negative	P22685	Q551M2	AC:000003			3_10	Structure-B-provisional					
SP:0000004	ac_negative	Q97Z84	Q980U8	AC:000004			3_10	Structure-B-provisional					
SP:0000005	ac_negative	Q72GR8	Q72GR9	AC:000005			3_10	Structure-A-provisional					
SP:0000006	ac_negative	P33332	P38261	AC:000006			3_10	Structure-A-provisional					
SP:0000007	ac_negative	Q8RGE0	Q8RGE3	AC:000007			3_10	Structure-A-provisional					
SP:0000008	ac_negative	A0QU24	A0QU35	AC:000008			11_24	Structure-B-provisional					
SP:0000009	ac_negative	A0A9R0JVI6	P11705	AC:000009			11_24	Structure-A-provisional					
SP:0000010	ac_negative	A0T0U5	A0T0V1	AC:000010			11_24	Structure-A-provisional					
SP:0000011	ac_negative	P62487	P63272	AC:000011			11_24	Structure-A-provisional					
SP:0000012	ac_negative	P20282	P21467	AC:000012			11_24	Structure-B-provisional					
SP:0000013	ac_negative	P41586	P59768	AC:000013			3_10	Structure-B-provisional					
SP:0000014	ac_negative	A8ITV3	P12154	AC:000014			11_24	Structure-A-provisional					
SP:0000015	ac_negative	P04310	P21603	AC:000015			11_24	Structure-A-provisional					
SP:0000016	ac_negative	Q86VP6	Q96GG9	AC:000016			3_10	Structure-A-provisional					
SP:0000017	ac_negative	P53803	Q92966	AC:000017			11_24	Structure-B-provisional					
SP:0000018	ac_negative	A0A8D1KNW4	P60899	AC:000018			11_24	Structure-A-provisional					
SP:0000019	ac_negative	Q00403	Q92966	AC:000019			3_10	Structure-B-provisional					
SP:0000020	ac_negative	D5AQG8	D5AQH2	AC:000020			3_10	Structure-A-provisional					
SP:0000021	ac_negative	A4VD75	I7M6H4	AC:000021			11_24	Structure-B-provisional					
SP:0000022	ac_negative	P20979	P21082	AC:000022			11_24	Structure-A-provisional					
SP:0000023	ac_negative	C4R0E6	C4R1V1	AC:000023			11_24	Structure-B-provisional					
SP:0000024	ac_negative	P26784	P36160	AC:000024			11_24	Structure-A-provisional					
SP:0000025	ac_negative	P05805	Q7M3E1	AC:000025			3_10	Structure-B-provisional					
SP:0000026	ac_negative	P13165	P69416	AC:000026			11_24	Structure-A-provisional					
SP:0000027	ac_negative	V5V9F4	V5V9K5	AC:000027			11_24	Structure-A-provisional					
SP:0000028	ac_negative	Q24I09	W7XBF5	AC:000028			11_24	Structure-A-provisional					
SP:0000029	ac_negative	P49735	Q9W0I7	AC:000029			11_24	Structure-A-provisional					
SP:0000030	ac_negative	P00428	P04038	AC:000030			11_24	Structure-A-provisional					
SP:0000031	ac_negative	P06899	P52435	AC:000031			11_24	Structure-A-provisional					
SP:0000032	ac_negative	C4QY79	C4R273	AC:000032			11_24	Structure-A-provisional					
SP:0000033	ac_negative	P9WGY7	P9WJG3	AC:000033			3_10	Structure-A-provisional					
SP:0000034	ac_negative	C3SQX2	C3SR57	AC:000034			11_24	Structure-B-provisional					
SP:0000035	ac_negative	A0A4V8GZZ5	A0A4V8GZZ8	AC:000035			11_24	Structure-A-provisional					
SP:0000036	ac_negative	O74499	P87173	AC:000036			3_10	Structure-B-provisional					
SP:0000037	ac_negative	Q76B86	Q9TM21	AC:000037			11_24	Structure-B-provisional					
SP:0000038	ac_negative	B6A879	B6A880	AC:000038			11_24	Structure-A-provisional					
SP:0000039	ac_negative	A0A9R0I5M6	A0A9R0JF29	AC:000039			11_24	Structure-B-provisional					
SP:0000040	ac_negative	P0C6E0	Q9KPS1	AC:000040			3_10	Structure-A-provisional					
SP:0000041	ac_negative	P39744	P43586	AC:000041			11_24	Structure-A-provisional					
SP:0000042	ac_negative	A0A2K3DG79	A8J353	AC:000042			11_24	Structure-B-provisional					
SP:0000043	ac_negative	A0A2P6U4K1	W8SY74	AC:000043			11_24	Structure-A-provisional					
SP:0000044	ac_negative	Q9TM20	Q9TM22	AC:000044			11_24	Structure-A-provisional					
SP:0000045	ac_negative	O43036	O94616	AC:000045			11_24	Structure-A-provisional					
SP:0000046	ac_negative	A0QVB8	A0R550	AC:000046			11_24	Structure-B-provisional					
SP:0000047	ac_negative	D0CD11	D0CD21	AC:000047			11_24	Structure-A-provisional					
