triplet_id	ac_id	anchor	negative_partner_c	positive_partner_d	ac_pair_id	ad_pair_id	assembly_size_stratum	counterfactual_grade_provisional	sequence_similarity_bin
SCF:0000001	AC:000002	P62805	Q96GM5	Q12432	SP:0000002	SP:0006059	11_24	CF-B-provisional	remote_sequence
SCF:0000002	AC:000002	P62805	Q96GM5	C4R7L8	SP:0000002	SP:0006060	11_24	CF-B-provisional	remote_sequence
SCF:0000003	AC:000004	Q980U8	Q97Z84	P57766	SP:0000004	SP:0006072	3_10	CF-B-provisional	remote_sequence
SCF:0000004	AC:000006	P33332	P38261	P89102	SP:0000006	SP:0006073	3_10	CF-B-provisional	remote_sequence
SCF:0000005	AC:000006	P33332	P38261	P32855	SP:0000006	SP:0006074	3_10	CF-B-provisional	remote_sequence
SCF:0000006	AC:000006	P33332	P38261	Q06245	SP:0000006	SP:0006075	3_10	CF-B-provisional	remote_sequence
SCF:0000007	AC:000006	P38261	P33332	P22224	SP:0000006	SP:0006076	3_10	CF-B-provisional	remote_sequence
SCF:0000008	AC:000006	P38261	P33332	P32855	SP:0000006	SP:0006077	3_10	CF-B-provisional	remote_sequence
SCF:0000009	AC:000011	P63272	P62487	A0A4X1VKG7	SP:0000011	SP:0006101	11_24	CF-B-provisional	high
SCF:0000010	AC:000012	P20282	P21467	P12877	SP:0000012	SP:0006105	11_24	CF-B-provisional	medium
SCF:0000011	AC:000012	P20282	P21467	P04969	SP:0000012	SP:0006106	11_24	CF-B-provisional	remote_sequence
SCF:0000012	AC:000012	P21467	P20282	P21470	SP:0000012	SP:0006108	11_24	CF-B-provisional	remote_sequence
SCF:0000013	AC:000012	P21467	P20282	P42060	SP:0000012	SP:0006109	11_24	CF-B-provisional	remote_sequence
SCF:0000014	AC:000013	P59768	P41586	Q16602	SP:0000013	SP:0006113	3_10	CF-B-provisional	medium
SCF:0000015	AC:000013	P59768	P41586	P28223	SP:0000013	SP:0006114	3_10	CF-B-provisional	remote_sequence
SCF:0000016	AC:000013	P59768	P41586	Q9UPC5	SP:0000013	SP:0006115	3_10	CF-B-provisional	remote_sequence
SCF:0000017	AC:000014	A8ITV3	P12154	P09144	SP:0000014	SP:0006116	11_24	CF-B-provisional	medium
SCF:0000018	AC:000014	P12154	A8ITV3	Q75VY4	SP:0000014	SP:0006119	11_24	CF-B-provisional	medium
SCF:0000019	AC:000014	P12154	A8ITV3	Q05093	SP:0000014	SP:0006121	11_24	CF-B-provisional	medium
SCF:0000020	AC:000018	P60899	A0A8D1KNW4	A0A4X1VEK9	SP:0000018	SP:0006143	11_24	CF-B-provisional	high
SCF:0000021	AC:000018	P60899	A0A8D1KNW4	I3LCB2	SP:0000018	SP:0006144	11_24	CF-B-provisional	remote_sequence
SCF:0000022	AC:000018	P60899	A0A8D1KNW4	A0A4X1VM56	SP:0000018	SP:0006145	11_24	CF-B-provisional	remote_sequence
SCF:0000023	AC:000019	Q00403	Q92966	Q92759	SP:0000019	SP:0006146	3_10	CF-B-provisional	remote_sequence
SCF:0000024	AC:000019	Q92966	Q00403	Q9HAW0	SP:0000019	SP:0006149	3_10	CF-B-provisional	remote_sequence
SCF:0000025	AC:000021	A4VD75	I7M6H4	I7M9J2	SP:0000021	SP:0006152	11_24	CF-B-provisional	medium
SCF:0000026	AC:000022	P21082	P20979	P20504	SP:0000022	SP:0006161	11_24	CF-B-provisional	remote_sequence
SCF:0000027	AC:000022	P21082	P20979	P68439	SP:0000022	SP:0006162	11_24	CF-B-provisional	remote_sequence
SCF:0000028	AC:000024	P26784	P36160	P38805	SP:0000024	SP:0006170	11_24	CF-B-provisional	medium
SCF:0000029	AC:000024	P26784	P36160	P26321	SP:0000024	SP:0006171	11_24	CF-B-provisional	remote_sequence
SCF:0000030	AC:000024	P26784	P36160	P40007	SP:0000024	SP:0006172	11_24	CF-B-provisional	remote_sequence
SCF:0000031	AC:000024	P36160	P26784	P0C0W9	SP:0000024	SP:0006173	11_24	CF-B-provisional	medium
SCF:0000032	AC:000028	Q24I09	W7XBF5	Q23S01	SP:0000028	SP:0006184	11_24	CF-B-provisional	remote_sequence
SCF:0000033	AC:000029	Q9W0I7	P49735	Q9XYU1	SP:0000029	SP:0006193	11_24	CF-B-provisional	medium
SCF:0000034	AC:000029	Q9W0I7	P49735	Q9V461	SP:0000029	SP:0006194	11_24	CF-B-provisional	medium
SCF:0000035	AC:000029	Q9W0I7	P49735	Q9VGW6	SP:0000029	SP:0006195	11_24	CF-B-provisional	medium
SCF:0000036	AC:000032	C4R273	C4QY79	F2QPE6	SP:0000032	SP:0006210	11_24	CF-B-provisional	high
SCF:0000037	AC:000034	C3SQX2	C3SR57	P0A7R5	SP:0000034	SP:0006217	11_24	CF-B-provisional	medium
SCF:0000038	AC:000034	C3SQX2	C3SR57	C3SQT7	SP:0000034	SP:0006218	11_24	CF-B-provisional	medium
SCF:0000039	AC:000034	C3SQX2	C3SR57	P0AG59	SP:0000034	SP:0006219	11_24	CF-B-provisional	medium
SCF:0000040	AC:000035	A0A4V8GZZ5	A0A4V8GZZ8	A0A4V8H006	SP:0000035	SP:0006224	11_24	CF-B-provisional	remote_sequence
SCF:0000041	AC:000036	O74499	P87173	O14352	SP:0000036	SP:0006229	3_10	CF-B-provisional	medium
SCF:0000042	AC:000038	B6A879	B6A880	B6A878	SP:0000038	SP:0006239	11_24	CF-B-provisional	remote_sequence
SCF:0000043	AC:000039	A0A9R0JF29	A0A9R0I5M6	A0A9R0J865	SP:0000039	SP:0006244	11_24	CF-B-provisional	remote_sequence
SCF:0000044	AC:000041	P39744	P43586	Q02326	SP:0000041	SP:0006252	11_24	CF-B-provisional	medium
SCF:0000045	AC:000041	P39744	P43586	P26784	SP:0000041	SP:0006254	11_24	CF-B-provisional	remote_sequence
SCF:0000046	AC:000041	P43586	P39744	Q07896	SP:0000041	SP:0006255	11_24	CF-B-provisional	remote_sequence
SCF:0000047	AC:000042	A0A2K3DG79	A8J353	A8INX1	SP:0000042	SP:0006258	11_24	CF-B-provisional	medium
SCF:0000048	AC:000042	A0A2K3DG79	A8J353	A8IJ60	SP:0000042	SP:0006259	11_24	CF-B-provisional	remote_sequence
SCF:0000049	AC:000042	A8J353	A0A2K3DG79	A8INX1	SP:0000042	SP:0006261	11_24	CF-B-provisional	remote_sequence
SCF:0000050	AC:000044	Q9TM20	Q9TM22	Q9TM21	SP:0000044	SP:0006238	11_24	CF-B-provisional	medium
SCF:0000051	AC:000046	A0QVB8	A0R550	A0QSL6	SP:0000046	SP:0006280	11_24	CF-B-provisional	remote_sequence
SCF:0000052	AC:000046	A0QVB8	A0R550	A0QSP9	SP:0000046	SP:0006281	11_24	CF-B-provisional	remote_sequence
SCF:0000053	AC:000046	A0R550	A0QVB8	A0QSD7	SP:0000046	SP:0006283	11_24	CF-B-provisional	medium
SCF:0000054	AC:000048	Q2G111	Q2G2Q1	Q2G2Q4	SP:0000048	SP:0006291	11_24	CF-B-provisional	remote_sequence
SCF:0000055	AC:000048	Q2G2Q1	Q2G111	Q2FW10	SP:0000048	SP:0006294	11_24	CF-B-provisional	remote_sequence
SCF:0000056	AC:000049	P04637	P61218	P04908	SP:0000049	SP:0006297	11_24	CF-B-provisional	remote_sequence
SCF:0000057	AC:000049	P61218	P04637	O15446	SP:0000049	SP:0006300	11_24	CF-B-provisional	remote_sequence
SCF:0000058	AC:000050	P21471	P21476	P21473	SP:0000050	SP:0006303	11_24	CF-B-provisional	remote_sequence
SCF:0000059	AC:000050	P21471	P21476	P21468	SP:0000050	SP:0006304	11_24	CF-B-provisional	remote_sequence
SCF:0000060	AC:000050	P21471	P21476	P21472	SP:0000050	SP:0006305	11_24	CF-B-provisional	remote_sequence
SCF:0000061	AC:000050	P21476	P21471	P12874	SP:0000050	SP:0006307	11_24	CF-B-provisional	remote_sequence
SCF:0000062	AC:000051	P49005	P39748	Q15054	SP:0000051	SP:0006311	3_10	CF-B-provisional	remote_sequence
SCF:0000063	AC:000052	Q13426	Q9NP87	Q9UGP5	SP:0000052	SP:0006314	11_24	CF-B-provisional	medium
SCF:0000064	AC:000052	Q13426	Q9NP87	Q8IW19	SP:0000052	SP:0006315	11_24	CF-B-provisional	remote_sequence
SCF:0000065	AC:000053	P07839	Q75VY9	P12356	SP:0000053	SP:0006320	11_24	CF-B-provisional	remote_sequence
SCF:0000066	AC:000054	O43402	Q9NPA0	Q9P0I2	SP:0000054	SP:0006326	3_10	CF-B-provisional	remote_sequence
SCF:0000067	AC:000055	E9NPS7	I0YQ46	I0YPL4	SP:0000055	SP:0006333	11_24	CF-B-provisional	medium
SCF:0000068	AC:000055	E9NPS7	I0YQ46	I0Z687	SP:0000055	SP:0006334	11_24	CF-B-provisional	remote_sequence
SCF:0000069	AC:000056	P29256	P09192	Q55274	SP:0000056	SP:0006341	11_24	CF-B-provisional	remote_sequence
SCF:0000070	AC:000057	C4R3Z5	C4R5R1	C4QZQ7	SP:0000057	SP:0006344	11_24	CF-B-provisional	remote_sequence
SCF:0000071	AC:000057	C4R3Z5	C4R5R1	C4R370	SP:0000057	SP:0006345	11_24	CF-B-provisional	remote_sequence
SCF:0000072	AC:000057	C4R3Z5	C4R5R1	F2QUC3	SP:0000057	SP:0006346	11_24	CF-B-provisional	remote_sequence
SCF:0000073	AC:000058	O14810	P60880	P32851	SP:0000058	SP:0006350	3_10	CF-B-provisional	remote_sequence
SCF:0000074	AC:000058	P60880	O14810	P63041	SP:0000058	SP:0006351	3_10	CF-B-provisional	high
SCF:0000075	AC:000063	O19882	O19928	Q9TM46	SP:0000063	SP:0006375	11_24	CF-B-provisional	medium
SCF:0000076	AC:000064	Q12464	P31376	Q03388	SP:0000064	SP:0006384	11_24	CF-B-provisional	remote_sequence
SCF:0000077	AC:000068	O94646	O94376	O13964	SP:0000068	SP:0006404	11_24	CF-B-provisional	remote_sequence
SCF:0000078	AC:000068	O94646	O94376	O14010	SP:0000068	SP:0006405	11_24	CF-B-provisional	remote_sequence
SCF:0000079	AC:000070	Q9UKF6	Q969L4	P62318	SP:0000070	SP:0006415	3_10	CF-B-provisional	remote_sequence
SCF:0000080	AC:000070	Q9UKF6	Q969L4	P62308	SP:0000070	SP:0006416	3_10	CF-B-provisional	remote_sequence
SCF:0000081	AC:000074	G0RZG4	G0SCD1	G0SC21	SP:0000074	SP:0006430	3_10	CF-A-provisional	medium
SCF:0000082	AC:000074	G0RZG4	G0SCD1	P0CT46	SP:0000074	SP:0006431	3_10	CF-B-provisional	remote_sequence
