ac_id	protein_a	protein_c	tax_id	pdb_id	assembly_id	structure_file	chain_a	chain_c	bridge_chain	bridge_protein	num_protein_chains	experimental_method	resolution	r_free	ac_min_heavy_a	ac_min_cb_or_ca_a	ac_distance_margin_status	ac_mutual_nearest	a_observed_residues	c_observed_residues	a_construct_coverage	c_construct_coverage	a_canonical_coverage	c_canonical_coverage	ab_min_heavy_a	bc_min_heavy_a	ab_cbca_contact_pairs_8a	bc_cbca_contact_pairs_8a	ab_interface_residues_anchor	ab_interface_residues_bridge	bc_interface_residues_bridge	bc_interface_residues_negative	bridge_edges_interface_pass	aggregate_noncontact_assemblies	aggregate_class_a_assemblies	aggregate_distinct_pdb_count	assembly_coordinate_source	assembly_rebuild_audit_status	direct_positive_conflict_status	structure_grade_provisional	negative_label_semantics	qc_status	assembly_size_stratum
AC:000001	P46217	Q4JAY4	330779	7oqy	1	7oqy-assembly1.cif.gz	J	G	A	P11512	14	ELECTRON MICROSCOPY			10.190	18.287	robust_ge_10A	0	90	122	1.0000	0.9385	1.0000	1.0083	2.862	2.587	37	95	18	15	33	36	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000002	P62805	Q96GM5	9606	9rl4	1	9rl4-assembly1.cif.gz	B	P	I	P51532	20	ELECTRON MICROSCOPY			57.192	63.715	robust_ge_10A	0	82	381	0.7736	0.7398	0.7961	0.7398	4.543	2.745	2	24	1	2	11	12	0	5	2	5	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000003	P22685	Q551M2	44689	6qkl	1	6qkl-assembly1.cif.gz	C	I	G	Q54VN6	10	ELECTRON MICROSCOPY			10.876	14.572	robust_ge_10A	0	185	250	0.9840	1.0000	0.6066	1.0246	2.512	3.399	31	0	13	15	0	0	0	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000004	Q97Z84	Q980U8	273057	2izo	1	2izo-assembly1.cif.gz	B	A	C	P57766	3	X-RAY DIFFRACTION			9.044	15.103	borderline_8_to_10A	0	245	268	0.9959	0.7746	1.0000	0.7679	2.735	2.654	44	53	15	18	27	16	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000005	Q72GR8	Q72GR9	262724	4o9u	1	4o9u-assembly1.cif.gz	E	A	B	Q72GS0	6	X-RAY DIFFRACTION			31.429	33.877	robust_ge_10A	0	372	94	0.9688	0.9400	0.9920	0.9400	2.244	2.701	57	308	21	22	99	79	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000006	P33332	P38261	559292	5yfp	1	5yfp-assembly1.cif.gz	A	H	B	P89102	8	ELECTRON MICROSCOPY			22.497	22.545	robust_ge_10A	0	672	518	0.5030	0.6879	0.5030	0.6879	2.334	2.385	366	86	102	120	37	32	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000007	Q8RGE0	Q8RGE3	190304	6q45	1	6q45-assembly1.cif.gz	A	H	G	Q8RGE1	8	X-RAY DIFFRACTION			14.973	18.462	robust_ge_10A	0	476	134	0.9520	1.0000	0.9520	1.0000	3.135	2.499	30	64	13	17	26	24	1	2	2	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000008	A0QU24	A0QU35	246196	8e9i	1	8e9i-assembly1.cif.gz	M	B	K	A0QU26	15	ELECTRON MICROSCOPY			38.367	44.017	robust_ge_10A	0	621	183	0.9873	0.9946	1.1739	0.9946	3.483	3.661	35	4	12	13	3	3	0	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000009	A0A9R0JVI6	P11705	3562	8xzv	1	8xzv-assembly1.cif.gz	L	C	D	P11704	19	ELECTRON MICROSCOPY			53.418	55.415	robust_ge_10A	0	215	677	0.7875	1.0000	0.7570	1.0000	3.356	2.271	31	278	16	14	95	102	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000010	A0T0U5	A0T0V1	35128	8xls	1	8xls-assembly1.cif.gz	L	J	B	A0T0M9	17	ELECTRON MICROSCOPY			37.541	41.440	robust_ge_10A	0	76	30	0.9048	1.0000	0.5135	0.7317	2.635	2.694	29	51	14	15	24	17	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
