triplet_id	split	internal_dev	ac_id	anchor	c	d	fam_a	fam_c	fam_d	pdb_id	pdb_count	stratum	replicated_noncontact
SCF:0000036	dropped_pdb_overlap	0	AC:000032	C4R273	C4QY79	F2QPE6	C4R273	C4QY79	C4QY79	8yfr	5	11_24	1
SCF:0000037	dropped_pdb_overlap	0	AC:000034	C3SQX2	C3SR57	P0A7R5	P80372	Q50296	P21471	9sx2	12	11_24	1
SCF:0000038	dropped_pdb_overlap	0	AC:000034	C3SQX2	C3SR57	C3SQT7	P80372	Q50296	P21471	9sx2	12	11_24	1
SCF:0000039	dropped_pdb_overlap	0	AC:000034	C3SQX2	C3SR57	P0AG59	P80372	Q50296	P0AG59	9sx2	12	11_24	1
SCF:0000043	dropped_pdb_overlap	0	AC:000039	A0A9R0JF29	A0A9R0I5M6	A0A9R0J865	A0A9R0JF29	A0A1S3X2G3	A0A1S3YEW3	8xzv	1	11_24	0
SCF:0000326	dropped_pdb_overlap	0	AC:000246	A0QS97	A0QSD5	A0QSL5	P17291	A0QSD5	B7IA17	8yp6	17	11_24	1
SCF:0000407	dropped_pdb_overlap	0	AC:000311	I0YPL4	I0Z687	I0YST3	I0YPL4	A8IL32	A0A4V8GZZ4	9kqp	1	11_24	0
SCF:0000408	dropped_pdb_overlap	0	AC:000311	I0Z687	I0YPL4	I0YP76	A8IL32	I0YPL4	A0A4V8H004	9kqp	1	11_24	0
SCF:0000690	dropped_pdb_overlap	0	AC:000593	E9NPS7	I0YP72	I0YPL4	A0T0M8	A8ITV3	I0YPL4	9kqp	1	11_24	0
SCF:0000691	dropped_pdb_overlap	0	AC:000593	I0YP72	E9NPS7	E9NPS8	A8ITV3	A0T0M8	T1RIQ1	9kqp	1	11_24	0
SCF:0000710	dropped_pdb_overlap	0	AC:000607	P12239	Q7DGD4	P12240	P12239	Q7DGD4	P12240	7eda	43	11_24	1
SCF:0000711	dropped_pdb_overlap	0	AC:000607	Q7DGD4	P12239	P19054	Q7DGD4	P12239	P19054	7eda	43	11_24	1
SCF:0000773	dropped_pdb_overlap	0	AC:000642	E9NPS7	I0YP76	I0YPL4	A0T0M8	A0A4V8H004	I0YPL4	9kqp	1	11_24	0
SCF:0000774	dropped_pdb_overlap	0	AC:000642	I0YP76	E9NPS7	E9NPS8	A0A4V8H004	A0T0M8	T1RIQ1	9kqp	1	11_24	0
SCF:0000931	dropped_pdb_overlap	0	AC:000782	O19925	O19895	Q9TM47	P14835	P0A444	D0VWR8	4yuu	1	11_24	0
SCF:0001087	dropped_pdb_overlap	0	AC:000900	Q85G47	Q85FS8	Q85FQ6	A0A4V8H005	Q55329	E9NPX1	5zgb	4	11_24	1
