pair_root	negative_id	sequence_no	pmid	evidence_semantics	anchor_accession	negative_partner_accession	positive_partner_accession	positive_evidence_tier	distinct_positive_publications	positive_detection_methods	negative_pair_fits_1024	positive_pair_fits_1024	both_pairs_fit_1024	exact_string_positive_overlap_negative	negative_score_id	positive_score_id	negative_score	positive_score	margin	positive_wins
PN6P:0347	PAIR2:GENE:100134934|GENE:2237	347	38908783	association_negative	P39748	Q86WV5	P12004	strict_direct_interaction	30	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0054""(fluorescence-activated cell sorting)|psi-mi:""MI:0065""(isothermal titration calorimetry)|psi-mi:""MI:0114""(x-ray crystallography)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0809""(bimolecular fluorescence complementation)|psi-mi:""MI:0055""(fluorescent resonance energy transfer)|psi-mi:""MI:0012""(bioluminescence resonance energy transfer)|psi-mi:""MI:1203""(split luciferase complementation)|psi-mi:""MI:0090""(protein complementation assay)|psi-mi:""MI:0398""(two hybrid pooling approach)|psi-mi:""MI:0397""(two hybrid array)|psi-mi:""MI:0397""(two hybrid array)"	1	1	1	0	PN6P:0347:negative	PN6P:0347:positive	0.99643	0.999884	0.003453999999999957	1
PN6P:0021	PAIR2:GENE:100134934|GENE:3836	21	33731801	biophysical_direct	P52294	Q86WV5	P06748	strict_direct_interaction	2	"psi-mi:""MI:0096""(pull down)"	1	1	1	0	PN6P:0021:negative	PN6P:0021:positive	7.6e-05	0.994156	0.9940800000000001	1
PN6P:0310	PAIR2:GENE:100502766|GENE:20873	310	39349439	association_negative	Q64702	Q9QWT9	A2AUM9	strict_direct_interaction	3	"psi-mi:""MI:0096""(pull down)"	0	0	0	0	PN6P:0310:negative	PN6P:0310:positive	0.007479	0.002794	-0.004685	0
PN6P:0386	PAIR2:GENE:10133|GENE:64343	386	39276928	other_direct_binding	Q96CV9	Q9H6S1	O95166	strict_direct_interaction	2	"psi-mi:""MI:0084""(phage display)"	1	1	1	0	PN6P:0386:negative	PN6P:0386:positive	0.713073	0.999496	0.2864230000000001	1
PN6P:0406	PAIR2:GENE:10133|GENE:9755	406	39276928	other_direct_binding	Q96CV9	A7MCY6	P42858	strict_direct_interaction	9	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:1112""(two hybrid prey pooling approach)|psi-mi:""MI:1356""(validated two hybrid)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0398""(two hybrid pooling approach)|psi-mi:""MI:0397""(two hybrid array)"	0	0	0	0	PN6P:0406:negative	PN6P:0406:positive	0.002059	0.006621	0.004562	1
PN6P:0335	PAIR2:GENE:10134|GENE:999	335	34178131	association_negative	P12830	P51572	O60716	strict_direct_interaction	2	"psi-mi:""MI:0114""(x-ray crystallography)"	0	0	0	0	PN6P:0335:negative	PN6P:0335:positive	0.999422	0.992411	-0.0070109999999999895	0
PN6P:0472	PAIR2:GENE:101772|GENE:12288	472	28119464	association_negative	Q01815	Q8BHY3	O54824	strict_direct_interaction	2	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0397""(two hybrid array)"	0	0	0	0	PN6P:0472:negative	PN6P:0472:positive	9.4e-05	0.000514	0.00042	1
PN6P:0058	PAIR2:GENE:1017|GENE:47	58	26928812	other_direct_binding	P24941	P53396	P38936	strict_direct_interaction	44	"psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0231""(mammalian protein protein interaction trap)|psi-mi:""MI:0089""(protein array)|psi-mi:""MI:0813""(proximity ligation assay)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0018""(two hybrid)|psi-mi:""MI:0006""(anti bait coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0107""(surface plasmon resonance)|psi-mi:""MI:0727""(lexa b52 complementation)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0676""(tandem affinity purification)|psi-mi:""MI:0096""(pull down)|psi-mi:""MI:0096""(pull down)"	0	1	0	0	PN6P:0058:negative	PN6P:0058:positive	0.002031	0.999349	0.997318	1
PN6P:0299	PAIR2:GENE:10188|GENE:37247	299	27462444	association_negative	Q07912	Q8T0S6	P16333	strict_direct_interaction	10	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0081""(peptide array)"	0	0	0	0	PN6P:0299:negative	PN6P:0299:positive	0.022208	0.999151	0.976943	1
PN6P:0304	PAIR2:GENE:10188|GENE:43651	304	27462444	association_negative	Q07912	Q9VA38	P16333	strict_direct_interaction	10	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0007""(anti tag coimmunoprecipitation)|psi-mi:""MI:0081""(peptide array)"	0	0	0	0	PN6P:0304:negative	PN6P:0304:positive	0.006744	0.999151	0.992407	1
