directed_pair_id,score
SCF:0000001|AC,0.999897
SCF:0000001|AD,0.999874
SCF:0000002|AC,0.999897
SCF:0000002|AD,0.999678
SCF:0000004|AC,0.001311
SCF:0000004|AD,0.000625
SCF:0000005|AC,0.001311
SCF:0000005|AD,0.000125
SCF:0000006|AC,0.001311
SCF:0000006|AD,0.006643
SCF:0000007|AC,0.001335
SCF:0000007|AD,0.003933
SCF:0000008|AC,0.001335
SCF:0000008|AD,0.000806
SCF:0000009|AC,0.999363
SCF:0000009|AD,0.999363
SCF:0000014|AC,0.999910
SCF:0000014|AD,0.999928
SCF:0000015|AC,0.999910
SCF:0000015|AD,0.999911
SCF:0000016|AC,0.999910
SCF:0000016|AD,0.999910
SCF:0000021|AC,0.999936
SCF:0000021|AD,0.999947
SCF:0000022|AC,0.999936
SCF:0000022|AD,0.999944
SCF:0000023|AC,0.999056
SCF:0000023|AD,0.999914
SCF:0000024|AC,0.999691
SCF:0000024|AD,0.000150
SCF:0000025|AC,0.009733
SCF:0000025|AD,0.000139
SCF:0000026|AC,0.001020
SCF:0000026|AD,0.978239
SCF:0000027|AC,0.001020
SCF:0000027|AD,0.366031
SCF:0000028|AC,0.999758
SCF:0000028|AD,0.999865
SCF:0000029|AC,0.999758
SCF:0000029|AD,0.999885
SCF:0000030|AC,0.999758
SCF:0000030|AD,0.995532
SCF:0000031|AC,0.999757
SCF:0000031|AD,0.999580
SCF:0000033|AC,0.999684
SCF:0000033|AD,0.999820
SCF:0000034|AC,0.999684
SCF:0000034|AD,0.999890
SCF:0000035|AC,0.999684
SCF:0000035|AD,0.999589
SCF:0000041|AC,0.999818
SCF:0000041|AD,0.999187
SCF:0000044|AC,0.999761
SCF:0000044|AD,0.999935
SCF:0000045|AC,0.999761
SCF:0000045|AD,0.999815
SCF:0000046|AC,0.999796
SCF:0000046|AD,0.999405
SCF:0000047|AC,0.000706
SCF:0000047|AD,0.158685
SCF:0000048|AC,0.000706
SCF:0000048|AD,0.130960
SCF:0000049|AC,0.002519
SCF:0000049|AD,0.000557
SCF:0000050|AC,0.889198
SCF:0000050|AD,0.997458
SCF:0000052|AC,0.999436
SCF:0000052|AD,0.999741
SCF:0000053|AC,0.999826
SCF:0000053|AD,0.999931
SCF:0000054|AC,0.999908
SCF:0000054|AD,0.998353
SCF:0000055|AC,0.999907
SCF:0000055|AD,0.999917
SCF:0000058|AC,0.999801
SCF:0000058|AD,0.999887
SCF:0000059|AC,0.999801
SCF:0000059|AD,0.999890
SCF:0000060|AC,0.999801
SCF:0000060|AD,0.999924
SCF:0000061|AC,0.999890
SCF:0000061|AD,0.999740
SCF:0000069|AC,0.998950
SCF:0000069|AD,0.998922
SCF:0000071|AC,0.988999
SCF:0000071|AD,0.987786
SCF:0000075|AC,0.997464
SCF:0000075|AD,0.997817
SCF:0000077|AC,0.999935
SCF:0000077|AD,0.999901
SCF:0000078|AC,0.999935
SCF:0000078|AD,0.999941
SCF:0000081|AC,0.999611
SCF:0000081|AD,0.999693
SCF:0000082|AC,0.999611
SCF:0000082|AD,0.999613
SCF:0000083|AC,0.999570
SCF:0000083|AD,0.999052
SCF:0000084|AC,0.015314
SCF:0000084|AD,0.990770
SCF:0000085|AC,0.015314
SCF:0000085|AD,0.281478
SCF:0000086|AC,0.264939
SCF:0000086|AD,0.269701
SCF:0000087|AC,0.999925
SCF:0000087|AD,0.999919
SCF:0000088|AC,0.999905
SCF:0000088|AD,0.999538
SCF:0000089|AC,0.998868
SCF:0000089|AD,0.000223
SCF:0000090|AC,0.998868
SCF:0000090|AD,0.000969
SCF:0000093|AC,0.008311
SCF:0000093|AD,0.001245
SCF:0000094|AC,0.010269
SCF:0000094|AD,0.079286
SCF:0000096|AC,0.999624
SCF:0000096|AD,0.999624
SCF:0000097|AC,0.999575
SCF:0000097|AD,0.999798
SCF:0000098|AC,0.999575
SCF:0000098|AD,0.999713
SCF:0000099|AC,0.999575
SCF:0000099|AD,0.999776
SCF:0000100|AC,0.999889
SCF:0000100|AD,0.999922
SCF:0000101|AC,0.999889
SCF:0000101|AD,0.999858
SCF:0000102|AC,0.999744
SCF:0000102|AD,0.999853
SCF:0000103|AC,0.999893
SCF:0000103|AD,0.999866
SCF:0000104|AC,0.999893
SCF:0000104|AD,0.999866
SCF:0000106|AC,0.000433
SCF:0000106|AD,0.000239
SCF:0000110|AC,0.999810
SCF:0000110|AD,0.935224
SCF:0000112|AC,0.999263
SCF:0000112|AD,0.999693
SCF:0000113|AC,0.999622
SCF:0000113|AD,0.999872
SCF:0000114|AC,0.999921
SCF:0000114|AD,0.999902
SCF:0000115|AC,0.999921
SCF:0000115|AD,0.999911
SCF:0000116|AC,0.999921
SCF:0000116|AD,0.999919
SCF:0000117|AC,0.011399
SCF:0000117|AD,0.116501
SCF:0000119|AC,0.999252
SCF:0000119|AD,0.999879
SCF:0000120|AC,0.999252
SCF:0000120|AD,0.999905
SCF:0000121|AC,0.998194
SCF:0000121|AD,0.999842
SCF:0000122|AC,0.997510
SCF:0000122|AD,0.999352
SCF:0000127|AC,0.004619
SCF:0000127|AD,0.126084
SCF:0000128|AC,0.004619
SCF:0000128|AD,0.732467
SCF:0000129|AC,0.004619
SCF:0000129|AD,0.827757
SCF:0000131|AC,0.061902
SCF:0000131|AD,0.999693
SCF:0000132|AC,0.999822
SCF:0000132|AD,0.929735
SCF:0000133|AC,0.999822
SCF:0000133|AD,0.973613
SCF:0000134|AC,0.040808
SCF:0000134|AD,0.883177
SCF:0000135|AC,0.125606
SCF:0000135|AD,0.971891
SCF:0000136|AC,0.125606
SCF:0000136|AD,0.999564
SCF:0000137|AC,0.000055
SCF:0000137|AD,0.000073
SCF:0000138|AC,0.000116
SCF:0000138|AD,0.000104
SCF:0000143|AC,0.999883
SCF:0000143|AD,0.999829
SCF:0000144|AC,0.999877
SCF:0000144|AD,0.997058
SCF:0000145|AC,0.999846
SCF:0000145|AD,0.999521
SCF:0000146|AC,0.999846
SCF:0000146|AD,0.999889
SCF:0000147|AC,0.999846
SCF:0000147|AD,0.999872
SCF:0000148|AC,0.999923
SCF:0000148|AD,0.999894
SCF:0000149|AC,0.999923
SCF:0000149|AD,0.421331
SCF:0000150|AC,0.999923
SCF:0000150|AD,0.999765
SCF:0000151|AC,0.992481
SCF:0000151|AD,0.997928
SCF:0000152|AC,0.992481
SCF:0000152|AD,0.998630
SCF:0000153|AC,0.999558
SCF:0000153|AD,0.998782
SCF:0000154|AC,0.999884
SCF:0000154|AD,0.999916
SCF:0000159|AC,0.075006
SCF:0000159|AD,0.003827
SCF:0000160|AC,0.075006
SCF:0000160|AD,0.004928
SCF:0000164|AC,0.995168
SCF:0000164|AD,0.995031
SCF:0000169|AC,0.999905
SCF:0000169|AD,0.999812
SCF:0000173|AC,0.999926
SCF:0000173|AD,0.997754
SCF:0000174|AC,0.000251
SCF:0000174|AD,0.000916
SCF:0000175|AC,0.000251
SCF:0000175|AD,0.000248
SCF:0000180|AC,0.999921
SCF:0000180|AD,0.999914
SCF:0000181|AC,0.999921
SCF:0000181|AD,0.000595
SCF:0000182|AC,0.999918
SCF:0000182|AD,0.999916
SCF:0000183|AC,0.999918
SCF:0000183|AD,0.999910
SCF:0000184|AC,0.999732
SCF:0000184|AD,0.999911
SCF:0000186|AC,0.998262
SCF:0000186|AD,0.999870
SCF:0000190|AC,0.998560
SCF:0000190|AD,0.999903
SCF:0000191|AC,0.998560
SCF:0000191|AD,0.999893
SCF:0000192|AC,0.999772
SCF:0000192|AD,0.791271
SCF:0000193|AC,0.999772
SCF:0000193|AD,0.000335
SCF:0000195|AC,0.000097
SCF:0000195|AD,0.020129
SCF:0000196|AC,0.000097
SCF:0000196|AD,0.000165
SCF:0000197|AC,0.999788
SCF:0000197|AD,0.999887
SCF:0000199|AC,0.999592
SCF:0000199|AD,0.999582
SCF:0000200|AC,0.999592
SCF:0000200|AD,0.999881
SCF:0000201|AC,0.992591
SCF:0000201|AD,0.998650
SCF:0000202|AC,0.992591
SCF:0000202|AD,0.998874
SCF:0000203|AC,0.992591
SCF:0000203|AD,0.030681
SCF:0000206|AC,0.999917
SCF:0000206|AD,0.999582
SCF:0000207|AC,0.999917
SCF:0000207|AD,0.999881
SCF:0000208|AC,0.999845
SCF:0000208|AD,0.999756
SCF:0000209|AC,0.999842
SCF:0000209|AD,0.999911
SCF:0000210|AC,0.999842
SCF:0000210|AD,0.999902
SCF:0000211|AC,0.999842
SCF:0000211|AD,0.999922
SCF:0000212|AC,0.999920
SCF:0000212|AD,0.999922
SCF:0000213|AC,0.999920
SCF:0000213|AD,0.999910
SCF:0000214|AC,0.999920
SCF:0000214|AD,0.999919
SCF:0000215|AC,0.999820
SCF:0000215|AD,0.999902
SCF:0000216|AC,0.001145
SCF:0000216|AD,0.011034
SCF:0000217|AC,0.001145
SCF:0000217|AD,0.024030
SCF:0000219|AC,0.000822
SCF:0000219|AD,0.999716
SCF:0000220|AC,0.002056
SCF:0000220|AD,0.001837
SCF:0000221|AC,0.002056
SCF:0000221|AD,0.000625
SCF:0000222|AC,0.002056
SCF:0000222|AD,0.006643
SCF:0000224|AC,0.999556
SCF:0000224|AD,0.999920
SCF:0000225|AC,0.002078
SCF:0000225|AD,0.429152
SCF:0000226|AC,0.002078
SCF:0000226|AD,0.981679
SCF:0000227|AC,0.002078
SCF:0000227|AD,0.073108
SCF:0000228|AC,0.008277
SCF:0000228|AD,0.898006
SCF:0000229|AC,0.008277
