triplet_id	split	internal_dev	ac_id	anchor	c	d	fam_a	fam_c	fam_d	pdb_id	pdb_count	stratum	replicated_noncontact
SCF:0000018	dropped_mixed_family	0	AC:000014	P12154	A8ITV3	Q75VY4	A0T0M8	A8ITV3	Q84Y02	7zq9	7	11_24	1
SCF:0000019	dropped_mixed_family	0	AC:000014	P12154	A8ITV3	Q05093	A0T0M8	A8ITV3	Q7DM26	7zq9	7	11_24	1
SCF:0000067	dropped_mixed_family	0	AC:000055	E9NPS7	I0YQ46	I0YPL4	A0T0M8	Q84Y02	I0YPL4	9kqp	2	11_24	1
SCF:0000068	dropped_mixed_family	0	AC:000055	E9NPS7	I0YQ46	I0Z687	A0T0M8	Q84Y02	A8IL32	9kqp	2	11_24	1
SCF:0000107	dropped_mixed_family	0	AC:000097	A0A4V8H005	A0A4V8GZZ7	A0A4V8GZZ9	A0A4V8H005	Q84Y02	A0A4V8GZZ9	6igz	1	11_24	0
SCF:0000108	dropped_mixed_family	0	AC:000097	A0A4V8H005	A0A4V8GZZ7	A0A4V8H001	A0A4V8H005	Q84Y02	Q75VY8	6igz	1	11_24	0
SCF:0000139	dropped_mixed_family	0	AC:000126	A0A4V8GZZ6	A0A4V8GZZ7	A0A4V8GZZ9	Q7DM26	Q84Y02	A0A4V8GZZ9	6igz	1	11_24	0
SCF:0000140	dropped_mixed_family	0	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8H000	Q84Y02	Q7DM26	A0A4V8H000	6igz	1	11_24	0
SCF:0000142	dropped_mixed_family	0	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8GZZ9	Q84Y02	Q7DM26	A0A4V8GZZ9	6igz	1	11_24	0
SCF:0000156	dropped_mixed_family	0	AC:000138	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TT36	A0A2P6TPV8	A0A2P6TQ14	Q7DM26	7a4p	2	11_24	1
SCF:0000157	dropped_mixed_family	0	AC:000138	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TZ50	A0A2P6TPV8	A0A2P6TQ14	Q84Y02	7a4p	2	11_24	1
SCF:0000161	dropped_mixed_family	0	AC:000142	P12356	Q75VY9	Q05093	P12356	I0YPL4	Q7DM26	7bgi	6	11_24	1
SCF:0000162	dropped_mixed_family	0	AC:000142	P12356	Q75VY9	Q7DM26	P12356	I0YPL4	Q7DM26	7bgi	6	11_24	1
SCF:0000163	dropped_mixed_family	0	AC:000142	Q75VY9	P12356	Q75VY8	I0YPL4	P12356	Q75VY8	7bgi	6	11_24	1
SCF:0000168	dropped_mixed_family	0	AC:000145	E9NPW6	I0YPL4	I0YQ46	Q55329	I0YPL4	Q84Y02	9kqp	1	11_24	0
SCF:0000176	dropped_mixed_family	0	AC:000153	Q01667	Q8LCQ4	Q9C639	A0A9R0J8B1	F2D0D5	Q84Y02	7wfd	2	11_24	1
SCF:0000177	dropped_mixed_family	0	AC:000153	Q01667	Q8LCQ4	Q9SQL2	A0A9R0J8B1	F2D0D5	Q84Y02	7wfd	2	11_24	1
SCF:0000178	dropped_mixed_family	0	AC:000153	Q01667	Q8LCQ4	P27521	A0A9R0J8B1	F2D0D5	Q84Y02	7wfd	2	11_24	1
SCF:0000179	dropped_mixed_family	0	AC:000153	Q8LCQ4	Q01667	P27521	F2D0D5	A0A9R0J8B1	Q84Y02	7wfd	2	11_24	1
SCF:0000242	dropped_mixed_family	0	AC:000195	F2CW18	F2DAN8	Q43485	Q84Y02	A0A2K1IB10	F2D0D5	7ew6	1	11_24	0
SCF:0000243	dropped_mixed_family	0	AC:000195	F2DAN8	F2CW18	F2D0D5	A0A2K1IB10	Q84Y02	F2D0D5	7ew6	1	11_24	0
SCF:0000244	dropped_mixed_family	0	AC:000195	F2DAN8	F2CW18	Q43485	A0A2K1IB10	Q84Y02	F2D0D5	7ew6	1	11_24	0
SCF:0000270	dropped_mixed_family	0	AC:000211	A0A4V8H007	A0A4V8GZZ7	A0A4V8GZZ9	A0A4V8H007	Q84Y02	A0A4V8GZZ9	6igz	1	11_24	0
SCF:0000282	dropped_mixed_family	0	AC:000221	A0A2P6TPR7	A0A2P6TZ50	A0A2P6TS63	A0A4V8H000	Q84Y02	Q84Y02	6zzy	3	11_24	1
SCF:0000283	dropped_mixed_family	0	AC:000221	A0A2P6TPR7	A0A2P6TZ50	A0A2P6U4K1	A0A4V8H000	Q84Y02	Q75VY8	6zzy	3	11_24	1
SCF:0000284	dropped_mixed_family	0	AC:000221	A0A2P6TPR7	A0A2P6TZ50	A0A2P6TQ14	A0A4V8H000	Q84Y02	A0A2P6TQ14	6zzy	3	11_24	1
SCF:0000285	dropped_mixed_family	0	AC:000221	A0A2P6TZ50	A0A2P6TPR7	A0A2P6TT36	Q84Y02	A0A4V8H000	Q7DM26	6zzy	3	11_24	1
SCF:0000286	dropped_mixed_family	0	AC:000221	A0A2P6TZ50	A0A2P6TPR7	A0A2P6TQ14	Q84Y02	A0A4V8H000	A0A2P6TQ14	6zzy	3	11_24	1
SCF:0000287	dropped_mixed_family	0	AC:000221	A0A2P6TZ50	A0A2P6TPR7	A0A2P6TS63	Q84Y02	A0A4V8H000	Q84Y02	6zzy	3	11_24	1
SCF:0000318	dropped_mixed_family	0	AC:000237	A0A2P6TPV8	A0A2P6TPR7	A0A2P6TT36	A0A2P6TPV8	A0A4V8H000	Q7DM26	7a4p	3	11_24	1
SCF:0000319	dropped_mixed_family	0	AC:000237	A0A2P6TPV8	A0A2P6TPR7	A0A2P6TZ50	A0A2P6TPV8	A0A4V8H000	Q84Y02	7a4p	3	11_24	1
SCF:0000320	dropped_mixed_family	0	AC:000237	A0A2P6TPV8	A0A2P6TPR7	A0A2P6TS63	A0A2P6TPV8	A0A4V8H000	Q84Y02	7a4p	3	11_24	1
SCF:0000374	dropped_mixed_family	0	AC:000287	Q75VY4	Q75VZ0	Q75VY6	Q84Y02	Q75VY8	A0A4V8H000	8h2u	2	11_24	1
SCF:0000378	dropped_mixed_family	0	AC:000287	Q75VZ0	Q75VY4	Q75VY6	Q75VY8	Q84Y02	A0A4V8H000	8h2u	2	11_24	1
SCF:0000409	dropped_mixed_family	0	AC:000311	I0Z687	I0YPL4	I0YQ46	A8IL32	I0YPL4	Q84Y02	9kqp	1	11_24	0
SCF:0000422	dropped_mixed_family	0	AC:000328	E9NPW6	I0Z2Y0	I0YQ46	Q55329	Q75VY8	Q84Y02	9kqp	2	11_24	1
SCF:0000423	dropped_mixed_family	0	AC:000328	E9NPW6	I0Z2Y0	I0Z7V3	Q55329	Q75VY8	P12356	9kqp	2	11_24	1
SCF:0000447	dropped_mixed_family	0	AC:000339	A0A4V8H005	A0A4V8H004	A0A4V8H001	A0A4V8H005	A0A4V8H004	Q75VY8	6igz	1	11_24	0
SCF:0000456	dropped_mixed_family	0	AC:000346	E9NPX1	I0Z7A6	I0YQ46	E9NPX1	Q75VY8	Q84Y02	9kqq	2	11_24	1
SCF:0000457	dropped_mixed_family	0	AC:000346	E9NPX1	I0Z7A6	I0YQ44	E9NPX1	Q75VY8	Q84Y02	9kqq	2	11_24	1
SCF:0000458	dropped_mixed_family	0	AC:000346	E9NPX1	I0Z7A6	I0Z7V3	E9NPX1	Q75VY8	P12356	9kqq	2	11_24	1
SCF:0000485	dropped_mixed_family	0	AC:000388	A0A4V8H008	A0A4V8H004	A0A4V8H001	P12356	A0A4V8H004	Q75VY8	6igz	1	11_24	0
SCF:0000516	dropped_mixed_family	0	AC:000422	A0A2P6TPV8	A0A2P6U4K1	A0A2P6TZ50	A0A2P6TPV8	Q75VY8	Q84Y02	6zzx	3	11_24	1
SCF:0000517	dropped_mixed_family	0	AC:000422	A0A2P6TPV8	A0A2P6U4K1	A0A2P6TT36	A0A2P6TPV8	Q75VY8	Q7DM26	6zzx	3	11_24	1
SCF:0000519	dropped_mixed_family	0	AC:000425	A0A4V8GZZ4	A0A4V8H001	A0A4V8GZZ8	A0A4V8GZZ4	Q75VY8	I0YPL4	9k1e	3	11_24	1
SCF:0000536	dropped_mixed_family	0	AC:000433	A0A4V8GZZ7	A0A4V8H008	A0A4V8GZZ8	Q84Y02	P12356	I0YPL4	6igz	1	11_24	0
SCF:0000537	dropped_mixed_family	0	AC:000433	A0A4V8H008	A0A4V8GZZ7	A0A4V8GZZ9	P12356	Q84Y02	A0A4V8GZZ9	6igz	1	11_24	0
SCF:0000538	dropped_mixed_family	0	AC:000433	A0A4V8H008	A0A4V8GZZ7	A0A4V8H001	P12356	Q84Y02	Q75VY8	6igz	1	11_24	0
SCF:0000543	dropped_mixed_family	0	AC:000439	A0A4V8GZZ3	A0A4V8GZZ8	A0A4V8GZZ7	Q55329	I0YPL4	Q84Y02	6igz	1	11_24	0
SCF:0000565	dropped_mixed_family	0	AC:000467	Q32904	Q9SQL2	Q41038	A0A2K1IB10	Q84Y02	F2D0D5	4y28	6	11_24	1
SCF:0000566	dropped_mixed_family	0	AC:000467	Q9SQL2	Q32904	Q41038	Q84Y02	A0A2K1IB10	F2D0D5	4y28	6	11_24	1
SCF:0000567	dropped_mixed_family	0	AC:000467	Q9SQL2	Q32904	Q01667	Q84Y02	A0A2K1IB10	A0A9R0J8B1	4y28	6	11_24	1
SCF:0000568	dropped_mixed_family	0	AC:000467	Q9SQL2	Q32904	P12355	Q84Y02	A0A2K1IB10	Q9SHE8	4y28	6	11_24	1
SCF:0000646	dropped_mixed_family	0	AC:000549	A0A4V8GZZ3	A0A4V8GZZ6	A0A4V8GZZ7	Q55329	Q7DM26	Q84Y02	6igz	1	11_24	0
SCF:0000647	dropped_mixed_family	0	AC:000549	A0A4V8GZZ3	A0A4V8GZZ6	A0A4V8GZZ9	Q55329	Q7DM26	A0A4V8GZZ9	6igz	1	11_24	0
SCF:0000654	dropped_mixed_family	0	AC:000554	A0A2P6TPU7	A0A2P6TT36	A0A2P6TMX4	A0A2P6TPU7	Q7DM26	A0A4V8H004	6zzy	2	11_24	1
SCF:0000655	dropped_mixed_family	0	AC:000554	A0A2P6TPU7	A0A2P6TT36	A0A2P6TS63	A0A2P6TPU7	Q7DM26	Q84Y02	6zzy	2	11_24	1
SCF:0000656	dropped_mixed_family	0	AC:000554	A0A2P6TPU7	A0A2P6TT36	A0A2P6TZ50	A0A2P6TPU7	Q7DM26	Q84Y02	6zzy	2	11_24	1
SCF:0000751	dropped_mixed_family	0	AC:000633	A8IL32	Q75VY6	Q75VY7	A8IL32	A0A4V8H000	Q84Y02	6ijj	14	11_24	1
SCF:0000754	dropped_mixed_family	0	AC:000633	Q75VY6	A8IL32	Q75VY8	A0A4V8H000	A8IL32	Q75VY8	6ijj	14	11_24	1
SCF:0000765	dropped_mixed_family	0	AC:000639	A8IFG7	Q05093	Q75VY7	A8IFG7	Q7DM26	Q84Y02	7zqc	14	11_24	1
SCF:0000766	dropped_mixed_family	0	AC:000639	A8IFG7	Q05093	Q84Y02	A8IFG7	Q7DM26	Q84Y02	7zqc	14	11_24	1
SCF:0000767	dropped_mixed_family	0	AC:000639	Q05093	A8IFG7	P12352	Q7DM26	A8IFG7	A0A4V8H007	7zqc	14	11_24	1
SCF:0000772	dropped_mixed_family	0	AC:000641	I0Z2Y0	I0YQ46	I0YPL4	Q75VY8	Q84Y02	I0YPL4	9kqp	2	11_24	1
SCF:0000781	dropped_mixed_family	0	AC:000647	E9NPS7	I0Z2Y0	I0YPL4	A0T0M8	Q75VY8	I0YPL4	9kqp	2	11_24	1
SCF:0000782	dropped_mixed_family	0	AC:000647	E9NPS7	I0Z2Y0	I0Z7V3	A0T0M8	Q75VY8	P12356	9kqp	2	11_24	1
SCF:0000783	dropped_mixed_family	0	AC:000648	P12352	Q84Y02	Q05093	A0A4V8H007	Q84Y02	Q7DM26	7bgi	10	11_24	1
SCF:0000784	dropped_mixed_family	0	AC:000648	Q84Y02	P12352	A8IFG7	Q84Y02	A0A4V8H007	A8IFG7	7bgi	10	11_24	1
SCF:0000793	dropped_mixed_family	0	AC:000664	P13192	Q43485	Q9LKC7	Q9SHE8	F2D0D5	Q84Y02	7ew6	1	11_24	0
SCF:0000794	dropped_mixed_family	0	AC:000664	P13192	Q43485	F2CW18	Q9SHE8	F2D0D5	Q84Y02	7ew6	1	11_24	0
SCF:0000808	dropped_mixed_family	0	AC:000672	C1K003	D0FXV2	D0FXZ0	Q7DM26	A0T0M8	T1RIQ1	6sl5	2	11_24	1
SCF:0000809	dropped_mixed_family	0	AC:000672	D0FXV2	C1K003	C1K004	A0T0M8	Q7DM26	I0YPL4	6sl5	2	11_24	1
SCF:0000810	dropped_mixed_family	0	AC:000672	D0FXV2	C1K003	A0A6I8WFT8	A0T0M8	Q7DM26	A0A0H2UKZ4	6sl5	2	11_24	1
SCF:0000813	dropped_mixed_family	0	AC:000675	W8SUD1	A0A2P6TT36	A0A2P6TMX4	Q55329	Q7DM26	A0A4V8H004	7a4p	3	11_24	1
SCF:0000814	dropped_mixed_family	0	AC:000675	W8SUD1	A0A2P6TT36	A0A2P6TS63	Q55329	Q7DM26	Q84Y02	7a4p	3	11_24	1
