triplet_id	split	internal_dev	ac_id	anchor	c	d	fam_a	fam_c	fam_d	pdb_id	pdb_count	stratum	replicated_noncontact
SCF:0000010	dropped_mixed_protein	0	AC:000012	P20282	P21467	P12877	B7IA17	Q839E7	P62399	8cdu	22	11_24	1
SCF:0000011	dropped_mixed_protein	0	AC:000012	P20282	P21467	P04969	B7IA17	Q839E7	Q50296	8cdu	22	11_24	1
SCF:0000012	dropped_mixed_protein	0	AC:000012	P21467	P20282	P21470	Q839E7	B7IA17	A0A1M6R974	8cdu	22	11_24	1
SCF:0000013	dropped_mixed_protein	0	AC:000012	P21467	P20282	P42060	Q839E7	B7IA17	P42060	8cdu	22	11_24	1
SCF:0000017	dropped_mixed_protein	0	AC:000014	A8ITV3	P12154	P09144	A8ITV3	A0T0M8	T1RIQ1	7zq9	7	11_24	1
SCF:0000020	dropped_mixed_protein	0	AC:000018	P60899	A0A8D1KNW4	A0A4X1VEK9	P36954	A0A4X1VEK9	A0A4X1VEK9	9rtt	4	11_24	1
SCF:0000040	dropped_mixed_protein	0	AC:000035	A0A4V8GZZ5	A0A4V8GZZ8	A0A4V8H006	A8IL32	I0YPL4	A5Z2K3	6igz	1	11_24	0
SCF:0000051	dropped_mixed_protein	0	AC:000046	A0QVB8	A0R550	A0QSL6	A0QVB8	P0AG59	Q50296	8wif	5	11_24	1
SCF:0000056	dropped_mixed_protein	0	AC:000049	P04637	P61218	P04908	P04637	A0A4X1VEK9	P0C0S5	6xre	1	11_24	0
SCF:0000057	dropped_mixed_protein	0	AC:000049	P61218	P04637	O15446	A0A4X1VEK9	P04637	O15446	6xre	1	11_24	0
SCF:0000070	dropped_mixed_protein	0	AC:000057	C4R3Z5	C4R5R1	C4QZQ7	C4R3Z5	C4R5R1	I3LGP4	8yfq	2	11_24	1
SCF:0000076	dropped_mixed_protein	0	AC:000064	Q12464	P31376	Q03388	Q9Y230	P31376	Q03388	9b1e	1	11_24	0
SCF:0000091	dropped_mixed_protein	0	AC:000083	O19928	Q9TM46	Q9TM47	Q8DIQ1	D0VWR7	D0VWR8	4yuu	1	11_24	0
SCF:0000092	dropped_mixed_protein	0	AC:000083	O19928	Q9TM46	O19895	Q8DIQ1	D0VWR7	P0A444	4yuu	1	11_24	0
SCF:0000105	dropped_mixed_protein	0	AC:000095	C4QZ45	C4R7H2	C4QZQ7	C4QZ45	C4R7H2	I3LGP4	7xn7	12	11_24	1
SCF:0000109	dropped_mixed_protein	0	AC:000099	P02309	P47128	P02293	P62805	P47128	O23629	8x2z	4	11_24	1
SCF:0000111	dropped_mixed_protein	0	AC:000099	P47128	P02309	Q12692	P47128	P62805	P0C0S5	8x2z	4	11_24	1
SCF:0000124	dropped_mixed_protein	0	AC:000118	A0A2K1IAD0	A0A2K1IB10	A9RT62	A8IL32	A0A2K1IB10	A9RT62	6l35	1	11_24	0
SCF:0000158	dropped_mixed_protein	0	AC:000139	D5MAL3	Q32904	Q41038	Q55329	A0A2K1IB10	F2D0D5	6zxs	6	11_24	1
SCF:0000171	dropped_mixed_protein	0	AC:000148	Q00403	O15514	P61218	Q00403	Q9VEA5	A0A4X1VEK9	5iyc	10	11_24	1
SCF:0000172	dropped_mixed_protein	0	AC:000148	Q00403	O15514	A0A4X1VEK9	Q00403	Q9VEA5	A0A4X1VEK9	5iyc	10	11_24	1
SCF:0000185	dropped_mixed_protein	0	AC:000158	P0A7W7	P69222	P0A7R5	Q83ER2	Q5SHR1	P21471	9ss2	9	11_24	1
SCF:0000245	dropped_mixed_protein	0	AC:000198	Q8YQ35	P58568	P58560	Q55274	Q55329	P58560	7y3f	1	11_24	0
SCF:0000278	dropped_mixed_protein	0	AC:000218	P04911	Q12509	P53298	P0C0S5	Q12509	P53298	9b1e	6	11_24	1
SCF:0000279	dropped_mixed_protein	0	AC:000218	Q12509	P04911	P61830	Q12509	P0C0S5	P02299	9b1e	6	11_24	1
SCF:0000289	dropped_mixed_protein	0	AC:000223	E3UIU1	M2VTV2	M2XR49	T1RIQ1	M2VTV2	M2XR49	9kc5	1	11_24	0
SCF:0000290	dropped_mixed_protein	0	AC:000223	E3UIU1	M2VTV2	M2XW22	T1RIQ1	M2VTV2	M2XW22	9kc5	1	11_24	0
SCF:0000311	dropped_mixed_protein	0	AC:000235	P0DOX5	Q8N5F4	Q6PIL8	Q6N030	G0YP42	Q8TCD0	6v8z	1	11_24	0
SCF:0000313	dropped_mixed_protein	0	AC:000235	Q8N5F4	P0DOX5	S6B291	G0YP42	Q6N030	Q6N030	6v8z	1	11_24	0
SCF:0000322	dropped_mixed_protein	0	AC:000243	O15446	P0DPB6	P61218	O15446	P0DPB6	A0A4X1VEK9	7oba	1	11_24	0
SCF:0000352	dropped_mixed_protein	0	AC:000272	Q03940	P31376	P53946	Q9Y265	P31376	P53946	9b1e	1	11_24	0
SCF:0000353	dropped_mixed_protein	0	AC:000272	Q03940	P31376	Q03388	Q9Y265	P31376	Q03388	9b1e	1	11_24	0
SCF:0000380	dropped_mixed_protein	0	AC:000288	P0DOX5	S6B291	P01857	Q6N030	Q6N030	P01867	5vj6	1	11_24	0
SCF:0000381	dropped_mixed_protein	0	AC:000288	P0DOX5	S6B291	Q6N089	Q6N030	Q6N030	Q6N030	5vj6	1	11_24	0
SCF:0000410	dropped_mixed_protein	0	AC:000313	Q85G47	M1UU36	Q85FP8	A0A4V8H005	M1UU36	Q85FP8	5zgb	1	11_24	0
SCF:0000464	dropped_mixed_protein	0	AC:000357	Q83D75	Q83E83	Q83AX9	A0A2V3DLV3	Q83E83	C3SRY2	9t0z	3	11_24	1
SCF:0000544	dropped_mixed_protein	0	AC:000439	A0A4V8GZZ3	A0A4V8GZZ8	A0A4V8H006	Q55329	I0YPL4	A5Z2K3	6igz	1	11_24	0
SCF:0000545	dropped_mixed_protein	0	AC:000443	A0A2K1JKF2	A0A2K1JLZ3	A0A2K1J0L9	A5Z2K3	A0A9R0J8B1	Q9SHE8	6l35	1	11_24	0
SCF:0000551	dropped_mixed_protein	0	AC:000451	A0QSP9	A0QS96	A0QSL5	A0QSP9	P21472	B7IA17	6dzk	20	11_24	1
SCF:0000612	dropped_mixed_protein	0	AC:000519	I0YPL4	I0Z284	I0YWK6	I0YPL4	A0A2P6TPU7	I0YWK6	9kqp	1	11_24	0
SCF:0000613	dropped_mixed_protein	0	AC:000519	I0Z284	I0YPL4	I0YP76	A0A2P6TPU7	I0YPL4	A0A4V8H004	9kqp	1	11_24	0
SCF:0000633	dropped_mixed_protein	0	AC:000536	P01857	S6B291	P0DOX5	P01867	Q6N030	Q6N030	5c7k	1	11_24	0
SCF:0000634	dropped_mixed_protein	0	AC:000536	P01857	S6B291	P01863	P01867	Q6N030	P01867	5c7k	1	11_24	0
SCF:0000635	dropped_mixed_protein	0	AC:000536	P01857	S6B291	P19909	P01867	Q6N030	P19909	5c7k	1	11_24	0
SCF:0000642	dropped_mixed_protein	0	AC:000542	P20226	P0DPB6	P61218	P20226	P0DPB6	A0A4X1VEK9	8iue	12	11_24	1
SCF:0000643	dropped_mixed_protein	0	AC:000542	P20226	P0DPB6	A0A4X1VEK9	P20226	P0DPB6	A0A4X1VEK9	8iue	12	11_24	1
SCF:0000652	dropped_mixed_protein	0	AC:000551	P62875	O15514	P61218	C4R009	Q9VEA5	A0A4X1VEK9	5iyd	20	11_24	1
SCF:0000707	dropped_mixed_protein	0	AC:000602	Q12509	P04912	P61830	Q12509	P0C0S5	P02299	8qku	2	11_24	1
SCF:0000715	dropped_mixed_protein	0	AC:000610	A0A2K1IAD0	A0A2K1J0L9	A9RT62	A8IL32	Q9SHE8	A9RT62	6l35	2	11_24	1
SCF:0000727	dropped_mixed_protein	0	AC:000616	A0A8D0JYF1	A0A4X1VM56	A0A4X1VEK9	A0A4X1TRS6	Q9VEA5	A0A4X1VEK9	8wat	4	11_24	1
SCF:0000728	dropped_mixed_protein	0	AC:000617	A0QS96	A0QS97	A0QSG1	P21472	P17291	P62399	6dzk	19	11_24	1
SCF:0000729	dropped_mixed_protein	0	AC:000617	A0QS97	A0QS96	A0QSP9	P17291	P21472	A0QSP9	6dzk	19	11_24	1
SCF:0000737	dropped_mixed_protein	0	AC:000624	Q9TM20	Q9TM46	Q9TM47	Q8DIP0	D0VWR7	D0VWR8	4yuu	1	11_24	0
SCF:0000738	dropped_mixed_protein	0	AC:000624	Q9TM20	Q9TM46	O19895	Q8DIP0	D0VWR7	P0A444	4yuu	1	11_24	0
SCF:0000744	dropped_mixed_protein	0	AC:000628	P04911	P31376	P53946	P0C0S5	P31376	P53946	9b1e	1	11_24	0
SCF:0000745	dropped_mixed_protein	0	AC:000628	P04911	P31376	Q03388	P0C0S5	P31376	Q03388	9b1e	1	11_24	0
SCF:0000746	dropped_mixed_protein	0	AC:000628	P04911	P31376	P53298	P0C0S5	P31376	P53298	9b1e	1	11_24	0
SCF:0000747	dropped_mixed_protein	0	AC:000628	P31376	P04911	P02299	P31376	P0C0S5	P02299	9b1e	1	11_24	0
SCF:0000753	dropped_mixed_protein	0	AC:000633	Q75VY6	A8IL32	Q93WL4	A0A4V8H000	A8IL32	A9RT62	6ijj	14	11_24	1
SCF:0000757	dropped_mixed_protein	0	AC:000634	P06899	P61218	P04908	O23629	A0A4X1VEK9	P0C0S5	8xrj	2	11_24	1
SCF:0000758	dropped_mixed_protein	0	AC:000634	P61218	P06899	O75575	A0A4X1VEK9	O23629	O75575	8xrj	2	11_24	1
SCF:0000786	dropped_mixed_protein	0	AC:000651	E3UIU1	M2Y652	M2XR49	T1RIQ1	M2VTV2	M2XR49	9kc5	1	11_24	0
SCF:0000787	dropped_mixed_protein	0	AC:000651	E3UIU1	M2Y652	M2XW22	T1RIQ1	M2VTV2	M2XW22	9kc5	1	11_24	0
SCF:0000788	dropped_mixed_protein	0	AC:000651	M2Y652	E3UIU1	E3UIU0	M2VTV2	T1RIQ1	A0T0M8	9kc5	1	11_24	0
SCF:0000811	dropped_mixed_protein	0	AC:000673	P36886	P13194	Q9S831	A0A4V8GZZ4	A0A1D6HY75	A0A1D6HY75	7ewk	3	11_24	1
SCF:0000812	dropped_mixed_protein	0	AC:000673	P36886	P13194	P36213	A0A4V8GZZ4	A0A1D6HY75	A5Z2K3	7ewk	3	11_24	1
SCF:0000838	dropped_mixed_protein	0	AC:000686	Q8MFA2	A0A2K1K0C7	A0A2K1J0L9	T1RIQ1	F2D0D5	Q9SHE8	6l35	2	11_24	1
SCF:0000880	dropped_mixed_protein	0	AC:000725	C4M979	C4LXN2	C4M8Y8	W5BFB7	A0A3Q7HSH1	C4M8Y8	9v27	6	11_24	1
SCF:0000885	dropped_mixed_protein	0	AC:000727	P0A7U3	P69222	P0A7R5	A0QSD5	Q5SHR1	P21471	9h9h	3	11_24	1
SCF:0000897	dropped_mixed_protein	0	AC:000738	A0A1J7CBX1	A0A1M5L8S8	A0A1M5L6R0	P80372	A0QSD5	A0A1M5L6R0	9zcd	8	11_24	1
SCF:0000899	dropped_mixed_protein	0	AC:000742	P13192	P36213	P13194	Q9SHE8	A5Z2K3	A0A1D6HY75	7ewk	3	11_24	1
SCF:0000901	dropped_mixed_protein	0	AC:000744	P62090	Q9S7N7	Q9SUI5	A0A4V8H005	B6U534	A0A4V8GZZ4	7wfd	8	11_24	1
SCF:0000912	dropped_mixed_protein	0	AC:000758	B6TXS5	O65101	A0A1D6HY75	B6TXS5	A0A2K1JDR4	A0A1D6HY75	5zji	1	11_24	0
SCF:0000922	dropped_mixed_protein	0	AC:000776	P06899	Q96GM5	Q8N884	O23629	Q96GM5	Q8N884	9rn1	4	11_24	1
SCF:0000923	dropped_mixed_protein	0	AC:000776	P06899	Q96GM5	Q12824	O23629	Q96GM5	Q12824	9rn1	4	11_24	1
SCF:0000924	dropped_mixed_protein	0	AC:000776	P06899	Q96GM5	Q9H9F9	O23629	Q96GM5	Q9H9F9	9rn1	4	11_24	1
SCF:0000926	dropped_mixed_protein	0	AC:000777	P04969	P21467	P21469	Q50296	Q839E7	P17291	8cdu	22	11_24	1
SCF:0000942	dropped_mixed_protein	0	AC:000789	P0A7T7	P0A707	P62399	A0A2V3DLV3	Q5SKU2	P62399	9ss1	7	11_24	1
SCF:0000945	dropped_mixed_protein	0	AC:000792	Q8N884	Q93079	P06899	Q8N884	O23629	O23629	8ol1	1	11_24	0
SCF:0000953	dropped_mixed_protein	0	AC:000795	P21464	P21469	P21467	A0QVB8	P17291	Q839E7	8cee	17	11_24	1
