triplet_id	split	internal_dev	ac_id	anchor	c	d	fam_a	fam_c	fam_d	pdb_id	pdb_count	stratum	replicated_noncontact
SCF:0000170	train_ineligible_unpermuted	0	AC:000146	A0A063XCP1	A0A063X781	A0A063XCH0	P0A0F8	A0A063X781	A0A063XCH0	9p4i	1	11_24	0
SCF:0000280	train_ineligible_unpermuted	0	AC:000220	Q5U4U4	Q7ZT47	Q7ZT48	Q5U4U4	Q7ZT47	Q7ZT48	8q6o	1	11_24	0
SCF:0000281	train_ineligible_unpermuted	0	AC:000220	Q7ZT47	Q5U4U4	P55862	Q7ZT47	Q5U4U4	Q9VGW6	8q6o	1	11_24	0
SCF:0000411	train_ineligible_unpermuted	0	AC:000316	P19431	A8HPD3	A8HPD0	T1RIQ1	A8HPD3	A8HPD0	9v7t	2	11_24	1
SCF:0000412	train_ineligible_unpermuted	0	AC:000316	P19431	A8HPD3	A8HPD7	T1RIQ1	A8HPD3	A8HPD0	9v7t	2	11_24	1
SCF:0000413	train_ineligible_unpermuted	0	AC:000316	P19431	A8HPD3	A8HPH1	T1RIQ1	A8HPD3	A8HPH1	9v7t	2	11_24	1
SCF:0000469	train_ineligible_unpermuted	0	AC:000371	C4LXM0	C4M5A0	C4M9F9	C4LXM0	C4M5A0	C4M9F9	9v27	5	11_24	1
SCF:0000506	train_ineligible_unpermuted	0	AC:000410	P68139	P02607	Q92352	P68134	P02607	Q92352	8syf	1	3_10	0
SCF:0000520	train_ineligible_unpermuted	0	AC:000426	I0YVS7	I0YWK6	I0Z284	A5Z2K3	I0YWK6	A0A2P6TPU7	9kqp	1	11_24	0
SCF:0000556	train_ineligible_unpermuted	0	AC:000458	C4R1V1	C4QXY9	C4R1E6	A0A4X1VEK9	C4QXY9	C4R1E6	8yfq	2	11_24	1
SCF:0000733	train_ineligible_unpermuted	0	AC:000619	A0A836CVU8	A0A6P3ED73	D4P8H6	A0A836CVU8	A0A6P3ED73	P62750	8bf9	1	11_24	0
SCF:0000950	train_ineligible_unpermuted	0	AC:000794	Q49QC8	Q49QE8	A4GDH1	P68610	Q49QE8	A4GDH1	7amv	1	11_24	0
SCF:0000951	train_ineligible_unpermuted	0	AC:000794	Q49QE8	Q49QC8	Q49PL6	Q49QE8	P68610	P04310	7amv	1	11_24	0
SCF:0000999	train_ineligible_unpermuted	0	AC:000827	P75560	P75131	Q50297	P75560	P75131	B7IA17	7ooc	32	11_24	1
