anchor	random_partner
A0A063XCP1	Q7Y0H2
A0A072ZPV8	P25106
A0A0G4FDJ8	Q93077
A0A0G4HFQ7	Q13323
A0A0M3KL10	P70371
A0A0M3KL13	Q86Y07
A0A1D5SLI4	A0A5S8WF90
A0A1D8NGI5	P28700
A0A1S3YEW3	Q9GZQ3
A0A241XG65	P61161
A0A287AEW0	Q96DB2
A0A2K1IAD0	Q9NQP4
A0A2K1J0L9	Q16548
A0A2K1JC42	Q06609
A0A2K1JDR4	C3SR12
A0A2K3DG79	Q96GE6
A0A3Q7G7F0	Q06124
A0A482JYH1	P48283
A0A4V8GZZ4	Q6IAW1
A0A4V8H004	P68106
A0A4X1TFI3	O15527
A0A5C2G4I7	O14746
A0A5C2GVU3	O95718
A0A5C6J4N7	Q9Y6Q9
A0A5S8WF79	P11142
A0A5S8WF89	A0QVB8
A0A8D2A9I1	P05121
A0A8W4F9W9	O60880
A0ACD6B9N1	Q3SYX9
A0QSG2	Q9UK05
A0R550	A0A2K1JC42
A0T0V0	P0AFW0
A1B4F2	P01738
A2P1G9	Q15306
A5YKK6	Q58FF6
A6QRA1	Q15942
A8IH07	P60842
A8IJY7	P07823
A8IL32	P51693
A8IY95	P33681
A8J3C3	Q13148
A9WEV6	P61982
B3H6Z4	Q13185
B7U179	A8IJ60
B8BRQ8	Q5S006
B8C770	Q9BCZ4
B8LEV1	P61221
C3SR52	P30530
D0CD01	P13073
D0CD06	Q07440
E1C9K6	O60885
E1C9L0	F1N4X0
E1C9L1	P30260
E2RXT8	P43004
E3UIU0	Q96KK5
E3UIU9	Q9NXA8
E9NPW6	O14021
E9NPX1	P35232
F2DAN8	B8BUW3
G0RZG4	A2AGH6
G0S9A0	O43516
G0SC21	O15212
G0SE33	Q00342
G0SH09	Q9NPH3
I0YPL4	O14793
I0YQ44	O15212
I0YQ45	A0A4V8GZZ2
I0Z687	A0A3B6PK86
I7M8B9	P36544
O00170	Q9WV08
O00206	P43699
O00255	P19878
O00401	P16035
O00459	P21796
O02002	Q9UPQ9
O08538	P0DP29
O14352	A0A287BAW0
O14543	E2RXT8
O14558	Q07954
O14640	Q13418
O14733	Q13485
O14745	P50613
O14746	P08620
O14931	Q99640
O14965	F2Z4C9
O14974	Q9JJS8
O15117	D2IYK1
O15169	Q9SY97
O15212	Q9H8M2
O15294	Q60598
O15524	G5E899
O15527	A0A3Q7G7F0
O22476	Q9ERR1
O31743	P36507
O35179	Q9UPY5
O35625	P50990
O42978	P42684
O43353	Q92966
O43516	Q96KS0
O43521	Q9BSM1
O43561	P68400
O43684	P55284
O43791	K4G2D7
O54918	P18089
O60238	Q9PU13
O60260	P01887
O60603	P38936
O60674	P20339
O60749	Q9UIM3
O60880	A0A2R4KP93
O60885	Q15910
O60894	Q9TM21
O65101	P14873
O74483	Q9LTJ6
O75376	P08913
O75460	S6C4S0
O75496	Q9LMA8
O75563	P26883
O75581	Q13185
O88351	Q48UF7
O89100	P28223
O94355	Q9WUD9
O94742	P45956
O94776	Q5M824
O95259	P01009
O95352	Q6IP71
O95817	P60520
O95835	P08709
O95931	Q99731
P00533	F1MSX6
P00734	Q9BPX5
P00747	P49765
P01009	P09874
P01019	P27361
P01024	P06897
P01106	Q96CV9
P01112	P17948
P01116	A1B4F2
P01137	P98170
P01308	Q07912
P01584	F2DAN8
P01730	P16581
P01857	P07204
P01887	P40616
P01889	Q9WTU3
P02309	P05310
P02649	Q13131
P02730	Q12464
P02749	Q06265
P02751	Q01043
P02768	Q9UQB8
P02787	A0A9X9IKM4
P03372	P35226
P04003	Q9CXM0
P04004	Q43485
P04049	Q9BXA6
P04150	O43521
P04214	Q8A0S2
P04406	Q9SGH4
P04439	Q9HC29
P04626	Q13526
P04637	P13165
P04921	A0A3Q7FNQ5
P05019	Q14766
P05067	O43353
P05106	Q13873
P05112	Q99497
P05121	P49768
P05311	Q8MKI8
P05362	O15524
P05556	Q13526
P06213	O65101
P06269	A0A482JYH1
P06280	P10415
P06730	O00459
P06858	P12754
P07204	P40616
P07550	P49597
P07703	P29460
P07839	P05310
P07858	O50245
P07900	A2P1G9
P08069	O02002
P08134	P52891
P08195	Q08722
P08581	P41220
P08603	O50245
P08631	Q9Y5C1
P08670	F2D0D5
P09038	O14807
P09382	Q0IIM2
P09693	P71814
P09874	Q96524
P09911	P42681
P0A7W7	Q13557
P0A7Z4	O75575
P0A800	O43561
P0A8T7	A0A2K1JDR4
P0A8V2	Q14766
P0ACI0	P98170
P0AFF0	Q50755
P0AFF6	P09104
P0CT46	P24311
P0DOX5	Q9Y2K7
P0DP23	Q14765
P0DTC2	P11802
P10145	O60260
P10176	P62807
P10276	P04591
P10321	Q01321
P10415	P62875
P10417	Q13563
P10599	A0A2K1IAD0
P10636	A0A9X9IKM4
P10721	Q92731
P10793	P38632
P11142	P01837
P11226	Q57XL7
P11362	Q8IWJ2
P11717	Q6FI13
P11831	P01660
P11940	P43405
P12003	Q96PY5
P12004	P10288
P12357	P13497
P12931	P87108
P13073	P0A8T7
P13165	Q92570
P13501	P06756
P13688	P04150
P13726	P26992
P13987	Q8NG31
P14210	P0A7X3
P14618	P27782
P14635	P62010
P14778	P09874
P14873	Q9WV32
P15018	A0A3G1AUL2
P15056	P63146
P15172	Q5SJH3
P15311	P08069
P15529	Q13951
P15692	Q9WTU3
P16284	Q9NVH2
P16371	P19878
P16471	A0A8D2A9I1
P16858	Q07813
P17227	Q94AH6
P17275	Q8IZQ8
P17813	Q92731
P18031	Q9NWQ8
P18263	Q13794
P18384	O14640
P18526	Q04206
P18887	O15123
P19658	P12644
P19793	P78324
P19838	O75569
P19878	Q07666
P20248	Q86W24
P20339	P35250
P20701	P12023
P20936	Q15797
P20998	Q00526
P21187	Q13557
P21554	Q96AV8
P21708	Q04207
P21796	O75581
P22087	A4VE64
P22455	Q01705
P22681	P49137
P23771	A0A0G4HFQ7
P24394	P01750
P24482	Q13555
P24863	P00488
P24941	P05067
P25054	Q91ZX7
P25106	P51149
P25342	Q9BQE4
P25445	Q8IZD4
P25685	P42679
P25942	Q9HAW0
P25963	Q07657
P26022	P62875
P26288	P27512
P26358	O14965
P26441	P19438
P27487	F2Z4C9
P27521	P98170
P27918	O89100
P27986	P01116
P28159	Q15311
P28632	Q14669
P28799	Q62986
P29317	P51587
P29353	P63041
P29475	P26288
P29590	P07204
P30101	F1M9D6
P30260	O08538
P30530	P14210
P30561	Q62386
P31016	Q9Y6W8
P31376	Q38997
P31749	P27782
P31948	P20435
P32481	Q9Y2K7
P32830	O00459
P32844	Q712K3
P33332	Q96EP0
P33448	Q9UDY2
P33992	P25106
P33993	Q5TA45
P34900	A1Z8I0
P34998	P56766
P35222	F8VQ72
P35251	Q48UF7
P35590	P53355
P35637	Q9UPY5
P35918	P24408
P35968	Q9UJY5
P36040	O60749
P36886	P56658
P37840	Q32L40
P38203	E3UIU1
P38919	P21279
P38936	Q07913
P39075	P49137
P39429	P84022
P39447	O75293
P39744	Q15788
P40070	P26288
P40189	Q9QUR7
P40200	O60885
P40208	P01865
P40238	P62999
P40337	P40200
P40359	Q86Y07
P40422	Q9NQP4
P40763	P10686
P41002	P01865
P41143	Q9TM23
P41220	Q6N095
P41240	Q3ZBH0
P41806	P21728
P42224	G0S3J8
P42574	A0A0F6NFW5
P42768	Q6UUV7
P42771	P52294
P42858	Q6ZW49
P43254	Q8N2S1
P43403	A0A063X781
P43628	O95817
P43629	O43791
P43632	Q01705
P43699	P04406
P45984	Q8NB78
P46108	P01730
P46527	A9WEV4
P46937	P09341
P46940	P01660
P47017	P05311
P47093	Q9SY97
P48552	F1MSX6
P48643	P49597
P48736	P26288
P49005	P62826
P49137	Q12834
P49366	Q7LBR1
P49407	Q9H9Q2
P49597	Q13576
P49763	P32830
P49764	Q00403
P49767	P06269
P49768	O14021
P49769	P63092
P49841	P26441
P49960	P18507
P50281	Q9UKV0
P50549	O60573
P50570	P00750
P50591	P15153
P50616	P9WGZ1
P51114	Q39615
P51532	P39429
P51572	Q9DBG3
P51587	Q9FL28
P51610	Q01043
P51677	Q9DBG3
P51812	P48643
P52292	P43034
P52564	Q96B97
P52565	P18089
P52630	A0A5S8WF91
P52631	Q06609
P52948	Q9C639
P53011	Q96KS0
P53041	Q62406
P53073	Q14790
P53197	P02829
P53355	P61158
P53396	P25025
P53840	A0A4X1TFI3
P53905	P10288
P54784	O88602
P55957	Q9NQP4
P56704	P29469
P56766	A7MB62
P56945	Q06265
P59768	O14763
P60238	P41143
P60484	P46196
P60842	Q9M1J2
P60880	O75970
P60896	P84022
P60953	P40227
P61024	Q8DIN9
P61073	P24063
P61157	Q8IVW4
P61158	P29317
P61221	Q9UNP9
P61586	Q13185
P61769	P61221
P62010	A0A063X781
P62136	P52565
P62805	Q9UJX5
P62875	P56704
P62877	O14746
P62913	A0A1S4CIZ9
P62937	Q06245
P62987	Q86UT5
P62993	P28700
P63000	O14746
P63096	P21708
P63244	O88522
P67870	O54918
P68135	Q99638
P70039	A9WEV7
P70444	P33992
P78406	P98164
P80377	P53073
P80883	P21187
P84077	P08913
P87310	P23993
P92276	Q8CFN2
P92558	P70039
P97953	Q980R1
P98172	P62987
P9WGY5	P13192
P9WGZ1	Q8R4L0
P9WPS1	Q3UJU9
Q00534	P60896
Q00609	P41002
Q00731	Q8DIN9
Q00959	Q8WWW0
Q00987	O95718
Q01082	P28631
Q01321	Q9PVK1
Q01667	P22748
Q01853	O75376
Q01968	P25342
Q02156	Q96CV9
Q02248	Q9Y2K7
Q02297	O60749
Q02750	P27487
Q03135	P68135
Q03164	Q13636
Q03181	Q5FWN0
Q03405	P16104
Q04637	P49682
Q04771	P53671
Q04864	P35232
Q05397	Q14653
Q05541	P53778
Q06124	Q63472
Q06187	O14974
Q06265	P36544
Q07157	Q96CA5
Q07657	Q63754
Q07812	Q60943
Q07817	P63010
Q07820	Q96J02
Q07912	Q8WYR1
Q07913	P0DOX7
Q08162	P41002
Q08722	O15123
Q08749	Q8IZD4
Q08881	P01040
Q08999	Q861F7
Q09472	Q86VX2
Q0IIM2	Q8N2S1
Q12464	Q14669
Q12509	A0A2K1JLZ3
Q12824	P41143
Q12888	P51812
Q12933	P61769
Q13077	Q13618
Q13094	Q9Z261
Q13098	P0A6Y1
Q13153	Q9UQE7
Q13241	Q15796
Q13263	Q39193
Q13309	P63096
Q13323	P60880
Q13485	Q6PIL8
Q13501	O35082
Q13541	P35590
Q13546	O43353
Q13555	Q05923
Q13563	P18418
Q13569	Q9UP38
Q13576	P12277
Q13596	Q01321
Q13616	P20339
Q13618	Q04207
Q13705	P11152
Q13794	P63165
Q13873	Q9UFF9
Q13905	Q8NHM5
Q13951	Q12983
Q14145	Q99104
Q14164	P25942
Q14242	Q1JP79
Q14669	Q9UKG1
Q14790	Q12888
Q14896	Q9BQI3
Q14943	P42227
Q14BN4	O75970
Q15078	P26022
Q15116	M2Y652
Q15185	A0A5C6J4N7
Q15311	Q9BYT3
Q15369	A0A2R4KP93
Q15370	Q32PE0
Q15389	P30101
Q15418	Q3UJU9
Q15596	O93352
Q15628	A0A1D8NGI5
Q15762	P20029
Q15788	Q9Z0Y9
Q15796	O95257
Q15831	Q06187
Q15843	P49682
Q15942	P38203
Q16254	O00187
Q16531	P10415
Q16539	Q9JM54
Q16543	Q13526
Q16581	Q13794
Q16611	P62937
Q16665	P31785
Q16667	P61981
Q1JP79	Q944A6
Q22MV2	Q01650
Q22R86	Q46896
Q23RH8	A0A8D2A9I1
Q24CE5	P51610
Q2FME3	P49427
Q2FW30	P17275
Q30201	P06213
Q32904	P04637
Q32L40	Q9H444
Q32P73	Q15185
Q38876	P12357
Q389F5	P37870
Q39615	D2IYK1
Q3E7C1	O00401
Q3E830	P0C6X7
Q3UJU9	P0A7X3
Q3ZBH0	Q83ER2
Q41038	Q9JI12
Q46896	P10415
Q495A1	Q15418
Q50297	A0A482JYH1
Q54VN6	Q9VA95
Q5RKV6	Q22XT1
Q5S007	P35968
Q5T2W1	O15514
Q5T9L3	E3UIU9
Q60770	Q75VY7
