triplet_id	split	internal_dev	ac_id	anchor	c	d	fam_a	fam_c	fam_d	pdb_id	pdb_count	stratum	replicated_noncontact
SCF:0000003	family_unseen	0	AC:000004	Q980U8	Q97Z84	P57766	Q980U8	Q97Z84	P57766	2izo	1	3_10	0
SCF:0000032	family_unseen	0	AC:000028	Q24I09	W7XBF5	Q23S01	Q24I09	W7XBF5	Q23S01	8b6g	4	11_24	1
SCF:0000042	family_unseen	0	AC:000038	B6A879	B6A880	B6A878	B6A879	B6A880	B6A878	9cbc	2	11_24	1
SCF:0000062	family_unseen	0	AC:000051	P49005	P39748	Q15054	P49005	P39748	Q15054	6tnz	1	3_10	0
SCF:0000063	family_unseen	0	AC:000052	Q13426	Q9NP87	Q9UGP5	Q13426	Q9NP87	Q9UGP5	9n81	2	11_24	1
SCF:0000064	family_unseen	0	AC:000052	Q13426	Q9NP87	Q8IW19	Q13426	Q9NP87	Q8IW19	9n81	2	11_24	1
SCF:0000066	family_unseen	0	AC:000054	O43402	Q9NPA0	Q9P0I2	O43402	Q9NPA0	Q9P0I2	8j0o	8	3_10	1
SCF:0000073	family_unseen	0	AC:000058	O14810	P60880	P32851	P63041	P60880	P32851	3rl0	2	3_10	1
SCF:0000074	family_unseen	0	AC:000058	P60880	O14810	P63041	P60880	P63041	P63041	3rl0	2	3_10	1
SCF:0000079	family_unseen	0	AC:000070	Q9UKF6	Q969L4	P62318	Q9UKF6	Q969L4	P62318	6v4x	4	3_10	1
SCF:0000080	family_unseen	0	AC:000070	Q9UKF6	Q969L4	P62308	Q9UKF6	Q969L4	P62308	6v4x	4	3_10	1
SCF:0000095	family_unseen	0	AC:000087	P20339	Q9P2Y5	Q15276	P20339	Q9P2Y5	Q15276	7bl1	1	3_10	0
SCF:0000118	family_unseen	0	AC:000111	D8V7I7	D7NIZ2	K0J903	D8V7I7	D7NIZ2	K0J903	6rdf	3	11_24	1
SCF:0000123	family_unseen	0	AC:000116	A0A125YU99	A0A125YS93	A0A125YTU2	S7VSS5	S7W617	S7W9J5	9g9t	1	11_24	0
SCF:0000126	family_unseen	0	AC:000119	P25515	P38784	P22203	P25515	P38784	P22203	8eas	2	11_24	1
SCF:0000130	family_unseen	0	AC:000121	Q9VLI9	Q9VUZ1	Q9VA95	Q9VLI9	Q9VUZ1	Q9VA95	7b6d	4	3_10	1
SCF:0000155	family_unseen	0	AC:000136	P39933	Q12308	P32367	P39933	Q12308	P32367	8ffz	1	3_10	0
SCF:0000165	family_unseen	0	AC:000144	Q12330	Q08920	Q07930	Q12330	Q08920	Q07930	6n7p	1	11_24	0
SCF:0000166	family_unseen	0	AC:000144	Q12330	Q08920	P40018	Q12330	Q08920	P40018	6n7p	1	11_24	0
SCF:0000167	family_unseen	0	AC:000144	Q12330	Q08920	P53277	Q12330	Q08920	P53277	6n7p	1	11_24	0
SCF:0000187	family_unseen	0	AC:000162	F2R0J7	F2QT90	F2QVA2	F2R0J7	F2QT90	F2QVA2	8ucj	1	11_24	0
SCF:0000188	family_unseen	0	AC:000163	A0A125YN38	S7W9J5	S7W617	S8GED8	S7W9J5	S7W617	9i4x	1	11_24	0
SCF:0000189	family_unseen	0	AC:000163	S7W9J5	A0A125YN38	S7W617	S7W9J5	S8GED8	S7W617	9i4x	1	11_24	0
SCF:0000198	family_unseen	0	AC:000170	Q2EN79	P24964	A0A286SF60	Q2EN79	P24964	P24964	8iog	1	11_24	0
SCF:0000204	family_unseen	0	AC:000174	P07471	P07470	P00429	P07471	P07470	P14854	5zco	91	11_24	1
SCF:0000205	family_unseen	0	AC:000174	P07471	P07470	P13183	P07471	P07470	P24311	5zco	91	11_24	1
SCF:0000218	family_unseen	0	AC:000182	A8J4K5	A8IKI9	A8J5P7	A8J4K5	A8IKI9	A8J5P7	9f5z	2	11_24	1
SCF:0000223	family_unseen	0	AC:000185	P40540	P39543	P47133	P40540	P39543	P47133	7kra	3	11_24	1
SCF:0000246	family_unseen	0	AC:000199	D7P6B9	K0J903	D7NIZ2	D7P6B9	K0J903	D7NIZ2	6rda	3	11_24	1
SCF:0000247	family_unseen	0	AC:000199	D7P6B9	K0J903	D8V7I1	D7P6B9	K0J903	D8V7I1	6rda	3	11_24	1
SCF:0000253	family_unseen	0	AC:000201	P0AB98	P0ABA4	P0ABA0	P0AB98	P0ABA4	P0ABA0	5t4q	3	11_24	1
SCF:0000259	family_unseen	0	AC:000204	P41806	P23968	P25515	P41806	P23968	P25515	8eau	1	11_24	0
SCF:0000297	family_unseen	0	AC:000228	P40937	Q99638	P12004	P40937	Q99638	P12004	7z6h	1	3_10	0
SCF:0000298	family_unseen	0	AC:000228	Q99638	P40937	P35250	Q99638	P40937	P35250	7z6h	1	3_10	0
SCF:0000321	family_unseen	0	AC:000240	P38291	Q12530	P28005	P38291	Q12530	P28005	7c7a	2	11_24	1
SCF:0000348	family_unseen	0	AC:000267	Q05541	P38632	Q07913	Q05541	P38632	Q07913	7qcd	2	3_10	1
SCF:0000365	family_unseen	0	AC:000283	Q14181	Q9H668	P49643	Q14181	Q9H668	P49643	8d0k	3	3_10	1
SCF:0000371	family_unseen	0	AC:000285	A0A2K9VK88	A0A2K9VK98	A0A2K9VK93	A0A2K9VK88	A0A2K9VK98	A0A2K9VK93	9c39	1	11_24	0
SCF:0000375	family_unseen	0	AC:000287	Q75VY4	Q75VZ0	Q75VY8	Q84Y02	Q75VY8	Q75VY8	8h2u	2	11_24	1
SCF:0000376	family_unseen	0	AC:000287	Q75VY4	Q75VZ0	Q75VY7	Q84Y02	Q75VY8	Q84Y02	8h2u	2	11_24	1
SCF:0000377	family_unseen	0	AC:000287	Q75VZ0	Q75VY4	Q75VY7	Q75VY8	Q84Y02	Q84Y02	8h2u	2	11_24	1
SCF:0000379	family_unseen	0	AC:000287	Q75VZ0	Q75VY4	Q05093	Q75VY8	Q84Y02	Q7DM26	8h2u	2	11_24	1
SCF:0000386	family_unseen	0	AC:000295	Q96RY7	Q9P2L0	Q8NEZ3	Q96RY7	Q9P2L0	Q8NEZ3	8bbg	3	3_10	1
SCF:0000387	family_unseen	0	AC:000295	Q9P2L0	Q96RY7	Q8NEZ3	Q9P2L0	Q96RY7	Q8NEZ3	8bbg	3	3_10	1
SCF:0000388	family_unseen	0	AC:000296	Q8U104	Q8U0Z8	Q8U0Z7	Q8U104	Q8U0Z8	Q8U0Z7	6cfw	1	11_24	0
SCF:0000397	family_unseen	0	AC:000302	A8J7I9	A8IKI9	A8J5P7	A8J7I9	A8IKI9	A8J5P7	9f5z	2	11_24	1
SCF:0000401	family_unseen	0	AC:000307	Q7RTV0	O43143	O60231	Q7RTV0	O43143	O60231	9ze3	2	11_24	1
SCF:0000402	family_unseen	0	AC:000307	Q7RTV0	O43143	O43290	Q7RTV0	O43143	O43290	9ze3	2	11_24	1
SCF:0000403	family_unseen	0	AC:000307	Q7RTV0	O43143	Q13435	Q7RTV0	O43143	Q13435	9ze3	2	11_24	1
SCF:0000421	family_unseen	0	AC:000325	P13183	Q01321	P62894	P24311	O00483	P62894	9w2z	1	11_24	0
SCF:0000434	family_unseen	0	AC:000333	Q6ZED5	Q6ZED1	Q6ZED3	Q6ZED5	Q6ZED1	Q6ZED3	8s9u	4	3_10	1
SCF:0000435	family_unseen	0	AC:000334	Q9BWJ5	O43143	O60231	Q9BWJ5	O43143	O60231	9ze3	2	11_24	1
SCF:0000436	family_unseen	0	AC:000334	Q9BWJ5	O43143	O15042	Q9BWJ5	O43143	O15042	9ze3	2	11_24	1
SCF:0000437	family_unseen	0	AC:000334	Q9BWJ5	O43143	Q9HCG8	Q9BWJ5	O43143	Q9HCG8	9ze3	2	11_24	1
SCF:0000468	family_unseen	0	AC:000366	P9WPV7	P9WPU7	P9WPV3	P9WPV7	P9WPU7	P9WPV3	8j0t	2	11_24	1
SCF:0000475	family_unseen	0	AC:000381	A0A125YTU2	S8GED8	A0A125YS93	S7W9J5	S8GED8	S7W617	9g9t	1	11_24	0
SCF:0000476	family_unseen	0	AC:000381	S8GED8	A0A125YTU2	A0A125YS93	S8GED8	S7W9J5	S7W617	9g9t	1	11_24	0
SCF:0000482	family_unseen	0	AC:000385	Q8IRE3	Q9VSY8	Q9VF82	Q8IRE3	Q9VSY8	Q9VF82	7b70	2	3_10	1
SCF:0000483	family_unseen	0	AC:000387	A0A125YZ21	S8GED8	A0A125YS93	S7UVH4	S8GED8	S7W617	9g9t	1	11_24	0
SCF:0000518	family_unseen	0	AC:000424	A0A1S3TUX2	A0A1S3UMA0	A0A1S3U1E4	A0A1S3TUX2	A0A1S3UMA0	A0A1S3U1E4	7jro	2	3_10	1
SCF:0000546	family_unseen	0	AC:000444	Q5JE34	Q5JI52	Q5JE88	B8YB54	Q5JI52	Q5JE88	6kf3	6	11_24	1
SCF:0000552	family_unseen	0	AC:000453	P52891	P53011	Q04491	P52891	P53011	Q04491	8tie	4	11_24	1
SCF:0000553	family_unseen	0	AC:000453	P53011	P52891	P46673	P53011	P52891	P46673	8tie	4	11_24	1
SCF:0000560	family_unseen	0	AC:000462	P00175	P33448	P80967	P00175	P33448	P80967	8hco	1	11_24	0
SCF:0000570	family_unseen	0	AC:000470	Q99871	Q96CS2	Q9NVX0	Q99871	Q96CS2	Q9NVX0	7sqk	1	3_10	0
SCF:0000571	family_unseen	0	AC:000475	Q980L5	Q980B8	Q7LXK4	Q980L5	Q980B8	Q7LXK4	3hkz	1	11_24	0
SCF:0000574	family_unseen	0	AC:000479	A0A5S8WF79	A0A5S8WF81	A0A5S8WF90	A0A5S8WF89	A0A5S8WF91	A0A5S8WF91	6pif	1	3_10	0
SCF:0000581	family_unseen	0	AC:000482	A0A0G4FDJ8	A0A0G4HMN0	A0A0G4FL36	A0A0G4FDJ8	A0A0G4HMN0	A0A0G4FL36	9hyu	1	11_24	0
SCF:0000582	family_unseen	0	AC:000482	A0A0G4FDJ8	A0A0G4HMN0	A0A0G4I0G6	A0A0G4FDJ8	A0A0G4HMN0	A0A0G4I0G6	9hyu	1	11_24	0
SCF:0000583	family_unseen	0	AC:000482	A0A0G4FDJ8	A0A0G4HMN0	A0A0G4HNB1	A0A0G4FDJ8	A0A0G4HMN0	A0A0G4HNB1	9hyu	1	11_24	0
SCF:0000584	family_unseen	0	AC:000485	P32830	P33421	Q08749	P32830	P33421	Q08749	6lo8	1	3_10	0
SCF:0000588	family_unseen	0	AC:000491	A1BA41	A1B4F3	A1B3D7	A1BA41	A1B4F3	A1B3D7	9fks	4	11_24	1
SCF:0000598	family_unseen	0	AC:000500	F2QZ97	F2QVA2	F2QT90	F2QZ97	F2QVA2	F2QT90	8ucj	1	11_24	0
SCF:0000626	family_unseen	0	AC:000532	B8YB57	B8YB60	B8YB58	B8YB57	B8YB60	Q7LXK4	4ayb	5	11_24	1
SCF:0000639	family_unseen	0	AC:000541	Q57ZX7	Q585T1	Q381A0	Q57ZX7	Q585T1	Q381A0	8fni	2	3_10	1
SCF:0000640	family_unseen	0	AC:000541	Q585T1	Q57ZX7	Q389W4	Q585T1	Q57ZX7	Q389W4	8fni	2	3_10	1
SCF:0000644	family_unseen	0	AC:000544	O94707	Q9UTB6	O94355	O94707	Q9UTB6	O94355	8i03	1	11_24	0
SCF:0000657	family_unseen	0	AC:000558	O87799	O87802	O87798	Q6IV65	Q6IV62	Q6IV66	2rdb	6	3_10	1
SCF:0000679	family_unseen	0	AC:000581	P25342	P32468	P32457	P25342	P32468	P32457	8pfh	2	3_10	1
SCF:0000680	family_unseen	0	AC:000581	P32468	P25342	P32457	P32468	P25342	P32457	8pfh	2	3_10	1
SCF:0000681	family_unseen	0	AC:000581	P32468	P25342	Q07657	P32468	P25342	Q07657	8pfh	2	3_10	1
SCF:0000682	family_unseen	0	AC:000582	P68623	P07611	P16710	P68623	P07611	P16710	9uzo	2	11_24	1
SCF:0000684	family_unseen	0	AC:000587	A0A125YG13	S8GCU6	S8ETI9	A0A125YG13	S8GCU6	S8ETI9	9fi8	2	11_24	1
SCF:0000685	family_unseen	0	AC:000587	S8GCU6	A0A125YG13	S8ERU3	S8GCU6	A0A125YG13	S8ERU3	9fi8	2	11_24	1
SCF:0000695	family_unseen	0	AC:000595	D9PY02	Q50755	D9PY03	D9PY02	Q50755	D9PY03	8rvv	3	11_24	1
SCF:0000696	family_unseen	0	AC:000595	D9PY02	Q50755	D9PY04	D9PY02	Q50755	D9PY04	8rvv	3	11_24	1
SCF:0000697	family_unseen	0	AC:000596	A0A2K9VKE4	A0A2K9VK93	A0A2K9VK89	A0A2K9VKE4	A0A2K9VK93	A0A2K9VK89	9c39	1	11_24	0
SCF:0000698	family_unseen	0	AC:000596	A0A2K9VKE4	A0A2K9VK93	A0A2K9VK98	A0A2K9VKE4	A0A2K9VK93	A0A2K9VK98	9c39	1	11_24	0
SCF:0000701	family_unseen	0	AC:000598	Q9Y6J9	F2Z2U4	Q9Y4A5	Q9Y6J9	F2Z2U4	F2Z2U4	7kts	1	11_24	0
SCF:0000705	family_unseen	0	AC:000600	Q12025	P47133	P39543	Q12025	P47133	P39543	6wb9	3	3_10	1
SCF:0000716	family_unseen	0	AC:000611	P39682	P40018	Q02260	P39682	P40018	Q02260	7oqc	8	11_24	1
SCF:0000717	family_unseen	0	AC:000611	P40018	P39682	Q04048	P40018	P39682	Q04048	7oqc	8	11_24	1
SCF:0000718	family_unseen	0	AC:000611	P40018	P39682	P53207	P40018	P39682	P53207	7oqc	8	11_24	1
SCF:0000736	family_unseen	0	AC:000623	B6YWB9	B6YWC1	B6YWC2	B6YWB9	B6YWC1	B6YWC2	6mus	8	3_10	1
SCF:0000740	family_unseen	0	AC:000626	Q248F8	Q24I09	W7X4J9	Q248F8	Q24I09	W7X4J9	8b6g	4	11_24	1
SCF:0000741	family_unseen	0	AC:000626	Q248F8	Q24I09	I7MIE0	Q248F8	Q24I09	I7MIE0	8b6g	4	11_24	1
SCF:0000742	family_unseen	0	AC:000626	Q248F8	Q24I09	I7MEX7	Q248F8	Q24I09	I7MEX7	8b6g	4	11_24	1
