triplet_id	ac_id	in_pilot48	positive_source	seqid_CD_bin	family_split	af3_iptm_ad	af3_iptm_ac	esm_score_ad	esm_score_ac	esm_pae_ad	esm_pae_ac	esm_contacts_ad	esm_contacts_ac	esm_plddt_ad	esm_plddt_ac	hit_af3_iptm	hit_esm_pae	hit_esm_contacts
SCF:0000017	AC:000014	0	same_assembly_bridge	40_50	dropped_mixed_protein	0.67	0.55	-30.642052656390995	-30.5135136766036	30.642052656390995	30.5135136766036	2300.0	2556.0	7.0410410932061085	6.967015841404972	1.0	0.0	0.0
SCF:0000020	AC:000018	0	PDB_exact_pair_aggregate	ge50	dropped_mixed_protein	0.04	0.04	-27.862690500995306	-27.862690500995306	27.862690500995306	27.862690500995306	57.0	57.0	12.376260133287564	12.376260133287564	0.5	0.5	0.5
SCF:0000024	AC:000019	0	PDB_exact_pair_aggregate	20_30	train_eligible	0.11	0.14	-30.08467481901506	-30.214292136833244	30.08467481901506	30.214292136833244	1523.0	1150.0	11.381908591288513	11.64093529852545	0.0	1.0	1.0
SCF:0000028	AC:000024	0	PDB_exact_pair_aggregate	30_40	train_eligible	0.07	0.08	-29.333496068488717	-29.534078243348006	29.333496068488717	29.534078243348006	87.0	47.0	13.179891725499699	12.996975158906068	0.0	1.0	1.0
SCF:0000032	AC:000028	0	PDB_exact_pair_aggregate	20_30	family_unseen	0.47	0.1	-22.47858025269565	-24.468222059452472	22.47858025269565	24.468222059452472	24.0	210.0	11.678146992189564	11.598190028704359	1.0	1.0	0.0
SCF:0000038	AC:000034	0	PDB_exact_pair_aggregate	30_40	dropped_pdb_overlap	0.78	0.06	-24.604145583174983	-28.27050788703109	24.604145583174983	28.27050788703109	0.0	49.0	14.404996396067578	14.363612638796171	1.0	1.0	0.0
SCF:0000053	AC:000046	0	same_assembly_bridge	30_40	train_eligible	0.84	0.19	-28.497083760080415	-22.81640410301415	28.497083760080415	22.81640410301415	0.0	1.0	13.477125141429037	14.317438902174365	1.0	0.0	0.0
SCF:0000055	AC:000048	0	PDB_exact_pair_aggregate	30_40	train_eligible	0.06	0.06	-27.17649585337655	-24.213713601867806	27.17649585337655	24.213713601867806	0.0	0.0	13.643622610204583	14.520924564363405	0.5	0.0	0.5
SCF:0000058	AC:000050	0	same_assembly_bridge	30_40	train_eligible	0.09	0.03	-23.54503371206562	-26.355567473584735	23.54503371206562	26.355567473584735	0.0	1.0	14.498154963477255	13.527602242982116	1.0	1.0	0.0
SCF:0000063	AC:000052	0	PDB_exact_pair_aggregate	30_40	family_unseen	0.13	0.21	-29.745082821520217	-29.32689321010081	29.745082821520217	29.32689321010081	209.0	205.0	12.447842920321769	13.133564996160992	0.0	0.0	1.0
SCF:0000066	AC:000054	0	same_assembly_bridge	20_30	family_unseen	0.11	0.31	-27.915540611706952	-23.304608912770085	27.915540611706952	23.304608912770085	89.0	23.0	11.791688766066374	12.90977823535857	0.0	0.0	1.0
SCF:0000067	AC:000055	0	PDB_exact_pair_aggregate	40_50	dropped_mixed_family	0.29	0.27	-29.905452515836252	-29.789346781870314	29.905452515836252	29.789346781870314	2953.0	4426.0	6.665287068460776	7.229528176182306	1.0	0.0	0.0
SCF:0000081	AC:000074	1	PDB_exact_pair_aggregate	30_40	train_eligible	0.68	0.39	-15.978157988134651	-26.495117956112058	15.978157988134651	26.495117956112058	12.0	387.0	12.736172196113996	12.383297362362617	1.0	1.0	0.0
SCF:0000100	AC:000091	0	PDB_exact_pair_aggregate	30_40	train_eligible	0.66	0.16	-27.642445730265084	-25.762775376313662	27.642445730265084	25.762775376313662	604.0	208.0	12.994380851260722	12.314573740203421	1.0	0.0	1.0
SCF:0000109	AC:000099	0	PDB_exact_pair_aggregate	20_30	dropped_mixed_protein	0.5	0.1	-12.274983392123216	-29.01635565103478	12.274983392123216	29.01635565103478	97.0	22.0	13.3754475017294	11.454506226570098	1.0	1.0	1.0
SCF:0000114	AC:000107	0	PDB_exact_pair_aggregate	40_50	train_eligible	0.15	0.23	-27.028029831001042	-27.03907676975817	27.028029831001042	27.03907676975817	293.0	14.0	11.878507789380183	12.34837944950599	0.0	1.0	1.0
SCF:0000145	AC:000129	1	PDB_exact_pair_aggregate	40_50	train_eligible	0.06	0.07	-30.491876804052307	-30.237265449782033	30.491876804052307	30.237265449782033	0.0	12.0	12.311653679125769	12.367402642296806	0.0	0.0	0.0
SCF:0000153	AC:000133	0	PDB_exact_pair_aggregate	20_30	train_eligible	0.29	0.17	-22.44208145693046	-24.931559862100762	22.44208145693046	24.931559862100762	26.0	110.0	10.82119429933388	10.357321160119113	1.0	1.0	0.0
SCF:0000179	AC:000153	0	same_assembly_bridge	40_50	dropped_mixed_family	0.11	0.21	-25.844348181266778	-26.834720123699043	25.844348181266778	26.834720123699043	394.0	726.0	10.984967057593988	10.822803259925172	0.0	1.0	0.0
SCF:0000182	AC:000156	0	PDB_exact_pair_aggregate	30_40	train_eligible	0.29	0.32	-25.746633660077517	-25.885944657118017	25.746633660077517	25.885944657118017	0.0	16.0	12.891584001903468	12.695407533799811	0.0	1.0	0.0
SCF:0000209	AC:000177	0	PDB_exact_pair_aggregate	30_40	train_eligible	0.2	0.14	-27.87185802184802	-24.38009669697623	27.87185802184802	24.38009669697623	98.0	37.0	12.234334882070131	12.92496876811109	1.0	0.0	1.0
SCF:0000212	AC:000178	0	PDB_exact_pair_aggregate	ge50	train_eligible	0.17	0.15	-26.93454706841907	-26.243668563778122	26.93454706841907	26.243668563778122	204.0	59.0	12.447143965595258	12.62288068330512	1.0	0.0	1.0
SCF:0000235	AC:000192	0	PDB_exact_pair_aggregate	ge50	protein_unseen_family_seen	0.07	0.11	-28.80568917031015	-28.63352779946942	28.80568917031015	28.63352779946942	1345.0	1267.0	8.776487758922798	8.752068410810079	0.0	0.0	1.0
SCF:0000254	AC:000202	0	PDB_exact_pair_aggregate	20_30	train_eligible	0.08	0.16	-24.26516082080433	-27.64678407221167	24.26516082080433	27.64678407221167	7.0	57.0	13.188683303932574	12.442602438972164	0.0	1.0	0.0
SCF:0000271	AC:000212	0	same_assembly_bridge	30_40	train_eligible	0.17	0.18	-30.46238985556408	-28.84696581844708	30.46238985556408	28.84696581844708	128.0	105.0	10.603038836140145	12.028582022557702	0.0	0.0	1.0
