triplet_id	split	internal_dev	ac_id	anchor	c	d	fam_a	fam_c	fam_d	pdb_id	pdb_count	stratum	replicated_noncontact
SCF:0000065	protein_unseen_family_seen	0	AC:000053	P07839	Q75VY9	P12356	P07839	I0YPL4	P12356	7wzn	1	11_24	0
SCF:0000125	protein_unseen_family_seen	0	AC:000118	A0A2K1IB10	A0A2K1IAD0	A0A2K1K0C7	A0A2K1IB10	A8IL32	F2D0D5	6l35	1	11_24	0
SCF:0000194	protein_unseen_family_seen	0	AC:000166	A0A2K1IAD0	A0A2K1JC42	A0A2K1JDE1	A8IL32	B6U534	B6SQZ7	6l35	2	11_24	1
SCF:0000235	protein_unseen_family_seen	0	AC:000192	A0A2K1JDR4	A0A2K1JLW2	A0A2K1KU02	A0A2K1JDR4	A0A4V8GZZ4	A0A4V8GZZ4	7ksq	2	11_24	1
SCF:0000236	protein_unseen_family_seen	0	AC:000192	A0A2K1JDR4	A0A2K1JLW2	A0A2K1JC42	A0A2K1JDR4	A0A4V8GZZ4	B6U534	7ksq	2	11_24	1
SCF:0000344	protein_unseen_family_seen	0	AC:000260	Q6YXQ2	A0A2K1JC42	A0A2K1JLW2	A0A4V8H005	B6U534	A0A4V8GZZ4	6l35	5	11_24	1
SCF:0000345	protein_unseen_family_seen	0	AC:000260	Q6YXQ2	A0A2K1JC42	A0A7I4AUU1	A0A4V8H005	B6U534	B6SQZ7	6l35	5	11_24	1
SCF:0000346	protein_unseen_family_seen	0	AC:000260	Q6YXQ2	A0A2K1JC42	A0A7I4A0Q6	A0A4V8H005	B6U534	A8IL32	6l35	5	11_24	1
SCF:0000347	protein_unseen_family_seen	0	AC:000263	E2RXT8	A0A2V3F2U6	A0A069PXX1	P0AG59	P17291	C3SRY2	6spe	3	11_24	1
SCF:0000460	protein_unseen_family_seen	0	AC:000352	Q32P73	F2Z4C9	Q32PE0	P36954	A0A4X1VEK9	A0A4X1VEK9	9xgk	1	11_24	0
SCF:0000471	protein_unseen_family_seen	0	AC:000375	A0ACD6B9N1	A0ACD6B9L6	A0ACD6B9M4	Q8DIQ1	P12239	P19054	7sa3	2	3_10	1
SCF:0000735	protein_unseen_family_seen	0	AC:000620	P23993	P13165	S4Z1D9	A8IL32	E9NPX1	E9NPX1	7ewk	2	11_24	1
SCF:0000755	protein_unseen_family_seen	0	AC:000634	P06899	P61218	P0C0S5	O23629	A0A4X1VEK9	P0C0S5	8xrj	2	11_24	1
SCF:0000756	protein_unseen_family_seen	0	AC:000634	P06899	P61218	P0C0S8	O23629	A0A4X1VEK9	P0C0S5	8xrj	2	11_24	1
SCF:0000836	protein_unseen_family_seen	0	AC:000686	Q8MFA2	A0A2K1K0C7	A0A2K1JLZ3	T1RIQ1	F2D0D5	A0A9R0J8B1	6l35	2	11_24	1
SCF:0000837	protein_unseen_family_seen	0	AC:000686	Q8MFA2	A0A2K1K0C7	A0A2K1IB10	T1RIQ1	F2D0D5	A0A2K1IB10	6l35	2	11_24	1
SCF:0000865	protein_unseen_family_seen	0	AC:000712	P08266	Q9VEA5	Q7JZF5	I3LGP4	Q9VEA5	O81098	9mu7	1	11_24	0
SCF:0000866	protein_unseen_family_seen	0	AC:000712	P08266	Q9VEA5	P36958	I3LGP4	Q9VEA5	P36954	9mu7	1	11_24	0
SCF:0000910	protein_unseen_family_seen	0	AC:000757	A2P1G9	U5LP42	P01865	Q8TCD0	Q6N030	P01867	4zxb	1	3_10	0
SCF:0000911	protein_unseen_family_seen	0	AC:000757	A2P1G9	U5LP42	P01867	Q8TCD0	Q6N030	P01867	4zxb	1	3_10	0
SCF:0000952	protein_unseen_family_seen	0	AC:000795	P21464	P21469	P12879	A0QVB8	P17291	Q2FW20	8cee	17	11_24	1
SCF:0001008	protein_unseen_family_seen	0	AC:000830	E2RXU4	A0A069PXX1	A0A2V3F2U6	Q50296	C3SRY2	P17291	6spc	3	11_24	1
