triplet_id	ac_id	A	C	D	pdb_assembly	complex_size_bin	core_flag	n_pdb_AC	replicated_AC	A_C_min_heavy	A_D_min_heavy	positive_source	seqid_CD	seqid_CD_bin	family_A	family_C	family_D	score_AD_PLMInteract	score_AC_PLMInteract	delta_PLMInteract	rank_correct_PLMInteract	score_AD_DSCRIPT	score_AC_DSCRIPT	score_AD_TopsyTurvy	score_AC_TopsyTurvy
SCF:0000003	AC:000004	Q980U8	Q97Z84	P57766	2izo-assembly1.cif.gz	3_10	1	1	0	9.044	2.654	same_assembly_bridge	0.287	20_30	Q980U8	Q97Z84	P57766	0.996443	0.999834	-0.003391	0.0	0.176939	0.349593	0.737471	0.781677
SCF:0000004	AC:000006	P33332	P38261	P89102	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.334	same_assembly_bridge	0.2945	20_30	P33332	P38261	P89102	0.000625	0.001311	-0.000686	0.0	0.004176	0.00418	0.663734	0.455041
SCF:0000017	AC:000014	A8ITV3	P12154	P09144	7zq9-assembly1.cif.gz	11_24	1	7	1	45.351	2.747	same_assembly_bridge	0.497	40_50	A8ITV3	A0T0M8	T1RIQ1	0.999742	0.999745	-3e-06	0.0	0.005322	0.005678	0.035674	0.110685
SCF:0000025	AC:000021	A4VD75	I7M6H4	I7M9J2	8bx8-assembly1.cif.gz	11_24	1	2	1	9.893	1.087	same_assembly_bridge	0.4006	40_50	A4VD75	I7M6H4	I7M9J2	0.000139	0.009733	-0.009594	0.0				
SCF:0000026	AC:000022	P21082	P20979	P20504	8rqk-assembly1.cif.gz	11_24	1	3	1	18.169	2.245	same_assembly_bridge	0.2984	20_30	P21082	P20979	P20504	0.978239	0.005476	0.972763	1.0	0.004174	0.004176	0.610292	0.425707
SCF:0000035	AC:000029	Q9W0I7	P49735	Q9VGW6	6ray-assembly1.cif.gz	11_24	1	1	0	34.87	2.44	same_assembly_bridge	0.3697	30_40	Q7ZT47	P49735	Q9VGW6	0.999589	0.999552	3.7e-05	1.0	0.004175	0.004183	0.671493	0.478889
SCF:0000041	AC:000036	O74499	P87173	O14352	6ppv-assembly1.cif.gz	3_10	1	2	1	9.749	2.342	same_assembly_bridge	0.3431	30_40	O74499	P87173	O14352	0.999187	0.999818	-0.000631	0.0	0.798265	0.749197	0.65108	0.808243
SCF:0000042	AC:000038	B6A879	B6A880	B6A878	9cbc-assembly1.cif.gz	11_24	1	2	1	41.409	3.476	same_assembly_bridge	0.268	20_30	B6A879	B6A880	B6A878	0.986758	0.224847	0.761911	1.0	0.004178	0.004181	0.101953	0.371459
SCF:0000046	AC:000041	P43586	P39744	Q07896	7r6k-assembly1.cif.gz	11_24	1	1	0	15.192	2.93	same_assembly_bridge	0.2712	20_30	P43586	P39744	Q07896	0.999405	0.999761	-0.000356	0.0	0.07319	0.00796	0.730752	0.705343
SCF:0000047	AC:000042	A0A2K3DG79	A8J353	A8INX1	7ekq-assembly1.cif.gz	11_24	1	1	0	49.564	4.667	same_assembly_bridge	0.3	30_40	A0A2K3DG79	A8J353	A8INX1	0.158685	0.000706	0.157979	1.0	0.944416	0.004181	0.55275	0.077943
SCF:0000049	AC:000042	A8J353	A0A2K3DG79	A8INX1	7ekq-assembly1.cif.gz	11_24	1	1	0	49.564	4.185	same_assembly_bridge	0.3151	30_40	A8J353	A0A2K3DG79	A8INX1	0.000557	0.000706	-0.000149	0.0	0.004175	0.004181	0.490563	0.077943
SCF:0000053	AC:000046	A0R550	A0QVB8	A0QSD7	8wif-assembly1.cif.gz	11_24	1	5	1	21.93	2.827	same_assembly_bridge	0.3122	30_40	P0AG59	A0QVB8	P80372	0.999931	0.999436	0.000495	1.0	0.836454	0.816142	0.834505	0.897696
SCF:0000058	AC:000050	P21471	P21476	P21473	8cdv-assembly1.cif.gz	11_24	1	22	1	17.451	2.485	same_assembly_bridge	0.3137	30_40	P21471	A0QSD5	Q2G2Q1	0.999887	0.999801	8.6e-05	1.0	0.047773	0.708057	0.159595	0.699199
