P46217	Q4JAY4	0.672953
P62805	Q96GM5	0.518654
P22685	Q551M2	0.761548
Q97Z84	Q980U8	0.781677
Q72GR8	Q72GR9	0.000047
P33332	P38261	0.455041
Q8RGE0	Q8RGE3	0.414604
A0QU24	A0QU35	0.485962
A0A9R0JVI6	P11705	0.080643
A0T0U5	A0T0V1	0.523797
P62487	P63272	0.776430
P20282	P21467	0.450066
P41586	P59768	0.771662
A8ITV3	P12154	0.110685
P04310	P21603	0.341164
Q86VP6	Q96GG9	0.452968
P53803	Q92966	0.000032
A0A8D1KNW4	P60899	0.605014
Q00403	Q92966	0.127617
D5AQG8	D5AQH2	0.496312
P20979	P21082	0.425707
C4R0E6	C4R1V1	0.588278
P26784	P36160	0.699942
P05805	Q7M3E1	0.000185
P13165	P69416	0.000507
V5V9F4	V5V9K5	0.252017
Q24I09	W7XBF5	0.000105
P49735	Q9W0I7	0.478889
P00428	P04038	0.774214
P06899	P52435	0.790434
C4QY79	C4R273	0.656807
P9WGY7	P9WJG3	0.560948
C3SQX2	C3SR57	0.877508
A0A4V8GZZ5	A0A4V8GZZ8	0.330498
O74499	P87173	0.808243
Q76B86	Q9TM21	0.543568
B6A879	B6A880	0.371459
A0A9R0I5M6	A0A9R0JF29	0.143702
P0C6E0	Q9KPS1	0.042285
P39744	P43586	0.705343
A0A2K3DG79	A8J353	0.077943
A0A2P6U4K1	W8SY74	0.508581
Q9TM20	Q9TM22	0.505648
O43036	O94616	0.342326
A0QVB8	A0R550	0.897696
D0CD11	D0CD21	0.823035
Q2G111	Q2G2Q1	0.297919
P04637	P61218	0.806006
P21471	P21476	0.699199
P39748	P49005	0.778824
Q13426	Q9NP87	0.816987
P07839	Q75VY9	0.304339
O43402	Q9NPA0	0.563929
E9NPS7	I0YQ46	0.372500
P09192	P29256	0.030422
C4R3Z5	C4R5R1	0.562582
O14810	P60880	0.706121
A0A444WZ62	A0A445CVZ9	0.013499
D7P897	K0J903	0.596950
Q8DIP0	Q8DLJ8	0.496133
O49653	Q6NMZ4	0.067560
O19882	O19928	0.397754
P31376	Q12464	0.720651
P42919	P56849	0.623965
Q2FW20	Q2FXK6	0.732866
P13192	P69416	0.147792
O94376	O94646	0.747063
A0A6I8WFT8	C1K003	0.342563
Q969L4	Q9UKF6	0.794957
A0A069Q263	A0A069QC99	0.719403
P38751	P40465	0.522935
P00044	P07256	0.301419
G0RZG4	G0SCD1	0.308038
Q27RN4	Q27RN5	0.517225
P0A9T8	P0ADA1	0.268227
A8IH07	A8IJY7	0.401695
P07703	P36121	0.408082
P28000	P47076	0.818309
P01589	P31785	0.228032
I7MDA9	I7MLZ4	0.499751
P9WGY5	P9WHJ5	0.433845
O19928	Q9TM46	0.639644
Q940U6	Q9LU39	0.051532
Q23YW7	Q24CL2	0.199943
Q06339	Q12415	0.050556
P20339	Q9P2Y5	0.278616
Q05AW3	Q66IZ6	0.249558
P53803	P63272	0.639802
P20435	Q12004	0.600842
O95456	P28070	0.746537
Q9CPW4	Q9CVB6	0.665576
Q57TX9	Q586H1	0.260847
P50990	Q99471	0.686882
C4QZ45	C4R7H2	0.646780
A0A1S3X2G3	A0A1S3ZQT7	0.113349
A0A4V8GZZ7	A0A4V8H005	0.173055
P0A800	P0AGB6	0.497902
P02309	P47128	0.385643
G0RZG4	G0S1P1	0.105209
C1K003	Q56D18	0.602445
Q95695	Q9FG89	0.692124
Q2FZ25	Q2G113	0.529680
Q83D88	Q83EQ9	0.000044
P40208	Q12027	0.189291
F2Z4H3	Q32PE0	0.689343
P08913	P59768	0.867608
C4R2U9	C4R997	0.605544
P73069	Q55330	0.000017
Q8DKZ4	Q8DLL4	0.498883
D7NIZ2	D8V7I7	0.250123
Q9BQ15	Q9UL03	0.381597
P50991	P61758	0.274419
P61201	Q9UBF6	0.708224
Q00578	Q12004	0.709671
A0A125YS93	A0A125YU99	0.783762
E1C9K8	P17227	0.000062
A0A2K1IAD0	A0A2K1IB10	0.602976
P25515	P38784	0.150206
P02602	P68135	0.003930
Q9VLI9	Q9VUZ1	0.550902
P01116	Q13617	0.313806
Q96SY0	Q9NV88	0.736050
Q9NVM9	Q9NVR2	0.601756
A0A1S3XP85	A0A1S4BFK7	0.444496
A0A4V8GZZ6	A0A4V8GZZ7	0.745785
O15446	Q3B726	0.617729
O60921	P35250	0.658817
P07305	P62805	0.816899
P03903	Q9CR21	0.657640
A0A6C0M5W0	A0ABF7PQ09	0.034310
P20436	P32910	0.745738
A0T0V1	B8CEQ3	0.019313
Q83EQ3	Q83ES5	0.770910
Q99832	Q9NQP4	0.579932
P39933	Q12308	0.401717
A0AAB0B1U3	A0AAB0B1V7	0.393260
A0A2P6TPV8	A0A2P6TQ14	0.650320
D5MAL3	Q32904	0.655417
P56768	Q949Q5	0.374285
O19925	Q76FB0	0.154991
P12356	Q75VY9	0.096037
E1C9K6	E1C9K9	0.013714
Q08920	Q12330	0.705013
E9NPW6	I0YPL4	0.170012
A0A063X781	A0A063XCP1	0.000023
E9NPV2	I0YWK6	0.002805
O15514	Q00403	0.730101
Q09177	Q09191	0.733624
P0A431	P59087	0.000401
A0A4X1VEK9	A0A8D1B522	0.670458
P09190	P73069	0.498525
Q01667	Q8LCQ4	0.714371
P52435	P63272	0.775398
E3UIU6	M2XWX3	0.457376
P59768	Q9GZQ6	0.838420
A1B4F4	A1BA41	0.622642
P0A7W7	P69222	0.348067
O74825	P36595	0.611000
O52760	P45684	0.080749
Q9P6Q0	Q9Y7N2	0.497568
F2QT90	F2R0J7	0.767640
A0A125YN38	S7W9J5	0.061100
Q9VBI1	Q9XYU1	0.757882
P49427	Q15370	0.768377
A0A2K1IAD0	A0A2K1JC42	0.536563
A0A1S3ZSI0	P38550	0.521832
C3SYP2	W8T6F0	0.753268
Q8SD23	Q8SDD6	0.062546
P24964	Q2EN79	0.637583
Q1HFW0	Q1HFX0	0.369153
B0C4H4	B0C7S7	0.021278
A0A1S4CKK0	A0A1S4D7C7	0.105554
P07470	P07471	0.459771
Q9P4W1	Q9UTF6	0.543403
Q1HFW0	Q1HFW2	0.598144
P59768	Q96RJ0	0.873761
P35346	P59768	0.831197
O31742	P19947	0.637785
Q8DJD9	Q8DKF5	0.511155
A0A4V8H007	A0A4V8H010	0.168571
A8IKI9	A8J4K5	0.032695
A0T0S9	A0T0V0	0.019671
P19658	P33332	0.667504
P39543	P40540	0.512480
P16370	Q02792	0.646356
P30665	P54784	0.715683
A0A140G1Q3	A0A1S4BFK7	0.680835
M1VKK5	Q85G47	0.211924
P62877	Q96L50	0.469735
P39933	Q06339	0.166383
A0A2K1JDR4	A0A2K1JLW2	0.380606
P0A7G2	P0AG63	0.000361
P06839	P14736	0.702868
F2CW18	F2DAN8	0.743258
A3DF17	A3DH98	0.672318
P58066	Q9A999	0.350591
P58568	Q8YQ35	0.611079
D7P6B9	K0J903	0.001338
P49735	Q9XYU0	0.732021
P0AB98	P0ABA4	0.252813
P40337	P62877	0.683086
P61769	Q6PJ56	0.854157
P23968	P41806	0.463339
A0A0M3KL13	E1C9K6	0.000277
A8J7H8	Q9FV97	0.666297
P32447	P53853	0.467767
P36578	Q9BXJ9	0.421642
P43627	P61769	0.685177
P63104	Q15369	0.582726
A0A4V8GZZ7	A0A4V8H007	0.798228
Q06675	Q2V2P8	0.394454
A0A4V8H002	A0A4V8H007	0.742321
P47047	Q12277	0.293529
F4JYR0	Q9SN86	0.032388
P01887	Q5R1F1	0.650660
T1RJ05	T1RJ07	0.184927
P04911	Q12509	0.664826
P0A7Z6	P0A802	0.678109
Q5U4U4	Q7ZT47	0.613753
A0A2P6TPR7	A0A2P6TZ50	0.796917
O15514	P60002	0.400781
E3UIU1	M2VTV2	0.372958
A6QRA1	O81097	0.603459
P60002	P62487	0.705680
A0A0F6NGI2	P09911	0.024872
P20436	P47076	0.840507
P40937	Q99638	0.768366
P63096	Q07325	0.499072
P0A8T7	P0ACJ8	0.693735
P60900	Q9BT73	0.498708
C4R0E6	C4R3P8	0.589054
P22139	P53063	0.069941
Q49QE8	Q49QI2	0.293423
P0DOX5	Q8N5F4	0.591935
Q22MV2	Q22R86	0.249537
A0A2P6TPR7	A0A2P6TPV8	0.656599
A0A1P7WFW1	A0A1P7WFW4	0.453957
C1DMA5	Q9F5Y0	0.170211
P38291	Q12530	0.064695
A0A9R0J252	P06505	0.499159
Q9FHW7	Q9SLH3	0.771638
O15446	P0DPB6	0.809725
B7IA16	B7IBC1	0.824115
A0A3B6IU74	W5I035	0.640626
A0QS97	A0QSD5	0.783621
P01887	P04214	0.755145
A0A2P6TKF8	A0A2P6TZ50	0.025337
Q8DL30	Q8DL61	0.053491
A0A9R0K533	P06505	0.271653
O95456	P20618	0.163833
P78346	Q9BUL9	0.518479
P20339	Q14457	0.708204
P62875	Q9HAW0	0.719013
A0A2K3E6S5	P92276	0.190096
P13051	Q16531	0.067227
A0A2K3CYB6	A8HUP3	0.407427
P0A7G2	P0A7W7	0.584870
A0A2K1JC42	Q6YXQ2	0.005059
A2A825	Q8C456	0.633995
P0A7W1	P39286	0.884466
A0A2V3F2U6	E2RXT8	0.586423
A0A2P6TMX4	W8SKM2	0.107496
P06224	P12464	0.322131
Q15382	Q7L523	0.794513
P38632	Q05541	0.332703
Q24DJ0	W7WX86	0.499572
A0A063X781	A0A063X8U6	0.855815
D7P6B9	D8V7I7	0.000494
B8YB59	B8YB61	0.422554
P31376	Q03940	0.747401
P30989	P50148	0.783539
P0AB98	P0ABA6	0.308693
P10606	Q9BW72	0.113411
A8IH07	A8IXD6	0.499632
B8YB57	B8YB64	0.547586
P47047	P53256	0.578957
G0S8E0	G0SEC7	0.060914
P00746	P01024	0.130865
Q9BQ15	Q9NV88	0.702170
B4DIJ7	Q9C005	0.698622
Q14181	Q9H668	0.729355
P29496	P54791	0.735365
A0A2K9VK88	A0A2K9VK98	0.560064
P02309	Q12509	0.664374
Q75VY4	Q75VZ0	0.719079
P0DOX5	S6B291	0.660411
P31173	P48116	0.004399
Q8NAC3	Q96F46	0.120678
B6SQZ7	B6U534	0.502287
P41227	P84098	0.200969
P60292	Q8U0M4	0.708293
P62090	Q9SHE8	0.000599
Q96RY7	Q9P2L0	0.750025
Q8U0Z8	Q8U104	0.497570
B8H4F8	B8H618	0.236969
P59768	Q03431	0.779538
Q2FW08	Q2FW16	0.601050
A0A0M3KL10	E1C9L2	0.632869
A8IKI9	A8J7I9	0.126284
Q8DMP8	Q9F1K9	0.406689
P09669	P14406	0.614325
Q9P6Q0	Q9USH1	0.497571
A0A125YPC9	A0A125YW21	0.558627
O43143	Q7RTV0	0.882757
A0A2D0TC97	A0A2D0TCA6	0.156279
P62877	Q16531	0.778313
Q6P4I2	Q9NV88	0.772743
I0YPL4	I0Z687	0.047540
Q8LE42	Q8LFJ6	0.684444
M1UU36	Q85G47	0.128759
P06336	P20490	0.121879
P16033	P19569	0.028244
A8HPD3	P19431	0.007451
A0A1S3XP85	A0A1S3YXM6	0.051668
P14949	P50621	0.351971
P20435	Q02792	0.563467
C4QXY9	C4R7L2	0.133373
C4R009	C4R2R6	0.438123
A5F5X0	A5F5Y4	0.195887
O15160	Q92966	0.177819
P27999	P40352	0.738495
P13183	Q01321	0.557726
D0MDD9	D0MKF0	0.240213
O15318	Q9Y2Y1	0.625597
E9NPW6	I0Z2Y0	0.682844
I7MG46	Q24C31	0.453051
O14625	P63096	0.498836
P29469	P40359	0.731541
P10176	P10606	0.651321
Q6ZED1	Q6ZED5	0.180606
O43143	Q9BWJ5	0.805315
A0A3B6IU74	A0A3B6KRQ3	0.757097
O14818	Q9BT73	0.498706
Q2T9T3	Q32P78	0.797197
P84077	Q9HAD4	0.566704
A0A4V8H004	A0A4V8H005	0.173320
P68431	Q96GM5	0.669508
Q8SDC8	Q8SDD3	0.369998
A0A3Q7G7F0	A0A3Q7I881	0.726503
P60002	Q7KZ85	0.451933
P20226	Q92966	0.212450
A0A2K3DQ46	A0A2K3DZD9	0.023055
E9NPX1	I0Z7A6	0.629284
Q5MNZ6	Q9P0N9	0.333442
Q1HFX1	Q1HGH9	0.323102
A0A2K9VK88	A0A2K9VKE4	0.333103
P04052	P36958	0.703783
A0A024L3Y3	A0A5B9AW69	0.735804
F2Z4C9	Q32P73	0.615827
Q6CK37	Q6CPM4	0.047435
A8J4K5	A8J8N9	0.521829
P20436	Q04307	0.722116
P07992	Q92759	0.733380
Q83D75	Q83E83	0.733110
O94762	P52435	0.619906
P78371	Q99471	0.586717
A0A2K3D1M1	A8HRZ4	0.390575
P78345	P78346	0.480330
B8YB54	B8YB56	0.381745
O74471	Q9P4W1	0.436093
P14406	Q9BW72	0.417124
A0A1S3X147	A0A1S4CE74	0.298636
P9WPU7	P9WPV7	0.191806
P12873	P42920	0.000050
P38632	Q07913	0.305358
P00420	P00424	0.538053
P19844	Q52529	0.000135
C4LXM0	C4M5A0	0.773343
A0A333U4T6	V5V9F4	0.252249
P20143	P36213	0.648525
C4B7Q7	C4B7Q8	0.519361
A0ACD6B9L6	A0ACD6B9N1	0.634430
Q9H1A4	Q9UJX3	0.266673
Q8DL32	Q8DL61	0.050961
C4R0E6	C4R2R6	0.136985
P36121	P47076	0.766139
Q9KPS1	Q9X4Q6	0.250206
A0A125YTU2	S8GED8	0.054449
D0CD01	D0CD03	0.831515
P45684	Q9HTM1	0.498660
P24482	P29469	0.407209
Q8IRE3	Q9VSY8	0.583369
F2Z4C9	F2Z4H3	0.719146
A0A125YZ21	S8GED8	0.125538
A0A4V8H004	A0A4V8H008	0.531906
O75818	Q32NC0	0.351783
P87310	Q9USH1	0.841130
P22138	P32786	0.178094
Q7L5N1	Q9UBF6	0.387119
P04051	P13393	0.778363
P36121	P40422	0.161649
E9NPV2	I0Z284	0.112433
Q97ZJ9	Q980L5	0.422386
A0A125YZN9	S7W9J5	0.539163
Q8VZ65	Q9FYF8	0.668793
A0A2K3DGW6	A0A2K3DLI2	0.499800
Q15370	Q8N884	0.853045
Q8U0M2	Q8U4N1	0.018893
Q9SUI5	Q9SUI7	0.525513
P62653	P62662	0.874335
Q22R86	Q24CE5	0.093082
F2QVW8	F2QZ97	0.715771
Q1JQ91	Q32P79	0.824761
Q15843	Q16531	0.681036
P52434	P63272	0.697917
P62012	Q9V0G0	0.731534
P02607	P68139	0.081488
A8J8N9	P23662	0.640224
P62877	P68036	0.562582
O34399	P50735	0.710073
P60900	Q5JS54	0.168331
P60292	Q8U4N1	0.806142
Q54J50	Q54VN6	0.778527
Q13619	Q8WV22	0.722307
T1RJ07	T1RJT6	0.001360
B8BUW3	B8LEQ8	0.000783
