Q92496	Q92496
Q92570	Q92570
Q92570	P22736
Q92570	P10276
Q92570	P28700
Q92570	P19793
Q92598	Q92598
Q92598	P34932
Q92598	P20029
Q92598	P06761
Q92598	P07823
Q92598	P11021
Q92598	P11142
Q92598	P0DMV8
Q92598	P0DMV9
Q92598	P34930
Q92736	Q92736
Q92769	Q92769
Q92769	Q13547
Q92769	O15379
Q92769	Q96DB2
Q92793	Q92793
Q92793	Q09472
Q92800	Q92800
Q92800	Q15910
Q92851	Q92851
Q92851	O02002
Q92851	P42574
Q92851	P55211
Q92851	Q14790
Q92905	Q92905
Q92966	Q92966
Q93034	Q93034
Q944A6	Q944A6
Q969H0	Q969H0
Q969H0	P43034
Q969H0	P63005
Q96AV8	Q96AV8
Q96B86	Q96B86
Q96B97	Q96B97
Q96B97	Q9Y5K6
Q96CF2	Q96CF2
Q96CF2	Q9H444
Q96CV9	Q96CV9
Q96CV9	Q9Y6K9
Q96CV9	O88522
Q96E09	Q96E09
Q96EP0	Q96EP0
Q96F46	Q96F46
Q96F46	Q60943
Q96FW1	Q96FW1
Q96KB5	Q96KB5
Q96MF7	Q96MF7
Q96MP8	Q96MP8
Q96NY8	Q96NY8
Q96NY8	Q9NQS3
Q96NY8	Q92692
Q96NY8	P15151
Q96NY8	Q15223
Q96PU5	Q96PU5
Q96PU5	Q96J02
Q96PU5	O00308
Q96PU5	Q9HCE7
Q96PU5	Q9HAU4
Q96PY5	Q96PY5
Q96SI1	Q96SI1
Q96ST3	Q96ST3
Q96ST3	Q62141
Q980Q9	Q980Q9
Q980R1	Q980R1
Q99075	Q99075
Q99081	Q99081
Q99081	P15923
Q99104	Q99104
Q99471	Q99471
Q99497	Q99497
Q99523	Q99523
Q99523	Q6PHU5
Q99623	Q99623
Q99623	P35232
Q99638	Q99638
Q99665	Q99665
Q99731	Q99731
Q99767	Q99767
Q99814	Q99814
Q99814	Q16665
Q99814	Q61079
Q99816	Q99816
Q9AU02	Q9AU02
Q9BCZ4	Q9BCZ4
Q9BCZ4	Q9BQE4
Q9BPZ7	Q9BPZ7
Q9BQ15	Q9BQ15
Q9BQI3	Q9BQI3
Q9BS18	Q9BS18
Q9BST9	Q9BST9
Q9BTE1	Q9BTE1
Q9BV36	Q9BV36
Q9BVC4	Q9BVC4
P0C0L5	P0C0L5
P0C0L5	P01024
P0C263	P0C263
P0CF65	P0CF65
P0CF65	Q96SW2
P0CG48	P0CG48
P0CG48	P62987
P0CG48	Q15843
P0CT46	P0CT46
P0DTD1	P0DTD1
P0DTD1	P0C6X7
P0DTD1	K9N7C7
P10145	P10145
P10145	P09341
P10176	P10176
P10288	P10288
P10288	P19022
P10288	P33148
P10288	P55284
P10415	P10415
P10415	P10417
P10415	P70345
P10415	Q92843
P10415	Q07817
P10415	Q64373
P10415	Q07812
P10415	Q07813
P10415	Q16611
P10415	O08734
P10636	P10636
P10636	P19332
P11150	P11150
P11150	P06858
P11150	P11152
P11226	P11226
P11226	P39039
P11226	Q9CQI1
P11308	P11308
P11471	P11471
P11717	P11717
P11831	P11831
P11940	P11940
P11940	P21187
P12003	P12003
P12004	P12004
P12277	P12277
P12357	P12357
P12357	B6U534
P12357	Q9S7N7
P12357	A0A0M3KL13
P12357	A0A2K1JC42
P12357	P14224
P12504	P12504
P12504	Q77YG0
P12754	P12754
P12853	P12853
P13073	P13073
P13194	P13194
P13194	E1C9K6
P13194	Q9S831
P13726	P13726
P13987	P13987
P14316	P14316
P14316	P10914
P14618	P14618
P14618	P52480
P14635	P14635
P14635	P20248
P14649	P14649
P14649	P02602
P14649	P0DP23
P14649	P0DP26
P14649	P0DP29
P14649	Q96GE6
P14778	P14778
P14873	P14873
P15018	P15018
P15056	P15056
P15056	P04049
P15056	Q99N57
P15056	P10398
P15172	P15172
P15253	P15253
P15253	P18418
P15253	P27797
P15311	P15311
P15311	P26038
P15597	P15597
P15692	P15692
P15692	Q9MYV3
P15692	Q00731
P15692	P49765
P16035	P16035
P16035	P16368
P16035	P01033
P68400	P68400
P68400	P19784
P68610	P68610
P71814	P71814
P75560	P75560
P75560	A0QVB8
P75560	A0A072ZPV8
P78344	P78344
P78406	P78406
P78406	O43684
P78552	P78552
P80377	P80377
P80377	Q50297
P80377	C3SR52
P80377	Q2FW30
P80377	D0CD19
P80883	P80883
P87310	P87310
P89102	P89102
P91943	P91943
P91943	Q9NQB0
P91943	Q9UJU2
P91943	P27782
P92177	P92177
P92177	P31947
P92177	P27348
P92177	P63103
P92177	P63104
P92177	P61981
P92177	P61982
P92177	Q04917
P92276	P92276
P97710	P97710
P97710	P78324
P97710	O00241
P98164	P98164
P98164	P01130
P98164	P35951
P98164	O75581
P98164	P98155
P98164	Q91ZX7
P98164	Q07954
P98172	P98172
P98172	P52803
P98172	P20827
P9WGH5	P9WGH5
P9WGH9	P9WGH9
P9WGH9	P0AGB6
P9WGH9	P9WGG7
P9WGY5	P9WGY5
P9WGZ1	P9WGZ1
P9WGZ1	P0A7Z4
P9WIU9	P9WIU9
P9WIU9	P0AFG0
P9WPS1	P9WPS1
P9WPU9	P9WPU9
P9WPV3	P9WPV3
Q00403	Q00403
Q00609	Q00609
Q00609	P33681
Q00623	Q00623
Q00959	Q00959
Q00987	Q00987
Q00987	O15151
Q00987	O35618
Q01043	Q01043
Q01082	Q01082
Q01082	O43707
Q01082	P12814
Q01082	P35609
Q01321	Q01321
Q01321	O00483
Q01650	Q01650
Q01650	Q9UPY5
Q01853	Q01853
Q01853	Q9UN37
Q01968	Q01968
Q02241	Q02241
Q02297	Q02297
Q02326	Q02326
Q03135	Q03135
Q03164	Q03164
Q03164	Q9UMN6
Q03405	Q03405
Q03431	Q03431
Q03431	P41586
Q03431	Q16602
Q03431	P34998
Q04307	Q04307
Q04637	Q04637
Q04759	Q04759
Q04759	Q05655
Q04759	P17612
Q04759	Q15831
Q04864	Q04864
Q04864	Q04206
Q04864	Q04207
Q05397	Q05397
Q05541	Q05541
Q05586	Q05586
O88351	O88351
O88351	O14920
O88351	O15111
O88602	O88602
O88602	Q71RJ2
O88846	O88846
O88846	P78317
O89100	O89100
O89100	P62993
O89100	P62994
O94355	O94355
O94646	O94646
O94742	O94742
O94742	P60896
O94776	O94776
O95343	O95343
O95352	O95352
O95500	O95500
O95500	Q9ET38
O95500	O88551
O95500	O95832
O95500	Q9Z261
O95750	O95750
O95817	O95817
O95831	O95831
O95831	Q9Z0X1
O95835	O95835
O95835	P23443
O95835	P31749
O95835	P31750
O95835	Q02156
O95835	Q15208
O95835	Q9Y2H1
O95835	Q9NRM7
O95931	O95931
P00166	P00166
P00289	P00289
P00289	P16002
P00429	P00429
P00429	P14854
P00488	P00488
P00488	P21980
P00747	P00747
P00747	P00734
P00747	P00748
P00747	P00749
P00747	P00750
P00747	P00760
P00747	P14210
P00747	Q08048
P00747	P00742
P00747	P08709
P00747	P08246
P00813	P00813
P00813	P56658
P01009	P01009
P01009	P05154
P01009	P01008
P01009	P07093
P01019	P01019
P01040	P01040
P01040	P04080
P01106	P01106
P01236	P01236
P01241	P01241
P01584	P01584
P01730	P01730
P01738	P01738
P01887	P01887
P01887	P61769
P02299	P02299
P02299	P61830
P02299	P84233
P02299	Q71DI3
P02309	P02309
P02309	P62805
P02649	P02649
P02741	P02741
P02741	P02743
P02751	P02751
P02768	P02768
P02787	P02787
P03347	P03347
P03347	P04591
P03347	Q72497
P03347	Q77YG1
P04004	P04004
P04150	P04150
P04150	P03372
P04150	P62508
P04150	O95718
P04150	Q62986
P04150	Q92731
P04214	P04214
P04406	P04406
P04406	P16858
P04406	P46406
Q9PU13	Q9PU13
Q9QUR7	Q9QUR7
Q9QUR7	Q13526
Q9R1B9	Q9R1B9
Q9R1M7	Q9R1M7
Q9S7P9	Q9S7P9
Q9SGH4	Q9SGH4
Q9SJW9	Q9SJW9
Q9SJW9	Q9M1S9
Q9SV55	Q9SV55
Q9TM22	Q9TM22
Q9TM23	Q9TM23
Q9UBF6	Q9UBF6
Q9UBF6	P62877
Q9UBL3	Q9UBL3
Q9UBW8	Q9UBW8
