triplet_id	split	anchor	c	d	r	fam_a	fam_c	fam_d	ad_id	ac_id	ar_id
SCF:0000001	train_eligible	P62805	Q96GM5	Q12432	P62487	P62805	Q96GM5	Q12432	SCF:0000001|AD	SCF:0000001|AC	SCF:0000001|AR
SCF:0000002	train_eligible	P62805	Q96GM5	C4R7L8	P41586	P62805	Q96GM5	C4R7L8	SCF:0000002|AD	SCF:0000002|AC	SCF:0000002|AR
SCF:0000004	train_eligible	P33332	P38261	P89102	P36160	P33332	P38261	P89102	SCF:0000004|AD	SCF:0000004|AC	SCF:0000004|AR
SCF:0000005	train_eligible	P33332	P38261	P32855	P36160	P33332	P38261	P32855	SCF:0000005|AD	SCF:0000005|AC	SCF:0000005|AR
SCF:0000006	train_eligible	P33332	P38261	Q06245	P36160	P33332	P38261	Q06245	SCF:0000006|AD	SCF:0000006|AC	SCF:0000006|AR
SCF:0000007	train_eligible	P38261	P33332	P22224	P26784	P38261	P33332	P22224	SCF:0000007|AD	SCF:0000007|AC	SCF:0000007|AR
SCF:0000008	train_eligible	P38261	P33332	P32855	P43586	P38261	P33332	P32855	SCF:0000008|AD	SCF:0000008|AC	SCF:0000008|AR
SCF:0000009	train_eligible	P63272	P62487	A0A4X1VKG7	Q96GM5	P63272	A0A4X1VKG7	A0A4X1VKG7	SCF:0000009|AD	SCF:0000009|AC	SCF:0000009|AR
SCF:0000014	train_eligible	P59768	P41586	Q16602	Q96GM5	P59768	P41586	Q16602	SCF:0000014|AD	SCF:0000014|AC	SCF:0000014|AR
SCF:0000015	train_eligible	P59768	P41586	P28223	Q92966	P59768	P41586	P28223	SCF:0000015|AD	SCF:0000015|AC	SCF:0000015|AR
SCF:0000016	train_eligible	P59768	P41586	Q9UPC5	Q00403	P59768	P41586	Q9UPC5	SCF:0000016|AD	SCF:0000016|AC	SCF:0000016|AR
SCF:0000021	train_eligible	P60899	A0A8D1KNW4	I3LCB2	A0A4X1VYD0	P36954	A0A4X1VEK9	A0A8D1AQR7	SCF:0000021|AD	SCF:0000021|AC	SCF:0000021|AR
SCF:0000022	train_eligible	P60899	A0A8D1KNW4	A0A4X1VM56	A0A481DF93	P36954	A0A4X1VEK9	Q9VEA5	SCF:0000022|AD	SCF:0000022|AC	SCF:0000022|AR
SCF:0000023	train_eligible	Q00403	Q92966	Q92759	P41586	Q00403	Q92966	Q92759	SCF:0000023|AD	SCF:0000023|AC	SCF:0000023|AR
SCF:0000024	train_eligible	Q92966	Q00403	Q9HAW0	P41586	Q92966	Q00403	Q9HAW0	SCF:0000024|AD	SCF:0000024|AC	SCF:0000024|AR
SCF:0000025	train_eligible	A4VD75	I7M6H4	I7M9J2	I7MLZ4	A4VD75	I7M6H4	I7M9J2	SCF:0000025|AD	SCF:0000025|AC	SCF:0000025|AR
SCF:0000026	train_eligible	P21082	P20979	P20504	P20637	P21082	P20979	P20504	SCF:0000026|AD	SCF:0000026|AC	SCF:0000026|AR
SCF:0000027	train_eligible	P21082	P20979	P68439	P68449	P21082	P20979	P68439	SCF:0000027|AD	SCF:0000027|AC	SCF:0000027|AR
SCF:0000028	train_eligible	P26784	P36160	P38805	P38261	P26784	P36160	P38805	SCF:0000028|AD	SCF:0000028|AC	SCF:0000028|AR
SCF:0000029	train_eligible	P26784	P36160	P26321	P38261	P26784	P36160	P26321	SCF:0000029|AD	SCF:0000029|AC	SCF:0000029|AR
SCF:0000030	train_eligible	P26784	P36160	P40007	P38261	P26784	P36160	P40007	SCF:0000030|AD	SCF:0000030|AC	SCF:0000030|AR
SCF:0000031	train_eligible	P36160	P26784	P0C0W9	P33332	P36160	P26784	P0C0W9	SCF:0000031|AD	SCF:0000031|AC	SCF:0000031|AR
SCF:0000033	train_eligible	Q9W0I7	P49735	Q9XYU1	Q9XYU0	Q7ZT47	P49735	P25205	SCF:0000033|AD	SCF:0000033|AC	SCF:0000033|AR
SCF:0000034	train_eligible	Q9W0I7	P49735	Q9V461	Q9XYU0	Q7ZT47	P49735	Q9V461	SCF:0000034|AD	SCF:0000034|AC	SCF:0000034|AR
SCF:0000035	train_eligible	Q9W0I7	P49735	Q9VGW6	Q26454	Q7ZT47	P49735	Q9VGW6	SCF:0000035|AD	SCF:0000035|AC	SCF:0000035|AR
SCF:0000041	train_eligible	O74499	P87173	O14352	O94376	O74499	P87173	O14352	SCF:0000041|AD	SCF:0000041|AC	SCF:0000041|AR
SCF:0000044	train_eligible	P39744	P43586	Q02326	P33332	P39744	P43586	Q02326	SCF:0000044|AD	SCF:0000044|AC	SCF:0000044|AR
SCF:0000045	train_eligible	P39744	P43586	P26784	P07703	P39744	P43586	P26784	SCF:0000045|AD	SCF:0000045|AC	SCF:0000045|AR
SCF:0000046	train_eligible	P43586	P39744	Q07896	P47076	P43586	P39744	Q07896	SCF:0000046|AD	SCF:0000046|AC	SCF:0000046|AR
SCF:0000047	train_eligible	A0A2K3DG79	A8J353	A8INX1	A8IH07	A0A2K3DG79	A8J353	A8INX1	SCF:0000047|AD	SCF:0000047|AC	SCF:0000047|AR
SCF:0000048	train_eligible	A0A2K3DG79	A8J353	A8IJ60	A0A2K3E6S5	A0A2K3DG79	A8J353	A8IJ60	SCF:0000048|AD	SCF:0000048|AC	SCF:0000048|AR
SCF:0000049	train_eligible	A8J353	A0A2K3DG79	A8INX1	A8IJY7	A8J353	A0A2K3DG79	A8INX1	SCF:0000049|AD	SCF:0000049|AC	SCF:0000049|AR
SCF:0000050	train_eligible	Q9TM20	Q9TM22	Q9TM21	O19928	Q8DIP0	P32974	P12239	SCF:0000050|AD	SCF:0000050|AC	SCF:0000050|AR
SCF:0000052	train_eligible	A0QVB8	A0R550	A0QSP9	A0QS96	A0QVB8	P0AG59	A0QSP9	SCF:0000052|AD	SCF:0000052|AC	SCF:0000052|AR
SCF:0000053	train_eligible	A0R550	A0QVB8	A0QSD7	A0R102	P0AG59	A0QVB8	P80372	SCF:0000053|AD	SCF:0000053|AC	SCF:0000053|AR
SCF:0000054	train_eligible	Q2G111	Q2G2Q1	Q2G2Q4	Q2FW08	A0A2V3DLV3	Q2G2Q1	Q2G2Q4	SCF:0000054|AD	SCF:0000054|AC	SCF:0000054|AR
SCF:0000055	train_eligible	Q2G2Q1	Q2G111	Q2FW10	Q2FW08	Q2G2Q1	A0A2V3DLV3	A0QSD5	SCF:0000055|AD	SCF:0000055|AC	SCF:0000055|AR
SCF:0000058	train_eligible	P21471	P21476	P21473	O31742	P21471	A0QSD5	Q2G2Q1	SCF:0000058|AD	SCF:0000058|AC	SCF:0000058|AR
SCF:0000059	train_eligible	P21471	P21476	P21468	Q06797	P21471	A0QSD5	P21468	SCF:0000059|AD	SCF:0000059|AC	SCF:0000059|AR
SCF:0000060	train_eligible	P21471	P21476	P21472	P21477	P21471	A0QSD5	P21472	SCF:0000060|AD	SCF:0000060|AC	SCF:0000060|AR
SCF:0000061	train_eligible	P21476	P21471	P12874	P21467	A0QSD5	P21471	P0AG63	SCF:0000061|AD	SCF:0000061|AC	SCF:0000061|AR
SCF:0000069	train_eligible	P29256	P09192	Q55274	P12975	P29256	D0VWR8	Q55274	SCF:0000069|AD	SCF:0000069|AC	SCF:0000069|AR
SCF:0000071	train_eligible	C4R3Z5	C4R5R1	C4R370	C4QXY9	C4R3Z5	C4R5R1	F2QUC3	SCF:0000071|AD	SCF:0000071|AC	SCF:0000071|AR
SCF:0000075	train_eligible	O19882	O19928	Q9TM46	Q9TM22	P12240	Q8DIQ1	D0VWR7	SCF:0000075|AD	SCF:0000075|AC	SCF:0000075|AR
SCF:0000077	train_eligible	O94646	O94376	O13964	P87173	O94646	O94376	O13964	SCF:0000077|AD	SCF:0000077|AC	SCF:0000077|AR
SCF:0000078	train_eligible	O94646	O94376	O14010	Q9Y821	O94646	O94376	O14010	SCF:0000078|AD	SCF:0000078|AC	SCF:0000078|AR
SCF:0000081	train_eligible	G0RZG4	G0SCD1	G0SC21	G0S1P1	G0RZG4	G0SCD1	G0SC21	SCF:0000081|AD	SCF:0000081|AC	SCF:0000081|AR
SCF:0000082	train_eligible	G0RZG4	G0SCD1	P0CT46	G0S755	G0RZG4	G0SCD1	P0CT46	SCF:0000082|AD	SCF:0000082|AC	SCF:0000082|AR
SCF:0000083	train_eligible	G0SCD1	G0RZG4	G0S1P1	G0SC21	G0SCD1	G0RZG4	G0S1P1	SCF:0000083|AD	SCF:0000083|AC	SCF:0000083|AR
SCF:0000084	train_eligible	A8IH07	A8IJY7	A8IL21	A0A2K3DG79	A8IH07	A8IJY7	A8IL21	SCF:0000084|AD	SCF:0000084|AC	SCF:0000084|AR
SCF:0000085	train_eligible	A8IH07	A8IJY7	A8INX1	A8HUP3	A8IH07	A8IJY7	A8INX1	SCF:0000085|AD	SCF:0000085|AC	SCF:0000085|AR
SCF:0000086	train_eligible	A8IJY7	A8IH07	A8INX1	A8J353	A8IJY7	A8IH07	A8INX1	SCF:0000086|AD	SCF:0000086|AC	SCF:0000086|AR
SCF:0000087	train_eligible	P36121	P07703	P32910	P43586	P36121	P07703	P32910	SCF:0000087|AD	SCF:0000087|AC	SCF:0000087|AR
SCF:0000088	train_eligible	P28000	P47076	P20435	P39744	P28000	P47076	A0A4X1VEK9	SCF:0000088|AD	SCF:0000088|AC	SCF:0000088|AR
SCF:0000089	train_eligible	I7MDA9	I7MLZ4	I7M6D6	I7M6H4	I7MDA9	I7MLZ4	I7M6D6	SCF:0000089|AD	SCF:0000089|AC	SCF:0000089|AR
