triplet_id	split	internal_dev	ac_id	anchor	c	d	fam_a	fam_c	fam_d	pdb_id	pdb_count	stratum	replicated_noncontact
SCF:0000001	train_eligible	0	AC:000002	P62805	Q96GM5	Q12432	P62805	Q96GM5	Q12432	9rl4	5	11_24	1
SCF:0000002	train_eligible	0	AC:000002	P62805	Q96GM5	C4R7L8	P62805	Q96GM5	C4R7L8	9rl4	5	11_24	1
SCF:0000004	train_eligible	1	AC:000006	P33332	P38261	P89102	P33332	P38261	P89102	5yfp	2	3_10	1
SCF:0000005	train_eligible	0	AC:000006	P33332	P38261	P32855	P33332	P38261	P32855	5yfp	2	3_10	1
SCF:0000006	train_eligible	0	AC:000006	P33332	P38261	Q06245	P33332	P38261	Q06245	5yfp	2	3_10	1
SCF:0000007	train_eligible	0	AC:000006	P38261	P33332	P22224	P38261	P33332	P22224	5yfp	2	3_10	1
SCF:0000008	train_eligible	1	AC:000006	P38261	P33332	P32855	P38261	P33332	P32855	5yfp	2	3_10	1
SCF:0000009	train_eligible	0	AC:000011	P63272	P62487	A0A4X1VKG7	P63272	A0A4X1VKG7	A0A4X1VKG7	8xrm	2	11_24	1
SCF:0000014	train_eligible	0	AC:000013	P59768	P41586	Q16602	P59768	P41586	Q16602	6m1i	5	3_10	1
SCF:0000015	train_eligible	0	AC:000013	P59768	P41586	P28223	P59768	P41586	P28223	6m1i	5	3_10	1
SCF:0000016	train_eligible	0	AC:000013	P59768	P41586	Q9UPC5	P59768	P41586	Q9UPC5	6m1i	5	3_10	1
SCF:0000021	train_eligible	0	AC:000018	P60899	A0A8D1KNW4	I3LCB2	P36954	A0A4X1VEK9	A0A8D1AQR7	9rtt	4	11_24	1
SCF:0000022	train_eligible	0	AC:000018	P60899	A0A8D1KNW4	A0A4X1VM56	P36954	A0A4X1VEK9	Q9VEA5	9rtt	4	11_24	1
SCF:0000023	train_eligible	0	AC:000019	Q00403	Q92966	Q92759	Q00403	Q92966	Q92759	7zxe	2	3_10	1
SCF:0000024	train_eligible	0	AC:000019	Q92966	Q00403	Q9HAW0	Q92966	Q00403	Q9HAW0	7zxe	2	3_10	1
SCF:0000025	train_eligible	0	AC:000021	A4VD75	I7M6H4	I7M9J2	A4VD75	I7M6H4	I7M9J2	8bx8	2	11_24	1
SCF:0000026	train_eligible	0	AC:000022	P21082	P20979	P20504	P21082	P20979	P20504	8rqk	3	11_24	1
SCF:0000027	train_eligible	0	AC:000022	P21082	P20979	P68439	P21082	P20979	P68439	8rqk	3	11_24	1
SCF:0000028	train_eligible	0	AC:000024	P26784	P36160	P38805	P26784	P36160	P38805	7oht	13	11_24	1
SCF:0000029	train_eligible	0	AC:000024	P26784	P36160	P26321	P26784	P36160	P26321	7oht	13	11_24	1
SCF:0000030	train_eligible	0	AC:000024	P26784	P36160	P40007	P26784	P36160	P40007	7oht	13	11_24	1
SCF:0000031	train_eligible	0	AC:000024	P36160	P26784	P0C0W9	P36160	P26784	P0C0W9	7oht	13	11_24	1
SCF:0000033	train_eligible	1	AC:000029	Q9W0I7	P49735	Q9XYU1	Q7ZT47	P49735	P25205	6ray	1	11_24	0
SCF:0000034	train_eligible	0	AC:000029	Q9W0I7	P49735	Q9V461	Q7ZT47	P49735	Q9V461	6ray	1	11_24	0
SCF:0000035	train_eligible	0	AC:000029	Q9W0I7	P49735	Q9VGW6	Q7ZT47	P49735	Q9VGW6	6ray	1	11_24	0
SCF:0000041	train_eligible	0	AC:000036	O74499	P87173	O14352	O74499	P87173	O14352	6ppv	2	3_10	1
SCF:0000044	train_eligible	0	AC:000041	P39744	P43586	Q02326	P39744	P43586	Q02326	7r6k	1	11_24	0
SCF:0000045	train_eligible	0	AC:000041	P39744	P43586	P26784	P39744	P43586	P26784	7r6k	1	11_24	0
SCF:0000046	train_eligible	0	AC:000041	P43586	P39744	Q07896	P43586	P39744	Q07896	7r6k	1	11_24	0
SCF:0000047	train_eligible	0	AC:000042	A0A2K3DG79	A8J353	A8INX1	A0A2K3DG79	A8J353	A8INX1	7ekq	1	11_24	0
SCF:0000048	train_eligible	0	AC:000042	A0A2K3DG79	A8J353	A8IJ60	A0A2K3DG79	A8J353	A8IJ60	7ekq	1	11_24	0
SCF:0000049	train_eligible	0	AC:000042	A8J353	A0A2K3DG79	A8INX1	A8J353	A0A2K3DG79	A8INX1	7ekq	1	11_24	0
SCF:0000050	train_eligible	0	AC:000044	Q9TM20	Q9TM22	Q9TM21	Q8DIP0	P32974	P12239	4yuu	1	11_24	0
