triplet_id	assembly_size_stratum	ac_id	anchor	negative_partner_c	positive_partner_d	positive_source	positive_example_evidence	positive_min_heavy_a	positive_binding_assemblies	positive_distinct_pdb_count	positive_interface_status	anchor_tax_id	c_tax_id	d_tax_id	all_role_shared_tax	sequence_identity	sequence_coverage_c	sequence_coverage_d	sequence_aligned_residues	sequence_similarity_bin	domain_similarity_status	structure_similarity_status	positive_rank_for_ac_orientation	ac_structure_file	ac_chain_anchor	ac_chain_negative	ac_min_heavy_a	ac_min_cb_or_ca_a	ac_mutual_nearest	ac_structure_grade_provisional	negative_label_semantics	counterfactual_grade_provisional	training_pool_status	leakage_control_status
SCF:0000001	11_24	AC:000002	P62805	Q96GM5	Q12432	PDB_exact_pair_aggregate	8w9f-assembly1.cif.gz:G-H	2.263	3	3	repeated_exact_PDB_contact_interface_size_pending	9606	9606	559292	0	0.2989	0.5262	0.6758	271	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	9rl4-assembly1.cif.gz	B	P	57.192	63.715	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000002	11_24	AC:000002	P62805	Q96GM5	C4R7L8	PDB_exact_pair_aggregate	7xse-assembly1.cif.gz:BA-X	2.866	1	11	repeated_exact_PDB_contact_interface_size_pending	9606	9606	644223	0	0.2917	0.5126	0.6377	264	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	9rl4-assembly1.cif.gz	B	P	57.192	63.715	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000003	3_10	AC:000004	Q980U8	Q97Z84	P57766	same_assembly_bridge	2izo-assembly1.cif.gz:A-C	2.654	1	1	same_assembly_bridge_interface_pass	273057	273057	273057	1	0.2870	0.9102	0.8956	223	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	2izo-assembly1.cif.gz	A	B	9.044	15.103	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000004	3_10	AC:000006	P33332	P38261	P89102	same_assembly_bridge	5yfp-assembly1.cif.gz:A-B	2.334	2	2	same_assembly_bridge_interface_pass	559292	559292	559292	1	0.2945	0.7756	0.6014	584	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	5yfp-assembly1.cif.gz	A	H	22.497	22.545	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000005	3_10	AC:000006	P33332	P38261	P32855	PDB_exact_pair_aggregate	6vkl-assembly1.cif.gz:A-D	2.532	2	2	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.2932	0.7610	0.5380	573	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	5yfp-assembly1.cif.gz	A	H	22.497	22.545	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000006	3_10	AC:000006	P33332	P38261	Q06245	PDB_exact_pair_aggregate	5yfp-assembly1.cif.gz:A-E	2.907	2	2	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.2652	0.7410	0.6406	558	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	5yfp-assembly1.cif.gz	A	H	22.497	22.545	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000007	3_10	AC:000006	P38261	P33332	P22224	PDB_exact_pair_aggregate	5yfp-assembly1.cif.gz:F-H	2.546	2	2	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.2966	0.5022	0.7374	671	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	5yfp-assembly1.cif.gz	H	A	22.497	22.545	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000008	3_10	AC:000006	P38261	P33332	P32855	PDB_exact_pair_aggregate	5yfp-assembly1.cif.gz:D-H	2.338	2	2	repeated_exact_PDB_contact_interface_size_pending	559292	559292	559292	1	0.2883	0.5479	0.6873	732	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	5yfp-assembly1.cif.gz	H	A	22.497	22.545	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000009	11_24	AC:000011	P63272	P62487	A0A4X1VKG7	PDB_exact_pair_aggregate	7und-assembly1.cif.gz:G-Y	2.708	1	19	repeated_exact_PDB_contact_interface_size_pending	9606	9606	9823	0	1.0000	1.0000	1.0000	172	high	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	1	8xrm-assembly1.cif.gz	R	G	43.157	46.224	0	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000010	11_24	AC:000012	P20282	P21467	P12877	PDB_exact_pair_aggregate	7qh4-assembly1.cif.gz:F-QA	1.454	13	17	repeated_exact_PDB_contact_interface_size_pending	224308	224308	224308	1	0.3148	0.6506	0.6034	108	medium	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	2	8cdu-assembly1.cif.gz	M	G	32.361	35.205	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
SCF:0000011	11_24	AC:000012	P20282	P21467	P04969	PDB_exact_pair_aggregate	8cdu-assembly1.cif.gz:M-V	2.259	1	21	repeated_exact_PDB_contact_interface_size_pending	224308	224308	224308	1	0.3483	0.5361	0.6794	89	remote_sequence	pending_Pfam_or_domain_architecture_mapping	pending_Foldseek_or_TM_align	3	8cdu-assembly1.cif.gz	M	G	32.361	35.205	0	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	CF-B-provisional	pilot_candidate_pending_external_conflict_and_structure_similarity	pending_homology_structure_publication_cluster_split
