protein_a	protein_c	example_evidence	reason	details
P05756	P0CH08	8p9a-assembly1.cif.gz:O-OA	assembly_exceeds_chain_cap	chains=150
P05743	P0CX47	8p9a-assembly1.cif.gz:DA-M	assembly_exceeds_chain_cap	chains=150
Q22PJ5	Q248F8	8bqs-assembly1.cif.gz:CF-PD	assembly_exceeds_chain_cap	chains=214
I7M3P9	I7MDW5	8bqs-assembly1.cif.gz:EA-V	assembly_exceeds_chain_cap	chains=214
Q22CI1	Q22N23	8bqs-assembly1.cif.gz:OD-ZE	assembly_exceeds_chain_cap	chains=214
I7LTZ4	Q23M99	8bqs-assembly1.cif.gz:YF-ZF	assembly_exceeds_chain_cap	chains=214
Q23KE0	W7WZP1	8bqs-assembly1.cif.gz:BE-ND	assembly_exceeds_chain_cap	chains=214
I7M6S0	W7X4R4	8bqs-assembly1.cif.gz:MA-W	assembly_exceeds_chain_cap	chains=214
I7LTF1	I7MEX7	8bqs-assembly1.cif.gz:CG-XG	assembly_exceeds_chain_cap	chains=214
Q23DI3	Q23ND5	8bqs-assembly1.cif.gz:CA-X	assembly_exceeds_chain_cap	chains=214
I7LZX8	W7X4R4	8bqs-assembly1.cif.gz:EB-MA	assembly_exceeds_chain_cap	chains=214
I7MDW5	Q23DI3	8bqs-assembly1.cif.gz:CA-V	assembly_exceeds_chain_cap	chains=214
I7M8Q7	Q22N23	8bqs-assembly1.cif.gz:AG-ZG	assembly_exceeds_chain_cap	chains=214
I7LVX0	I7MFL6	8bqs-assembly1.cif.gz:K-MG	assembly_exceeds_chain_cap	chains=214
Q950Y9	Q950Z0	8bqs-assembly1.cif.gz:AA-DB	assembly_exceeds_chain_cap	chains=214
A4VDV3	Q22HD6	8bqs-assembly1.cif.gz:SB-VF	assembly_exceeds_chain_cap	chains=214
I7MFL6	W7X287	8bqs-assembly1.cif.gz:K-MF	assembly_exceeds_chain_cap	chains=214
Q950Y9	Q950Z3	8bqs-assembly1.cif.gz:DB-Y	assembly_exceeds_chain_cap	chains=214
I7M2U4	W7XCY5	8bqs-assembly1.cif.gz:BG-IF	assembly_exceeds_chain_cap	chains=214
I7MEP0	I7MJ25	8bqs-assembly1.cif.gz:B-S	assembly_exceeds_chain_cap	chains=214
Q22HD6	Q22Z32	8bqs-assembly1.cif.gz:SA-SB	assembly_exceeds_chain_cap	chains=214
Q23D87	Q23KE0	8bqs-assembly1.cif.gz:BE-KE	assembly_exceeds_chain_cap	chains=214
Q22N23	Q24F24	8bqs-assembly1.cif.gz:J-ZE	assembly_exceeds_chain_cap	chains=214
Q23DI3	W7XCY5	8bqs-assembly1.cif.gz:CA-DE	assembly_exceeds_chain_cap	chains=214
I7LZX8	Q24I09	8bqs-assembly1.cif.gz:CE-EB	assembly_exceeds_chain_cap	chains=214
I7M8Q7	Q23KE0	8bqs-assembly1.cif.gz:BE-Q	assembly_exceeds_chain_cap	chains=214
Q23KG0	W7X287	8bqs-assembly1.cif.gz:BF-MD	assembly_exceeds_chain_cap	chains=214
I7LX66	I7M8Y9	8bqs-assembly1.cif.gz:CH-YG	assembly_exceeds_chain_cap	chains=214
I7MGF9	Q23M99	8bqs-assembly1.cif.gz:LF-YF	assembly_exceeds_chain_cap	chains=214
Q23DS4	Q23KE0	8bqs-assembly1.cif.gz:BE-KD	assembly_exceeds_chain_cap	chains=214
I7MFL6	Q22CI1	8bqs-assembly1.cif.gz:K-OF	assembly_exceeds_chain_cap	chains=214
I7MI60	I7MK02	8bqs-assembly1.cif.gz:IB-KA	assembly_exceeds_chain_cap	chains=214
P0A2D5	P54700	8woe-assembly1.cif.gz:DB-QB	assembly_exceeds_chain_cap	chains=451
P0A2D5	P26462	8woe-assembly1.cif.gz:FB-UB	assembly_exceeds_chain_cap	chains=451
P0A1J9	P26462	8woe-assembly1.cif.gz:EC-UB	assembly_exceeds_chain_cap	chains=451
