pair_id	score
NG:A6NIX2|O60663	3.34781
NG:O00212|Q7L099	6.13366
NG:O00238|P01137	381.378
NG:O00238|P22003	443.058
NG:O00238|P22004	465.765
NG:O00244|Q8N668	0.0382353
NG:O00623|O75192	5.69832
NG:O00623|O96011	9.37639
NG:O00623|P56589	0.487249
NG:O00623|Q92968	196.68
NG:O00623|Q9Y5Y5	0.2533
NG:O00628|O60683	0.874613
NG:O00628|O75192	0.440882
NG:O00628|O75381	191.857
NG:O00628|O96011	0.559116
NG:O00628|P28328	0.177465
NG:O00628|P56589	1.79053
NG:O00628|Q9Y5Y5	0.650791
NG:O00716|Q8TAK5	5.68777
NG:O15116|O95777	129.478
NG:O15116|Q9Y4Y9	335.924
NG:O15304|Q92633	88.3752
NG:O15304|Q9UBY5	75
NG:O15492|P25100	0.102178
NG:O15492|P35348	0.0817682
NG:O15492|P35368	0.109387
NG:O43395|P83876	256.055
NG:O43447|Q53GS9	6.98208
NG:O43447|Q9BUQ8	107.381
NG:O43739|P10276	2.99868
NG:O60224|Q96QF0	1.25142
NG:O60224|Q9Y2D8	149.845
NG:O60683|O75192	4.45938
NG:O60683|P28328	184.287
NG:O60683|P56589	0.683498
NG:O60683|Q92968	182.609
NG:O60683|Q9Y5Y5	0.334018
NG:O60936|P62995	1.80779
NG:O60936|P63162	1.21653
NG:O60936|P84103	1.95521
NG:O60936|Q01081	0.209696
NG:O60936|Q01130	1.11153
NG:O60936|Q07955	73.6024
NG:O60936|Q08170	11.3702
NG:O60936|Q13247	15.8848
NG:O75175|P18847	2.04239
NG:O75175|Q92730	3.31404
NG:O75175|Q93096	0.422687
NG:O75190|P02533	2.94077
NG:O75190|P08670	4.88924
NG:O75190|P13647	2.86548
NG:O75190|P14136	1.61712
NG:O75190|P17661	1.19432
NG:O75192|O75381	282.967
NG:O75192|O96011	10.7958
NG:O75192|P28328	99.3275
NG:O75192|P56589	0.291129
NG:O75192|Q92968	193.576
NG:O75192|Q9Y5Y5	0.186946
NG:O75381|O96011	280.206
NG:O75446|Q06330	0.2021
NG:O75558|Q13642	2.02102
NG:O75558|Q13643	2.46936
NG:O75558|Q14192	1.53027
NG:O95983|Q9UJW3	5.87497
NG:O96011|P28328	190.448
NG:O96011|Q92968	100.55
NG:O96011|Q9Y5Y5	0.170367
NG:P00709|Q9NNX6	0.151722
NG:P00973|Q9UIS9	58.9335
NG:P01100|P35452	9.37335
NG:P01112|P28482	94.4414
NG:P01112|P45983	34.2385
NG:P01112|Q16539	71.0672
NG:P01112|Q7Z6M1	2.73885
NG:P01116|Q7L099	2.65791
NG:P01135|Q969G9	0.17246
NG:P01137|P36894	376.019
NG:P01236|P62937	2.90987
NG:P01303|P61073	0.0170455
NG:P02545|P04792	2.75722
NG:P02545|P31946	181.001
NG:P02545|P49069	0.727786
NG:P02745|Q9NPY3	2.38397
NG:P02765|Q9Y6Q1	0.164363
NG:P03973|Q9NNX6	0.0552055
NG:P04003|P25445	1.09835
NG:P04003|P25942	0.36014
NG:P04003|P29965	0.294403
NG:P04003|P48023	0.587254
NG:P04141|P26951	26.7924
NG:P05111|Q04771	148.94
NG:P05230|Q86XR8	96.026
NG:P05814|Q9NNX6	0.550929
