triplet_id	ac_id	A	C	D	pdb_assembly	complex_size_bin	core_flag	n_pdb_AC	replicated_AC	A_C_min_heavy	A_D_min_heavy	positive_source	seqid_CD	seqid_CD_bin	family_A	family_C	family_D	score_AD_PLMInteract	score_AC_PLMInteract	delta_PLMInteract	rank_correct_PLMInteract	score_AD_DSCRIPT	score_AC_DSCRIPT	score_AD_TopsyTurvy	score_AC_TopsyTurvy
SCF:0000001	AC:000002	P62805	Q96GM5	Q12432	9rl4-assembly1.cif.gz	11_24	1	5	1	57.192	2.263	PDB_exact_pair_aggregate	0.298900	20_30	P62805	Q96GM5	Q12432	0.999874	0.999897	-0.000023	0.0	0.043883	0.004209	0.724265	0.518654
SCF:0000002	AC:000002	P62805	Q96GM5	C4R7L8	9rl4-assembly1.cif.gz	11_24	1	5	1	57.192	2.866	PDB_exact_pair_aggregate	0.291700	20_30	P62805	Q96GM5	C4R7L8	0.999678	0.999897	-0.000219	0.0	0.004356	0.004209	0.204410	0.518654
SCF:0000003	AC:000004	Q980U8	Q97Z84	P57766	2izo-assembly1.cif.gz	3_10	1	1	0	9.044	2.654	same_assembly_bridge	0.287000	20_30	Q980U8	Q97Z84	P57766	0.996443	0.999834	-0.003391	0.0	0.176939	0.349593	0.737471	0.781677
SCF:0000004	AC:000006	P33332	P38261	P89102	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.334	same_assembly_bridge	0.294500	20_30	P33332	P38261	P89102	0.000625	0.001311	-0.000686	0.0	0.004176	0.004180	0.663734	0.455041
SCF:0000005	AC:000006	P33332	P38261	P32855	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.532	PDB_exact_pair_aggregate	0.293200	20_30	P33332	P38261	P32855	0.000125	0.001311	-0.001186	0.0	0.004176	0.004180	0.626459	0.455041
SCF:0000006	AC:000006	P33332	P38261	Q06245	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.907	PDB_exact_pair_aggregate	0.265200	20_30	P33332	P38261	Q06245	0.006643	0.001311	0.005332	1.0	0.004176	0.004180	0.678065	0.455041
SCF:0000007	AC:000006	P38261	P33332	P22224	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.546	PDB_exact_pair_aggregate	0.296600	20_30	P38261	P33332	P22224	0.003933	0.001311	0.002622	1.0	0.004175	0.004180	0.539283	0.455041
SCF:0000008	AC:000006	P38261	P33332	P32855	5yfp-assembly1.cif.gz	3_10	1	2	1	22.497	2.338	PDB_exact_pair_aggregate	0.288300	20_30	P38261	P33332	P32855	0.000806	0.001311	-0.000505	0.0	0.004174	0.004180	0.450937	0.455041
SCF:0000009	AC:000011	P63272	P62487	A0A4X1VKG7	8xrm-assembly1.cif.gz	11_24	1	2	1	43.157	2.708	PDB_exact_pair_aggregate	1.000000	ge50	P63272	A0A4X1VKG7	A0A4X1VKG7	0.999363	0.798163	0.201200	1.0	0.148419	0.148419	0.776429	0.776430
SCF:0000010	AC:000012	P20282	P21467	P12877	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	1.454	PDB_exact_pair_aggregate	0.314800	30_40	B7IA17	Q839E7	P62399	0.999940	0.999917	0.000023	1.0	0.649609	0.871991	0.406304	0.450066
SCF:0000011	AC:000012	P20282	P21467	P04969	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	2.259	PDB_exact_pair_aggregate	0.348300	30_40	B7IA17	Q839E7	Q50296	0.999940	0.999917	0.000023	1.0	0.705609	0.871991	0.165405	0.450066
SCF:0000012	AC:000012	P21467	P20282	P21470	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	4.210	PDB_exact_pair_aggregate	0.278300	20_30	Q839E7	B7IA17	A0A1M6R974	0.999915	0.999917	-0.000002	0.0	0.746439	0.871991	0.792417	0.450066
SCF:0000013	AC:000012	P21467	P20282	P42060	8cdu-assembly1.cif.gz	11_24	1	22	1	32.361	3.585	PDB_exact_pair_aggregate	0.264400	20_30	Q839E7	B7IA17	P42060	0.999911	0.999917	-0.000006	0.0	0.742761	0.871991	0.229698	0.450066
SCF:0000014	AC:000013	P59768	P41586	Q16602	6m1i-assembly1.cif.gz	3_10	1	5	1	12.357	2.483	PDB_exact_pair_aggregate	0.345500	30_40	P59768	P41586	Q16602	0.999928	0.999854	0.000074	1.0	0.017726	0.005116	0.785997	0.771662
SCF:0000015	AC:000013	P59768	P41586	P28223	6m1i-assembly1.cif.gz	3_10	1	5	1	12.357	2.220	PDB_exact_pair_aggregate	0.315600	30_40	P59768	P41586	P28223	0.999911	0.999854	0.000057	1.0	0.522557	0.005116	0.867291	0.771662
SCF:0000016	AC:000013	P59768	P41586	Q9UPC5	6m1i-assembly1.cif.gz	3_10	1	5	1	12.357	2.390	PDB_exact_pair_aggregate	0.282900	20_30	P59768	P41586	Q9UPC5	0.999910	0.999854	0.000056	1.0	0.071350	0.005116	0.884524	0.771662
SCF:0000017	AC:000014	A8ITV3	P12154	P09144	7zq9-assembly1.cif.gz	11_24	1	7	1	45.351	2.747	same_assembly_bridge	0.497000	40_50	A8ITV3	A0T0M8	T1RIQ1	0.999742	0.999745	-0.000003	0.0	0.005322	0.005678	0.035674	0.110685
