sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score	evidence_semantics	accession_a	accession_b	mapping_status_a	mapping_status_b	pair_mapping_status	reliable_reported_taxon_mapping	manual_verified_negative	direct_assay_negative	sequence_available	len_a	len_b	sequence_source_a	sequence_source_b	pair_tokens	pair_fits_1024	human_human	exact_negatome_pair_overlap	exact_string_positive_overlap	negative_score_id	score
1	FGF13	14168	10090	IkappaBalpha	18035	10090	no_binding	SPR	SPR	In addition, SPR (surface plasmon resonance) assay demonstrated that IkappaBalpha does not interact with FGF13 (Figure S6H).	Consistent with this notion, we demonstrated that the interaction between FGF13 and p65 was not changed in response to specific IkappaBalpha downregulated or overexpressed NRCMs both under basal and stressful conditions (Figures S6F and S6G).	These data confirmed that FGF13 interacted with p65 via an IkappaB-independent manner.	33089113	PMC7567043	FGF13 Is a Novel Regulator of NF-kappaB and Potentiates Pathological Cardiac Hypertrophy	CLAIM:000318702:0-1	PAIR2:GENE:14168|GENE:18035	CLAIM:000318702	31b8cbb3a97ad9e9ad7f0e3f8b5e8cec1449949f	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	276.0	biophysical_direct	P70377	Q9Z1E3	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	245	314	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	562	1	0	0	0	PN6:0001:negative	0.000168
3	Wdr5	140858	10090	Hdac2	15182	10090	no_binding	pull_down	pull-down	Wdr5 does not bind directly to Hdac1 or Hdac2 in high or low salt wash conditions (Supplementary Figs.	7).	2c and 9).	28959017	PMC5620087	The WHHERE coactivator complex is required for retinoic acid-dependent regulation of embryonic symmetry	CLAIM:000331201:0-1	PAIR2:GENE:140858|GENE:15182	CLAIM:000331201	05472351e9aafae4b36141e1fddbb2e418f4e9c7	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	242.0	other_direct_binding	P61965	P70288	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	334	488	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	825	1	0	0	0	PN6:0003:negative	0.999581
4	Wdr5	140858	10090	Hdac1	433759	10090	no_binding	pull_down	pull-down	Wdr5 does not bind directly to Hdac1 or Hdac2 in high or low salt wash conditions (Supplementary Figs.	7).	2c and 9).	28959017	PMC5620087	The WHHERE coactivator complex is required for retinoic acid-dependent regulation of embryonic symmetry	CLAIM:000331200:0-1	PAIR2:GENE:140858|GENE:433759	CLAIM:000331200	5e7012c00fdb140abc6714e47f251b684df43baa	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	242.0	other_direct_binding	P61965	O09106	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	334	482	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	819	1	0	0	0	PN6:0004:negative	0.999641
5	PI3Kalpha	5290	9606	RIT1	6016	9606	no_binding	ITC	ITC	ERAS lacked sufficient solubility for ITC experiments, and our inclusion of RIT1 corroborated previous predictions of no binding to PI3Kalpha (Supplementary Fig.	1B).	1A).	39788953	PMC11718114	Structural insights into isoform-specific RAS-PI3Kalpha interactions and the role of RAS in PI3Kalpha activation	CLAIM:000336067:0-1	PAIR2:GENE:5290|GENE:6016	CLAIM:000336067	6fa321e4219d0d11c3f06c432b0f4ec42e0553a1	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	1	0	1	0	0	240.0	biophysical_direct	P42336	Q92963	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	1068	219	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1290	0	1	0	0	PN6:0005:negative	0.016756
6	MTP	4547	9606	tPA	5327	9606	no_binding	pull_down	pull-down	By contrast, purified tPA did not interact with solid-phase immobilized MTP (Fig.	S9 and S10).	4B).	37651538	PMC10697821	Intracellular tPA-PAI-1 interaction determines VLDL assembly in hepatocytes	CLAIM:000205633:0-1	PAIR2:GENE:4547|GENE:5327	CLAIM:000205633	b21e4aeb9c88f7aa7bc58573e53f01da8e77606a	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	232.0	other_direct_binding	P55157	P00750	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	894	562	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1459	0	1	0	0	PN6:0006:negative	0.045289
7	CD147ECD	682	9606	TFF1	7031	9606	no_binding	SPR	SPR	TFF1 and TFF2, the other two members of the trefoil factor family that were used as controls in the SPR assay, did not bind to CD147ECD (Supplementary Fig.	1d).	5d), indicating that CD147 specifically interacts with TFF3.	34262017	PMC8280106	CD147 receptor is essential for TFF3-mediated signaling regulating colorectal cancer progression	CLAIM:000201758:0-1	PAIR2:GENE:682|GENE:7031	CLAIM:000201758	80e713b4e75d0eef5fb21e9c360db217b47d49f4	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	212.0	biophysical_direct	P35613	P04155	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	385	84	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	472	1	1	0	0	PN6:0007:negative	7.7e-05
9	cullin	143384	9606	KCTD15BTB	79047	9606	no_binding	ITC	ITC	The negligible heat exchanges associated with the titration of KCTD12BTB and KCTD15BTB with this cullin suggest that no binding occurs (Fig 3C and 3D).	The heat exchanges upon titration of KCTD6BTB, KCTD11BTB, KCTD12BTB, and KCTD15BTB with Cul3NTD are shown in Fig 3.	This observation is in line with the gel filtration analyses.	25974686	PMC4431850	Cullin 3 Recognition Is Not a Universal Property among KCTD Proteins	CLAIM:000040295:0-1	PAIR2:GENE:143384|GENE:79047	CLAIM:000040295	3c959f5b9efe69916343f02d18bfc229daadd568	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	208.0	biophysical_direct	Q86Y37	Q96SI1	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	369	283	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	655	1	1	0	0	PN6:0009:negative	7.2e-05
12	ALK7	269275	10090	Nodal	4838	9606	no_binding	SPR	SPR	On the other hand, the putative type I Nodal receptor ALK7, which we obtained commercially, does not bind Nodal as tested and may not directly contribute to Nodal signaling (Fig.	2C, D), but is consistent with the observation that many TGFss family ligands interact with type I receptors with intermediate or low affinities.	2H).	25603319	PMC4300205	Human Cerberus Prevents Nodal-Receptor Binding, Inhibits Nodal Signaling, and Suppresses Nodal-Mediated Phenotypes	CLAIM:000205246:0-1	PAIR2:GENE:269275|GENE:4838	CLAIM:000205246	b5c3d34b318c1230095ee97a085049630113bab2	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	186.0	biophysical_direct	Q8K348	Q96S42	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	493	347	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	843	1	0	0	0	PN6:0012:negative	0.274022
13	FGFR1	2260	9606	PlGF	5228	9606	no_binding	SPR	SPR	VEGF-B binds to FGFR1 and competes with FGF2 for FGFR1 binding. a-c Surface plasmon resonance (SPR) results showing VEGF-B binding to FGFR1 with a KD value (17 nM, a) similar to that for FGF2 (16 nM, b), whereas PlGF, another VEGFR1-binding member of the VEGF family, does not bind to FGFR1 (c).		The lines from bottom to the top represent different concentrations of FGFR1-Fc: 12.5, 25, 50, 100, 200, and 400 nM, respectively. d, e SPR results showing VEGF-B binding to FGFR1 DII-III with a KD value (49 nM, d) similar to that of FGF2 (63 nM, e).	37591843	PMC10435562	VEGF-B prevents excessive angiogenesis by inhibiting FGF2/FGFR1 pathway	CLAIM:000110180:0-1	PAIR2:GENE:2260|GENE:5228	CLAIM:000110180	b84be28345e07e950c1ff68b1747848f4a6bb25d	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	186.0	biophysical_direct	P11362	P49763	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	822	221	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1046	0	1	0	0	PN6:0013:negative	0.768964
14	LRP	4035	9606	PAI-2	5055	9606	no_interaction	SPR	ligand binding assays and surface plasmon resonance	However, unlike PAI-1, no interaction was observed between LRP and PAI-2 in either the stressed or the relaxed conformation.	This interaction was maintained in the presence of uPAR, confirming the validity of this interaction at the cell surface.	This suggests that the uPA-PAI-2-LRP interaction is mediated by site(s) within the uPA molecule alone.	16459332		The urokinase/PAI-2 complex: a new high affinity ligand for the endocytosis receptor low density lipoprotein receptor-related protein.	CLAIM:000207456:0-1	PAIR2:GENE:4035|GENE:5055	CLAIM:000207456	d6dc91428fe9cef2f0e2c8776aee8d694eb86a94	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	184.0	biophysical_direct	Q07954	P05120	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	4544	415	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	4962	0	1	0	0	PN6:0014:negative	0.000797
