ac_id	A_uniprot	C_uniprot	taxon	pdb_id	complex_size	complex_size_bin	n_pdb	n_noncontact_assemblies	coordinate_qc	coverage_A	coverage_C	min_distance	direct_positive_conflict	structure_grade	core_flag	gt24_flag	replicated_flag	has_triplet	mmseqs_family_A	mmseqs_family_C	negative_label_semantics
AC:000001	P46217	Q4JAY4	330779	7oqy	14	11_24	3	3	coordinate_verified_open_wedge	1.0	1.0083	10.19	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	P46217	Q4JAY4	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000002	P62805	Q96GM5	9606	9rl4	20	11_24	5	5	coordinate_verified_open_wedge	0.7961	0.7398	57.192	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	P62805	Q96GM5	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000003	P22685	Q551M2	44689	6qkl	10	3_10	3	3	coordinate_verified_open_wedge	0.6066	1.0246	10.876	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	P22685		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000006	P33332	P38261	559292	5yfp	8	3_10	2	2	coordinate_verified_open_wedge	0.503	0.6879	22.497	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P33332	P38261	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000008	A0QU24	A0QU35	246196	8e9i	15	11_24	3	3	coordinate_verified_open_wedge	1.1739	0.9946	38.367	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	A0QU24		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000010	A0T0U5	A0T0V1	35128	8xls	17	11_24	3	3	coordinate_verified_open_wedge	0.5135	0.7317	37.541	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0		Q55329	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000011	P62487	P63272	9606	8xrm	16	11_24	2	2	coordinate_verified_open_wedge	0.9942	0.9915	43.157	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A0A4X1VKG7	P63272	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000012	P20282	P21467	224308	8cdu	20	11_24	22	22	coordinate_verified_open_wedge	0.405	0.9518	32.361	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	B7IA17	Q839E7	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000013	P41586	P59768	9606	6m1i	6	3_10	5	5	coordinate_verified_open_wedge	0.7543	0.8028	12.357	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	P41586	P59768	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000014	A8ITV3	P12154	3055	7zq9	24	11_24	7	7	coordinate_verified_open_wedge	0.8732	0.988	45.351	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A8ITV3	A0T0M8	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000016	Q86VP6	Q96GG9	9606	8or3	6	3_10	2	2	coordinate_verified_open_wedge	0.9293	0.6448	20.844	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	Q86VP6	Q96GG9	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000017	P53803	Q92966	9606	9fsp	23	11_24	5	5	coordinate_verified_open_wedge	0.7931	0.9367	32.645	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	A0A4X1TRS6	Q92966	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000018	A0A8D1KNW4	P60899	9823	9rtt	22	11_24	4	4	coordinate_verified_open_wedge	0.9213	0.376	56.879	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A0A4X1VEK9	P36954	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000019	Q00403	Q92966	9606	7zxe	8	3_10	2	2	coordinate_verified_open_wedge	0.6361	0.8881	12.565	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	Q00403	Q92966	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000020	D5AQG8	D5AQH2	272942	6tg9	8	3_10	2	2	coordinate_verified_open_wedge	0.9718	0.9867	40.89	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000021	A4VD75	I7M6H4	312017	8bx8	18	11_24	2	2	coordinate_verified_open_wedge	0.8934	0.947	9.893	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	A4VD75	I7M6H4	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000022	P20979	P21082	10249	8rqk	15	11_24	3	3	coordinate_verified_open_wedge	0.7168	0.7181	18.169	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P20979	P21082	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000023	C4R0E6	C4R1V1	644223	8jh2	23	11_24	25	25	coordinate_verified_open_wedge	0.8947	1.0839	48.506	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	C4R0E6	A0A4X1VEK9	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000024	P26784	P36160	559292	7oht	24	11_24	13	13	coordinate_verified_open_wedge	0.5829	0.7645	28.542	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P26784	P36160	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000026	P13165	P69416	4513	7ew6	15	11_24	2	2	coordinate_verified_open_wedge	1.1667	1.0	30.76	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	E9NPX1	A0A4V8H005	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000027	V5V9F4	V5V9K5	470	7d08	12	11_24	5	5	coordinate_verified_open_wedge	0.9922	1.0	11.138	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000028	Q24I09	W7XBF5	312017	8b6g	15	11_24	4	4	coordinate_verified_open_wedge	0.9969	0.9888	37.022	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	Q24I09	W7XBF5	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000030	P00428	P04038	9913	3abk	13	11_24	91	133	coordinate_verified_open_wedge	0.7597	0.973	17.538	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0		P04038	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000031	P06899	P52435	9606	8xrj	20	11_24	2	2	coordinate_verified_open_wedge	0.7381	0.9829	37.133	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	O23629		assembly_context_direct_noncontact_not_universal_nonbinder
