triplet_id	ac_id	A	C	D	complex_size_bin	n_pdb_AC	replicated_AC	A_C_min_heavy	A_D_min_heavy	positive_source	seqid_CD	seqid_CD_bin	negative_pdb	negative_pdb_release	positive_example_pdb	positive_example_release	positive_interface_status	positive_rank	counterfactual_grade	family_split	len_A	len_C	len_D	tokens_AC	tokens_AD	max_pair_tokens	bucket	cutoff_scope
SCF:0002277	AC:001972	I7M8B9	Q22XT1	Q22VV9	3_10	6	1	16.660	2.531	PDB_exact_pair_aggregate	0.299000	20_30	8XYP	2025-07-23	9U92	2025-11-05	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	295	324	360	619	655	655	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001908	AC:001644	D0FXX2	A0A1C8XRM6	D0FXY3	11_24	4	1	31.339	2.285	PDB_exact_pair_aggregate	0.328900	30_40	9GNW	2025-09-17	7PI0	2022-08-17	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	protein_unseen_family_seen	46	508	461	554	507	554	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001223	AC:001023	Q00914	A8ITV3	Q05093	11_24	7	1	40.656	2.558	PDB_exact_pair_aggregate	0.491500	40_50	7ZQ9	2022-11-23	7O01	2021-12-15	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_family	81	213	228	294	309	309	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0003053	AC:002708	Q8N0S6	Q13352	Q9BS16	11_24	3	1	21.155	2.298	PDB_exact_pair_aggregate	0.307200	30_40	7XHN	2023-01-25	7XHO	2022-12-14	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	train_eligible	344	177	269	521	613	613	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000063	AC:000052	Q13426	Q9NP87	Q9UGP5	11_24	2	1	44.251	2.601	PDB_exact_pair_aggregate	0.357500	30_40	9N81	2025-04-23	9GD7	2025-08-13	single_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	336	494	575	830	911	911	1024	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0003289	AC:002981	O15527	P0C0S8	P62807	3_10	2	1	12.453	7.787	same_assembly_bridge	0.385500	30_40	8VWV	2024-10-30	8VWV	2024-10-30	same_assembly_bridge_small_interface	1	CF-B-provisional	dropped_mixed_protein	345	130	126	475	471	475	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0002992	AC:002652	Q861F7	P04234	P09693	11_24	2	1	21.002	2.726	same_assembly_bridge	0.427700	40_50	8ES8	2023-05-03	8ES8	2023-05-03	same_assembly_bridge_interface_pass	1	CF-B-provisional	train_eligible	341	171	182	512	523	523	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000456	AC:000346	E9NPX1	I0Z7A6	I0YQ46	11_24	2	1	37.002	3.267	PDB_exact_pair_aggregate	0.506700	ge50	9KQQ	2025-02-26	9KQQ	2025-02-26	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	dropped_mixed_family	36	272	255	308	291	308	512	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001179	AC:000986	A0A125YXT1	S8F943	A0A125YMK3	11_24	2	1	12.736	3.073	PDB_exact_pair_aggregate	0.353400	30_40	9FI8	2024-12-11	9FI8	2024-12-11	repeated_exact_PDB_contact_interface_size_pending	1	CF-B-provisional	family_unseen	235	510	302	745	537	745	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0000875	AC:000723	F1SDI2	F1RPD2	A0A8D0PK14	11_24	20	1	11.502	2.793	same_assembly_bridge	0.291900	20_30	8ZOW	2024-12-25	8ZOW	2024-12-25	same_assembly_bridge_interface_pass	1	CF-B-provisional	family_unseen	56	453	480	509	536	536	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
SCF:0001025	AC:000841	P9WPV3	P9WPV1	P9WPV5	11_24	3	1	11.127	2.876	same_assembly_bridge	0.263600	20_30	8JR0	2024-05-01	8JR0	2024-05-01	same_assembly_bridge_small_interface	1	CF-B-provisional	family_unseen	446	121	171	567	617	617	768	negative_and_positive_example_PDB_post_2021-09-30; exact-pair-history audit pending
