unified_triplet_id	evidence_route	negative_audit_label	negative_provisional_tier	structure_assembly_size_stratum	sequence_similarity_tier	sequence_identity_pct	min_tm	tmvec_proxy_score	negative_construct_or_isoform_scope_flag	ac_pair_key	ad_pair_key	sequence_complete	missing_roles	pilot_stratum	sampling_priority
CFPPI:LIT:000415509	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		homologous_ge30_mincov50	43.700	0.3857		0	P35917|Q00731	P35918|Q00731	1			
CFPPI:LIT:001178285	protnegdb_literature_noninteraction	strict	positive_conflict_review		homologous_ge30_mincov50	40.700	0.2093		1	P27918|Q03591	P27918|Q92496	1			
CFPPI:LIT:000678467	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	25.400	0.4852		1	P31749|Q13309	P06493|Q13309	1			
CFPPI:LIT:001938033	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	58.900	0.4498		0	P46940|P60953	P60953|Q13576	1			
CFPPI:LIT:001050723	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	55.800	0.4849		0	Q9HD42|Q9UN37	Q7LBR1|Q9UN37	1			
CFPPI:LIT:000558949	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		high_ge50_mincov70	64.200	0.4413		0	P00533|P22455	P00533|P22607	1			
CFPPI:LIT:000646246	protnegdb_literature_noninteraction	broad	positive_conflict_review		near_identical_ge90_mincov80	94.100	0.4816		1	P04626|P29353	G3V8S2|P04626	1			
CFPPI:LIT:000481175	protnegdb_literature_noninteraction	strict	positive_conflict_review		high_ge50_mincov70	86.600	0.4570		1	O88351|Q9Y6K9	O88351|O88522	1			
CFPPI:LIT:000150912	protnegdb_literature_noninteraction	broad	entity_mapping_review		homologous_ge30_mincov50	36.300	0.3862		1	P46937|P97471	P46937|Q15797	1			
CFPPI:LIT:001736097	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	86.600	0.4570		1	Q96EP0|Q9Y6K9	O88522|Q96EP0	1			
CFPPI:LIT:001939116	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	30.000	0.4584		0	P06493|P20248	P20248|Q99640	1			
CFPPI:LIT:001894017	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.500	0.4566		1	P25942|Q12933	P25942|Q9Y4K3	1			
CFPPI:LIT:000051141	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	34.100	0.2136		1	Q96CV9|Q9UHD2	Q9UHD2|Q9Y6K9	1			
CFPPI:LIT:000778130	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	35.100	0.4588		1	P27512|P39429	P39429|Q80WM9	1			
CFPPI:LIT:001815594	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	31.600	0.4415		1	P19793|P48552	P03372|P48552	1			
CFPPI:LIT:000336557	protnegdb_literature_noninteraction	strict	silver_candidate		moderate_ge20_mincov40	25.200	0.2302		0	P30561|Q61079	P30561|P53762	1			
CFPPI:LIT:000150021	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	29.900	0.4449		1	P46937|Q16539	P46937|Q5EG47	1			
CFPPI:LIT:000868086	protnegdb_literature_noninteraction	strict	method_recovery		moderate_ge20_mincov40	25.200	0.4537		0	P02751|P56199	P02751|P06756	1			
CFPPI:LIT:000622546	protnegdb_literature_noninteraction	strict	entity_mapping_review		near_identical_ge90_mincov80	90.000	0.4931		0	P04202|P17813	P01137|P17813	1			
CFPPI:LIT:001841614	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	30.500	0.4783		1	P12931|P22681	P22681|P43405	1			
CFPPI:LIT:000341248	protnegdb_literature_noninteraction	broad	scope_or_evidence_review		moderate_ge20_mincov40	22.300	0.2433		1	P10636|Q00623	P02649|P10636	1			
CFPPI:LIT:001057224	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	29.900	0.4375		0	P06858|Q9Y5C1	P06858|Q9BY76	1			
CFPPI:LIT:000748167	protnegdb_literature_noninteraction	strict	method_recovery		homologous_ge30_mincov50	37.000	0.3616		0	P50549|P84022	P50549|Q13485	1			
CFPPI:LIT:001369624	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	24.300	0.3028		1	P04637|P25445	P04637|Q92956	1			
CFPPI:LIT:000088128	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.300	0.4658		0	P20248|P24941	P20248|Q99640	1			
CFPPI:LIT:001390406	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.700	0.3922		1	Q13485|Q14653	Q13485|Q15306	1			
CFPPI:LIT:000085872	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	30.700	0.4174		1	P24941|Q08999	Q08999|Q9Y463	1			
CFPPI:LIT:000424651	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	21.400	0.4722		0	P45985|Q16539	Q16539|Q9HBH9	1			
CFPPI:LIT:000740980	protnegdb_literature_noninteraction	strict	positive_conflict_review		moderate_ge20_mincov40	28.000	0.4619		1	P03372|Q14994	O95718|P03372	1			
CFPPI:LIT:001085865	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	28.400	0.3831		1	P06213|P62993	P06213|P46108	1			
CFPPI:LIT:001585936	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	33.000	0.3485		1	O15151|P62913	P62913|Q00987	1			
CFPPI:LIT:000329585	protnegdb_literature_noninteraction	broad	positive_conflict_review		moderate_ge20_mincov40	24.200	0.3121		1	P08134|Q96PY5	O08808|P08134	1			
CFPPI:LIT:001174430	protnegdb_literature_noninteraction	broad	entity_mapping_review		moderate_ge20_mincov40	24.700	0.4892		0	P02743|P08603	P08603|P26022	1			
CFPPI:LIT:001494558	protnegdb_literature_noninteraction	broad	entity_mapping_review		near_identical_ge90_mincov80	90.600	0.2504		1	P70039|Q5FWN0	P70039|Q9YGY0	1			
CFPPI:LIT:001687995	protnegdb_literature_noninteraction	broad	positive_conflict_review		homologous_ge30_mincov50	37.900	0.4561		1	P00749|P05121	P00750|P05121	1			
CFPPI:LIT:000807198	protnegdb_literature_noninteraction	broad	positive_conflict_review		high_ge50_mincov70	71.700	0.4583		1	P21802|Q06124	P11362|Q06124	1			
