directed_pair_id,score
SCF:0000001|AC,0.928606
SCF:0000001|AD,0.968988
SCF:0000002|AC,0.928606
SCF:0000002|AD,0.921044
SCF:0000004|AC,0.621057
SCF:0000004|AD,0.999016
SCF:0000005|AC,0.621057
SCF:0000005|AD,0.998128
SCF:0000006|AC,0.621057
SCF:0000006|AD,0.999035
SCF:0000007|AC,0.033961
SCF:0000007|AD,0.989307
SCF:0000008|AC,0.033961
SCF:0000008|AD,0.802058
SCF:0000009|AC,0.998580
SCF:0000009|AD,0.998580
SCF:0000014|AC,0.989680
SCF:0000014|AD,0.996621
SCF:0000015|AC,0.989680
SCF:0000015|AD,0.990228
SCF:0000016|AC,0.989680
SCF:0000016|AD,0.980152
SCF:0000021|AC,0.499364
SCF:0000021|AD,0.810945
SCF:0000022|AC,0.499364
SCF:0000022|AD,0.886204
SCF:0000023|AC,0.998836
SCF:0000023|AD,0.996137
SCF:0000024|AC,0.998531
SCF:0000024|AD,0.994732
SCF:0000025|AC,0.141936
SCF:0000025|AD,0.996852
SCF:0000026|AC,0.005407
SCF:0000026|AD,0.984146
SCF:0000027|AC,0.005407
SCF:0000027|AD,0.987904
SCF:0000028|AC,0.831180
SCF:0000028|AD,0.855634
SCF:0000029|AC,0.831180
SCF:0000029|AD,0.885614
SCF:0000030|AC,0.831180
SCF:0000030|AD,0.881698
SCF:0000031|AC,0.906852
SCF:0000031|AD,0.928306
SCF:0000033|AC,0.159732
SCF:0000033|AD,0.931504
SCF:0000034|AC,0.159732
SCF:0000034|AD,0.981412
SCF:0000035|AC,0.159732
SCF:0000035|AD,0.996488
SCF:0000041|AC,0.977665
SCF:0000041|AD,0.991816
SCF:0000044|AC,0.975083
SCF:0000044|AD,0.995612
SCF:0000045|AC,0.975083
SCF:0000045|AD,0.972254
SCF:0000046|AC,0.978140
SCF:0000046|AD,0.970010
SCF:0000047|AC,0.010626
SCF:0000047|AD,0.995010
SCF:0000048|AC,0.010626
SCF:0000048|AD,0.987090
SCF:0000049|AC,0.029248
SCF:0000049|AD,0.995690
SCF:0000050|AC,0.691632
SCF:0000050|AD,0.938287
SCF:0000052|AC,0.393704
SCF:0000052|AD,0.796173
SCF:0000053|AC,0.428396
SCF:0000053|AD,0.912248
