ac_id	protein_a	protein_c	qid_a	qid_c	family_a	family_c	pdb_id	assembly_id	tax_id	score	len_a	len_c	pair_tokens	truncated	train_pair	n_train_proteins	core_flag	assembly_size_stratum	num_protein_chains	min_heavy	min_cb	n_pdb	kmer_jaccard	human	bridge_contact_strength	train_identity_a	train_identity_c	train_familiarity	familiarity_bin	proximity_bin	association_class	association_plus
AC:000001	P46217	Q4JAY4	Q68bf4e07fa3553eedeca73705354f09c41ef2dff	Qe85cac621fc0ff72f864277041914e36d74d0995	P46217	Q4JAY4	7oqy	1	330779	0.999832	90	121	214	0	0	0	1	11_24	14	10.19	18.287	3	0.025	0	37	47.3	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000003	P22685	Q551M2	Qbdf0c59686c92bb600adcba21caeac41fd1ca343	Qe2101373931c51a0f9f99385cbc4e789e4a5745a	P22685	Q551M2	6qkl	1	44689	0.999868	305	244	552	0	0	0	1	3_10	10	10.876	14.572	3	0.03	0	0	48.5	64.3	48.5	40-60	8-15 A	no_recorded_association	0
AC:000004	Q97Z84	Q980U8	Q3911a5a78fa8e6f3ca3fcb4859fd2af6d1fd385d	Q3ae99eb6fa4d0a6e32ca7e6ad0d019124690789f	Q97Z84	Q980U8	2izo	1	273057	0.999834	245	349	597	0	0	0	1	3_10	3	9.044	15.103	1	0.031539889	0	44	0.0	39.4	0.0	0-20	8-15 A	no_recorded_association	0
AC:000005	Q72GR8	Q72GR9	Qf4615b83f4308bed5494b97e42c5668ce11e95c7	Qb60662ce426ef127a483e27380d18c71209096bd	Q72GR8	Q72GR9	4o9u	1	262724	0.011057	375	100	478	0	0	0	1	3_10	6	31.429	33.877	1	0.028436019	0	57	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000007	Q8RGE0	Q8RGE3	Q4a3b7e95d95413cbb6e7a3e3cad15cabee400e63	Q268bdb53784dd49186df5b4add4e2ce49f3fe5d1	Q8RGE0	Q8RGE3	6q45	1	190304	0.999108	500	134	637	0	0	0	1	3_10	8	14.973	18.462	1	0.02044293	0	30	63.0	0.0	0.0	0-20	8-15 A	no_recorded_association	0
AC:000008	A0QU24	A0QU35	Q8c787118bd77e914dcea02e9926e1416358e5075	Q20230164683256f43333be246373cd05856c7e80	A0QU24	A0QU35	8e9i	1	246196	0.036595	529	184	716	0	0	0	1	11_24	15	38.367	44.017	3	0.045075125	0	4	29.8	53.7	29.8	20-40	15-40 A	no_recorded_association	0
AC:000009	A0A9R0JVI6	P11705	Q643464b5e0c1c538f16afff95da5b6f7ca34511c	Q471ca52cb5359b73d1910562bd2bf0b4a287d15e	A0A9R0JVI6	P11705	8xzv	1	3562	0.000131	284	677	964	0	0	0	1	11_24	19	53.418	55.415	1	0.028153153	0	31	36.8	28.0	28.0	20-40	>=40 A	no_recorded_association	0
AC:000010	A0T0U5	A0T0V1	Qb4766658e89815b27eaf4b2258e85baf5a71c4b4	Qd20c2b34e6029c562654b0842e38e38e63c7d62b	A0T0U5	Q55329	8xls	1	35128	0.875311	148	41	192	0	0	0	1	11_24	17	37.541	41.44	3	0.022857143	0	29	0.0	0.0	0.0	0-20	15-40 A	no_recorded_association	0
AC:000011	P62487	P63272	Q32d9c8c1eba14aa2c5a2fd1ce34b8e8b0bfc11ab	Q773f8cbbc9534914bf9c843e454296222240c131	A0A4X1VKG7	P63272	8xrm	1	9606	0.798163	172	117	292	0	0	2	1	11_24	16	43.157	46.224	2	0.0035842294	1	47	100.0	100.0	100.0	80-100	>=40 A	no_recorded_association	0
AC:000012	P20282	P21467	Q4fd99b1de32ac89619b924eae8d9a2244fba229d	Q7500ffa5e4b461cdcb78be928592e2e0826fd554	B7IA17	Q839E7	8cdu	1	224308	0.999917	121	166	290	0	0	0	1	11_24	20	32.361	35.205	22	0.022058824	0	0	26.5	32.4	26.5	20-40	15-40 A	no_recorded_association	0
