pair_id	score
NG:A6NIX2|O60663	0.69076651
NG:O00212|Q7L099	0.46368350
NG:O00238|P01137	0.50021605
NG:O00238|P22003	0.54519326
NG:O00238|P22004	0.44128341
NG:O00244|Q8N668	0.59736061
NG:O00623|O75192	0.85529326
NG:O00623|O96011	0.82206428
NG:O00623|P56589	0.80970931
NG:O00623|Q92968	0.80741832
NG:O00623|Q9Y5Y5	0.92919708
NG:O00628|O60683	0.25871482
NG:O00628|O75192	0.31809643
NG:O00628|O75381	0.39764500
NG:O00628|O96011	0.31722206
NG:O00628|P28328	0.41276674
NG:O00628|P56589	0.32551502
NG:O00628|Q9Y5Y5	0.27199838
NG:O00716|Q8TAK5	0.57361186
NG:O15116|O95777	0.89684487
NG:O15116|Q9Y4Y9	0.90014783
NG:O15304|Q92633	0.39757315
NG:O15304|Q9UBY5	0.34089635
NG:O15492|P25100	0.37752115
NG:O15492|P35348	0.57587385
NG:O15492|P35368	0.46567123
NG:O43395|P83876	0.74056159
NG:O43447|Q53GS9	0.31277123
NG:O43447|Q9BUQ8	0.28507897
NG:O43739|P10276	0.47125971
NG:O60224|Q96QF0	0.38238390
NG:O60224|Q9Y2D8	0.49325353
NG:O60683|O75192	0.71900173
NG:O60683|P28328	0.89121684
NG:O60683|P56589	0.69382754
NG:O60683|Q92968	0.57494825
NG:O60683|Q9Y5Y5	0.84881396
NG:O60936|P62995	0.47047914
NG:O60936|P63162	0.61835229
NG:O60936|P84103	0.42843141
NG:O60936|Q01081	0.43200398
NG:O60936|Q01130	0.34699551
NG:O60936|Q07955	0.49232743
NG:O60936|Q08170	0.43897891
NG:O60936|Q13247	0.53799592
NG:O75175|P18847	0.65727271
NG:O75175|Q92730	0.24166078
NG:O75175|Q93096	0.42474671
NG:O75190|P02533	0.45519653
NG:O75190|P08670	0.53047144
NG:O75190|P13647	0.38782621
NG:O75190|P14136	0.55234250
NG:O75190|P17661	0.50868721
NG:O75192|O75381	0.60805542
NG:O75192|O96011	0.84930119
NG:O75192|P28328	0.76547113
NG:O75192|P56589	0.79937771
NG:O75192|Q92968	0.74111274
NG:O75192|Q9Y5Y5	0.94920680
NG:O75381|O96011	0.52820939
NG:O75446|Q06330	0.60778889
NG:O75558|Q13642	0.23642149
NG:O75558|Q13643	0.28455364
NG:O75558|Q14192	0.19075227
NG:O95983|Q9UJW3	0.46750833
NG:O96011|P28328	0.75090775
NG:O96011|Q92968	0.70745161
NG:O96011|Q9Y5Y5	0.91232830
NG:P00709|Q9NNX6	0.64494027
NG:P00973|Q9UIS9	0.68620026
NG:P01100|P35452	0.88580311
NG:P01112|P28482	0.34641746
NG:P01112|P45983	0.43944642
NG:P01112|Q16539	0.44417979
