ac_id	A_uniprot	C_uniprot	taxon	pdb_id	complex_size	complex_size_bin	n_pdb	n_noncontact_assemblies	coordinate_qc	coverage_A	coverage_C	min_distance	direct_positive_conflict	structure_grade	core_flag	gt24_flag	replicated_flag	has_triplet	mmseqs_family_A	mmseqs_family_C	negative_label_semantics
AC:000001	P46217	Q4JAY4	330779	7oqy	14	11_24	3	3	coordinate_verified_open_wedge	1.0000	1.0083	10.190	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	P46217	Q4JAY4	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000002	P62805	Q96GM5	9606	9rl4	20	11_24	5	5	coordinate_verified_open_wedge	0.7961	0.7398	57.192	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	P62805	Q96GM5	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000003	P22685	Q551M2	44689	6qkl	10	3_10	3	3	coordinate_verified_open_wedge	0.6066	1.0246	10.876	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	P22685		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000004	Q97Z84	Q980U8	273057	2izo	3	3_10	1	1	coordinate_verified_open_wedge	1.0000	0.7679	9.044	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	1	Q97Z84	Q980U8	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000005	Q72GR8	Q72GR9	262724	4o9u	6	3_10	1	1	coordinate_verified_open_wedge	0.9920	0.9400	31.429	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000006	P33332	P38261	559292	5yfp	8	3_10	2	2	coordinate_verified_open_wedge	0.5030	0.6879	22.497	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P33332	P38261	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000007	Q8RGE0	Q8RGE3	190304	6q45	8	3_10	1	2	coordinate_verified_open_wedge	0.9520	1.0000	14.973	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000008	A0QU24	A0QU35	246196	8e9i	15	11_24	3	3	coordinate_verified_open_wedge	1.1739	0.9946	38.367	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	A0QU24		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000009	A0A9R0JVI6	P11705	3562	8xzv	19	11_24	1	1	coordinate_verified_open_wedge	0.7570	1.0000	53.418	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000010	A0T0U5	A0T0V1	35128	8xls	17	11_24	3	3	coordinate_verified_open_wedge	0.5135	0.7317	37.541	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0		Q55329	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000011	P62487	P63272	9606	8xrm	16	11_24	2	2	coordinate_verified_open_wedge	0.9942	0.9915	43.157	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A0A4X1VKG7	P63272	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000012	P20282	P21467	224308	8cdu	20	11_24	22	22	coordinate_verified_open_wedge	0.4050	0.9518	32.361	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	B7IA17	Q839E7	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000013	P41586	P59768	9606	6m1i	6	3_10	5	5	coordinate_verified_open_wedge	0.7543	0.8028	12.357	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	P41586	P59768	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000014	A8ITV3	P12154	3055	7zq9	24	11_24	7	7	coordinate_verified_open_wedge	0.8732	0.9880	45.351	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A8ITV3	A0T0M8	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000015	P04310	P21603	10254	8c8h	13	11_24	1	1	coordinate_verified_open_wedge	0.9503	0.6100	33.665	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0	P04310		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000016	Q86VP6	Q96GG9	9606	8or3	6	3_10	2	2	coordinate_verified_open_wedge	0.9293	0.6448	20.844	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	Q86VP6	Q96GG9	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000017	P53803	Q92966	9606	9fsp	23	11_24	5	5	coordinate_verified_open_wedge	0.7931	0.9367	32.645	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	A0A4X1TRS6	Q92966	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000018	A0A8D1KNW4	P60899	9823	9rtt	22	11_24	4	4	coordinate_verified_open_wedge	0.9213	0.3760	56.879	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	A0A4X1VEK9	P36954	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000019	Q00403	Q92966	9606	7zxe	8	3_10	2	2	coordinate_verified_open_wedge	0.6361	0.8881	12.565	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	Q00403	Q92966	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000020	D5AQG8	D5AQH2	272942	6tg9	8	3_10	2	2	coordinate_verified_open_wedge	0.9718	0.9867	40.890	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000021	A4VD75	I7M6H4	312017	8bx8	18	11_24	2	2	coordinate_verified_open_wedge	0.8934	0.9470	9.893	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	A4VD75	I7M6H4	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000022	P20979	P21082	10249	8rqk	15	11_24	3	3	coordinate_verified_open_wedge	0.7168	0.7181	18.169	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P20979	P21082	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000023	C4R0E6	C4R1V1	644223	8jh2	23	11_24	25	25	coordinate_verified_open_wedge	0.8947	1.0839	48.506	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	0	C4R0E6	A0A4X1VEK9	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000024	P26784	P36160	559292	7oht	24	11_24	13	13	coordinate_verified_open_wedge	0.5829	0.7645	28.542	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	P26784	P36160	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000025	P05805	Q7M3E1	9913	1pyt	4	3_10	1	1	coordinate_verified_open_wedge	0.9802	0.9366	8.082	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000026	P13165	P69416	4513	7ew6	15	11_24	2	2	coordinate_verified_open_wedge	1.1667	1.0000	30.760	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	E9NPX1	A0A4V8H005	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000027	V5V9F4	V5V9K5	470	7d08	12	11_24	5	5	coordinate_verified_open_wedge	0.9922	1.0000	11.138	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000028	Q24I09	W7XBF5	312017	8b6g	15	11_24	4	4	coordinate_verified_open_wedge	0.9969	0.9888	37.022	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	Q24I09	W7XBF5	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000029	P49735	Q9W0I7	7227	6ray	11	11_24	1	1	coordinate_verified_open_wedge	0.6764	0.8762	34.870	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P49735	Q7ZT47	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000030	P00428	P04038	9913	3abk	13	11_24	91	133	coordinate_verified_open_wedge	0.7597	0.9730	17.538	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0		P04038	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000031	P06899	P52435	9606	8xrj	20	11_24	2	2	coordinate_verified_open_wedge	0.7381	0.9829	37.133	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	O23629		assembly_context_direct_noncontact_not_universal_nonbinder
AC:000032	C4QY79	C4R273	644223	8yfr	14	11_24	5	5	coordinate_verified_open_wedge	0.9823	0.9172	43.130	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	C4QY79	C4R273	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000033	P9WGY7	P9WJG3	83332	6vvz	8	3_10	9	9	coordinate_verified_open_wedge	0.9620	0.9815	18.903	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000034	C3SQX2	C3SR57	562	9sx2	21	11_24	12	12	coordinate_verified_open_wedge	0.9700	0.9457	36.554	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	P80372	Q50296	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000035	A0A4V8GZZ5	A0A4V8GZZ8	325651	6igz	23	11_24	1	1	coordinate_verified_open_wedge	0.7598	0.8043	38.399	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	A8IL32	I0YPL4	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000036	O74499	P87173	284812	6ppv	7	3_10	2	2	coordinate_verified_open_wedge	0.7522	0.4929	9.749	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	1	1	O74499	P87173	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000037	Q76B86	Q9TM21	2771	4yuu	22	11_24	1	2	coordinate_verified_open_wedge	0.5092	0.7209	30.843	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	0		P12239	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000038	B6A879	B6A880	935293	9cbc	17	11_24	2	2	coordinate_verified_open_wedge	0.9968	0.9926	41.409	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	1	B6A879	B6A880	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000039	A0A9R0I5M6	A0A9R0JF29	3562	8xzv	19	11_24	1	1	coordinate_verified_open_wedge	0.6118	0.3289	96.416	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	1	A0A1S3X2G3	A0A9R0JF29	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000040	P0C6E0	Q9KPS1	243277	8a1u	6	3_10	1	1	coordinate_verified_open_wedge	0.9767	1.0045	32.563	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	0			assembly_context_direct_noncontact_not_universal_nonbinder
AC:000041	P39744	P43586	559292	7r6k	15	11_24	1	1	coordinate_verified_open_wedge	0.6451	0.5343	15.192	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	P39744	P43586	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000042	A0A2K3DG79	A8J353	3055	7ekq	19	11_24	1	1	coordinate_verified_open_wedge	0.8981	0.6639	49.564	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	1	0	0	1	A0A2K3DG79	A8J353	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000043	A0A2P6U4K1	W8SY74	3076	6zzy	23	11_24	3	3	coordinate_verified_open_wedge	0.8764	0.9867	28.422	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0	Q75VY8	A0T0M8	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000044	Q9TM20	Q9TM22	2771	4yuu	21	11_24	1	4	coordinate_verified_open_wedge	0.6786	0.9737	34.139	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	0	1	Q8DIP0	P32974	assembly_context_direct_noncontact_not_universal_nonbinder
AC:000045	O43036	O94616	284812	7aod	24	11_24	3	3	coordinate_verified_open_wedge	0.9249	0.9109	17.633	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	1	0	1	0			assembly_context_direct_noncontact_not_universal_nonbinder
